Station;010 Wedding;010 Wedding;010 Wedding;010 Wedding;010 Wedding;010 Wedding
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon;Benzol;Toluol
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2012 00:00;6;34;43;10;1.5;2.2
01.01.2012 01:00;43;41;108;3;2.2;2.2
01.01.2012 02:00;17;38;63;3;3.1;2.6
01.01.2012 03:00;8;34;45;5;2.0;2.5
01.01.2012 04:00;9;31;46;4;1.8;3.1
01.01.2012 05:00;8;29;42;4;1.4;2.3
01.01.2012 06:00;10;28;44;3;1.2;2.4
01.01.2012 07:00;10;27;42;3;1.2;2.3
01.01.2012 08:00;10;27;42;2;1.2;2.3
01.01.2012 09:00;9;26;39;3;1.1;2.1
01.01.2012 10:00;8;21;33;5;1.0;2.2
01.01.2012 11:00;9;20;34;7;1.1;2.7
01.01.2012 12:00;10;22;37;8;1.0;2.1
01.01.2012 13:00;10;25;41;11;1.0;2.7
01.01.2012 14:00;5;21;29;20;1.2;2.8
01.01.2012 15:00;5;16;23;28;1.0;1.8
01.01.2012 16:00;5;20;27;26;1.0;2.1
01.01.2012 17:00;6;25;35;20;0.9;2.3
01.01.2012 18:00;8;27;39;17;0.9;2.3
01.01.2012 19:00;10;32;47;12;1.0;2.2
01.01.2012 20:00;12;35;53;7;1.1;3.2
01.01.2012 21:00;9;28;42;11;1.4;3.5
01.01.2012 22:00;7;25;36;14;1.0;2.4
01.01.2012 23:00;6;21;29;20;0.9;1.9
02.01.2012 00:00;4;17;23;24;0.8;1.9
02.01.2012 01:00;4;17;23;24;0.9;1.4
02.01.2012 02:00;2;13;17;29;0.7;1.3
02.01.2012 03:00;3;11;16;32;0.6;1.0
02.01.2012 04:00;3;10;14;34;0.5;1.0
02.01.2012 05:00;3;10;14;37;0.5;1.0
02.01.2012 06:00;4;13;19;36;0.6;1.3
02.01.2012 07:00;7;22;33;29;0.8;2.5
02.01.2012 08:00;5;23;30;34;0.6;1.6
02.01.2012 09:00;7;30;40;41;0.5;1.6
02.01.2012 10:00;9;37;50;32;0.5;1.5
02.01.2012 11:00;8;36;49;30;0.9;2.5
02.01.2012 12:00;10;36;52;30;0.6;2.3
02.01.2012 13:00;11;43;60;24;0.8;2.0
02.01.2012 14:00;11;43;59;26;0.9;2.8
02.01.2012 15:00;11;46;62;23;0.8;3.1
02.01.2012 16:00;4;27;33;39;0.9;3.2
02.01.2012 17:00;5;30;38;40;0.7;2.0
02.01.2012 18:00;5;31;38;37;1.8;7.5
02.01.2012 19:00;6;28;37;35;0.7;1.9
02.01.2012 20:00;5;29;37;30;0.8;2.0
02.01.2012 21:00;5;27;34;30;0.8;1.6
02.01.2012 22:00;4;22;28;31;0.4;1.4
02.01.2012 23:00;4;22;28;27;0.7;1.4
03.01.2012 00:00;3;28;33;22;0.7;1.8
03.01.2012 01:00;2;23;26;30;0.8;1.5
