Station;010 Wedding;010 Wedding;010 Wedding;010 Wedding;010 Wedding;010 Wedding;010 Wedding
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon;Benzol;Toluol
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2015 00:00;58;3;17;21;20;0.8;1.0
01.01.2015 01:00;180;12;24;42;14;1.2;1.2
01.01.2015 02:00;132;5;28;35;12;1.2;1.3
01.01.2015 03:00;73;5;20;27;20;1.3;1.2
01.01.2015 04:00;54;5;17;25;23;1.2;1.2
01.01.2015 05:00;41;2;14;18;29;0.7;1.0
01.01.2015 06:00;37;2;16;19;29;0.9;1.2
01.01.2015 07:00;34;2;17;21;32;0.7;1.1
01.01.2015 08:00;32;2;17;20;34;0.8;0.8
01.01.2015 09:00;34;2;13;16;37;0.8;0.7
01.01.2015 10:00;36;2;15;19;37;0.7;0.9
01.01.2015 11:00;42;5;19;27;29;0.8;0.9
01.01.2015 12:00;34;4;16;22;37;0.9;0.9
01.01.2015 13:00;31;4;15;22;41;0.8;0.9
01.01.2015 14:00;29;4;14;19;45;0.7;0.8
01.01.2015 15:00;25;4;14;20;47;0.9;1.0
01.01.2015 16:00;21;3;16;21;46;0.9;1.2
01.01.2015 17:00;22;3;24;29;35;0.8;0.9
01.01.2015 18:00;23;4;29;35;29;0.8;1.1
01.01.2015 19:00;27;8;35;47;20;1.1;1.4
01.01.2015 20:00;26;7;34;45;16;1.2;1.7
01.01.2015 21:00;22;5;28;36;21;1.3;1.2
01.01.2015 22:00;20;4;24;30;27;1.0;1.2
01.01.2015 23:00;19;4;20;26;34;1.1;1.0
02.01.2015 00:00;18;3;17;21;39;0.9;1.5
02.01.2015 01:00;15;4;17;23;41;1.1;0.9
02.01.2015 02:00;14;2;15;18;42;0.9;0.9
02.01.2015 03:00;12;3;14;19;44;0.8;0.7
02.01.2015 04:00;11;3;12;16;45;0.7;0.7
02.01.2015 05:00;10;4;16;22;41;0.7;0.6
02.01.2015 06:00;10;5;17;24;41;0.7;0.7
02.01.2015 07:00;9;6;23;32;35;0.8;0.8
02.01.2015 08:00;11;5;30;38;28;0.7;0.8
02.01.2015 09:00;13;6;27;37;30;0.9;1.0
02.01.2015 10:00;12;8;32;44;26;0.9;0.9
02.01.2015 11:00;11;6;33;42;25;0.9;0.9
02.01.2015 12:00;9;6;24;33;34;0.8;1.2
02.01.2015 13:00;6;7;23;34;35;0.8;1.2
02.01.2015 14:00;6;7;23;33;37;0.7;1.1
02.01.2015 15:00;6;6;27;37;36;0.8;1.3
02.01.2015 16:00;8;4;17;23;53;0.9;1.3
02.01.2015 17:00;11;4;16;22;61;0.7;1.2
02.01.2015 18:00;9;3;15;20;60;0.7;1.0
02.01.2015 19:00;10;4;25;31;49;0.5;0.7
02.01.2015 20:00;11;3;21;26;53;0.6;0.6
02.01.2015 21:00;12;3;22;27;51;0.5;0.7
02.01.2015 22:00;12;2;21;24;52;0.4;0.6
02.01.2015 23:00;12;2;15;18;57;0.5;0.5
03.01.2015 00:00;12;2;10;13;61;0.6;0.4
03.01.2015 01:00;12;1;14;16;56;0.6;0.7
03.01.2015 02:00;12;1;5;7;68;0.4;0.4
03.01.2015 03:00;13;1;5;6;71;0.5;0.4
03.01.2015 04:00;13;1;5;6;70;0.4;0.4
03.01.2015 05:00;14;1;6;8;70;0.4;0.5
03.01.2015 06:00;14;1;13;15;61;0.6;0.6
03.01.2015 07:00;14;1;13;14;61;0.6;0.7
03.01.2015 08:00;13;2;11;14;59;0.6;0.7
03.01.2015 09:00;11;2;13;15;55;0.6;0.8
03.01.2015 10:00;12;3;14;19;54;0.7;0.8
03.01.2015 11:00;12;4;14;20;54;0.6;0.6
03.01.2015 12:00;11;3;12;17;57;0.6;0.7
03.01.2015 13:00;11;3;13;17;59;0.7;1.2
03.01.2015 14:00;12;3;15;20;54;0.6;0.8
03.01.2015 15:00;12;4;18;24;49;0.7;1.0
03.01.2015 16:00;12;4;18;24;48;0.8;0.9
03.01.2015 17:00;11;3;17;22;49;0.6;0.8
03.01.2015 18:00;10;3;17;22;49;0.7;0.9
03.01.2015 19:00;8;3;17;21;51;0.6;0.7
03.01.2015 20:00;8;2;23;26;45;0.6;0.9
03.01.2015 21:00;10;2;19;22;49;0.7;0.8
03.01.2015 22:00;13;2;12;15;54;0.6;0.7
03.01.2015 23:00;13;2;11;15;54;0.7;1.0
04.01.2015 00:00;12;1;10;12;54;0.6;0.7
04.01.2015 01:00;13;1;9;11;55;0.5;0.7
04.01.2015 02:00;12;1;7;9;58;0.6;0.5
04.01.2015 03:00;10;1;6;8;62;0.5;0.9
04.01.2015 04:00;7;1;5;6;65;0.6;0.5
04.01.2015 05:00;6;0;5;5;67;0.5;0.6
04.01.2015 06:00;6;0;6;7;67;0.5;0.5
04.01.2015 07:00;7;0;5;6;69;0.6;0.6
04.01.2015 08:00;8;1;7;8;66;0.6;0.9
04.01.2015 09:00;7;1;10;11;62;0.8;0.3
04.01.2015 10:00;8;1;11;13;61;0.5;0.5
04.01.2015 11:00;9;1;8;9;63;0.7;0.7
04.01.2015 12:00;11;2;8;10;64;0.5;0.7
04.01.2015 13:00;11;1;6;9;65;0.6;0.6
04.01.2015 14:00;11;1;9;11;64;0.5;0.6
04.01.2015 15:00;9;1;8;9;65;0.6;1.3
04.01.2015 16:00;8;1;11;13;61;0.6;0.7
04.01.2015 17:00;8;1;10;11;61;0.6;0.7
04.01.2015 18:00;8;2;16;19;55;0.6;0.8
