Station;010 Wedding;010 Wedding;010 Wedding;010 Wedding;010 Wedding
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2018 00:00;25;2;13;16;48
01.01.2018 01:00;137;14;39;60;21
01.01.2018 02:00;38;5;22;29;39
01.01.2018 03:00;16;2;15;18;46
01.01.2018 04:00;12;0;9;9;57
01.01.2018 05:00;6;0;5;5;77
01.01.2018 06:00;6;0;6;6;77
01.01.2018 07:00;5;1;8;9;72
01.01.2018 08:00;5;0;5;5;76
01.01.2018 09:00;5;0;5;5;77
01.01.2018 10:00;5;0;6;7;73
01.01.2018 11:00;4;0;5;6;73
01.01.2018 12:00;5;0;6;6;72
01.01.2018 13:00;5;1;7;8;71
01.01.2018 14:00;5;1;9;10;69
01.01.2018 15:00;5;4;21;27;60
01.01.2018 16:00;5;1;10;11;69
01.01.2018 17:00;5;2;17;19;62
01.01.2018 18:00;6;3;21;25;55
01.01.2018 19:00;5;2;26;28;48
01.01.2018 20:00;9;11;46;63;29
01.01.2018 21:00;12;3;40;45;30
01.01.2018 22:00;11;2;35;38;33
01.01.2018 23:00;8;1;27;28;39
02.01.2018 00:00;8;1;26;28;37
02.01.2018 01:00;8;1;23;25;38
02.01.2018 02:00;8;2;23;26;36
02.01.2018 03:00;8;1;20;22;40
02.01.2018 04:00;6;1;14;15;51
02.01.2018 05:00;7;0;20;20;41
02.01.2018 06:00;9;1;29;31;26
02.01.2018 07:00;12;3;39;44;15
02.01.2018 08:00;13;8;45;58;7
02.01.2018 09:00;8;4;32;37;27
02.01.2018 10:00;8;15;43;66;21
02.01.2018 11:00;9;22;51;85;17
02.01.2018 12:00;13;17;40;66;23
02.01.2018 13:00;14;8;28;40;28
02.01.2018 14:00;16;10;32;47;27
02.01.2018 15:00;13;14;41;62;26
02.01.2018 16:00;11;11;37;54;31
02.01.2018 17:00;11;11;49;65;20
02.01.2018 18:00;11;6;34;44;32
02.01.2018 19:00;11;5;27;34;38
02.01.2018 20:00;11;4;23;30;38
02.01.2018 21:00;11;3;18;23;40
02.01.2018 22:00;11;3;22;27;38
02.01.2018 23:00;12;4;26;31;33
03.01.2018 00:00;12;5;21;29;34
03.01.2018 01:00;13;3;18;23;36
03.01.2018 02:00;12;1;17;18;35
03.01.2018 03:00;10;1;16;17;37
03.01.2018 04:00;10;0;13;14;41
03.01.2018 05:00;10;1;16;18;38
03.01.2018 06:00;9;2;19;22;37
03.01.2018 07:00;8;4;24;30;36
03.01.2018 08:00;8;6;27;36;35
03.01.2018 09:00;8;5;28;36;34
03.01.2018 10:00;7;8;28;39;32
03.01.2018 11:00;7;8;30;42;29
03.01.2018 12:00;7;13;34;53;26
03.01.2018 13:00;6;13;34;54;27
03.01.2018 14:00;5;6;24;34;55
03.01.2018 15:00;5;4;25;32;58
03.01.2018 16:00;6;7;31;41;52
03.01.2018 17:00;6;6;27;35;54
03.01.2018 18:00;6;5;24;31;53
03.01.2018 19:00;4;3;16;20;58
03.01.2018 20:00;4;1;11;12;64
03.01.2018 21:00;4;2;10;12;67
03.01.2018 22:00;4;1;8;9;67
03.01.2018 23:00;4;1;8;10;65
04.01.2018 00:00;5;1;7;8;66
04.01.2018 01:00;5;1;15;15;60
04.01.2018 02:00;5;0;8;8;67
04.01.2018 03:00;5;0;5;6;68
04.01.2018 04:00;6;0;5;6;68
04.01.2018 05:00;5;1;10;11;63
04.01.2018 06:00;5;2;16;19;56
04.01.2018 07:00;5;4;22;27;49
04.01.2018 08:00;6;6;35;45;34
04.01.2018 09:00;7;8;34;47;34
04.01.2018 10:00;7;5;23;31;45
04.01.2018 11:00;7;5;21;29;48
04.01.2018 12:00;9;4;20;27;51
04.01.2018 13:00;11;4;20;27;52
04.01.2018 14:00;12;6;22;31;50
04.01.2018 15:00;14;9;32;46;39
04.01.2018 16:00;13;9;31;45;39
04.01.2018 17:00;10;9;31;44;39
04.01.2018 18:00;13;17;48;74;22
04.01.2018 19:00;15;14;49;70;20
04.01.2018 20:00;15;9;44;57;22
04.01.2018 21:00;12;7;34;46;30
04.01.2018 22:00;10;4;24;31;38
04.01.2018 23:00;9;2;18;21;44
05.01.2018 00:00;9;3;16;21;42
05.01.2018 01:00;8;2;14;17;41
05.01.2018 02:00;7;1;10;12;46
05.01.2018 03:00;8;1;8;10;49
05.01.2018 04:00;7;0;7;7;57
05.01.2018 05:00;6;1;7;8;63
05.01.2018 06:00;6;1;11;13;63
05.01.2018 07:00;7;3;16;21;59
05.01.2018 08:00;9;6;29;39;46
05.01.2018 09:00;10;8;37;49;37
05.01.2018 10:00;10;9;37;50;38
05.01.2018 11:00;10;6;29;38;47
05.01.2018 12:00;9;5;22;30;53
05.01.2018 13:00;7;11;39;56;39
05.01.2018 14:00;6;8;29;41;46
05.01.2018 15:00;6;6;28;37;47
05.01.2018 16:00;7;7;32;42;45
05.01.2018 17:00;8;7;39;49;38
05.01.2018 18:00;9;7;47;57;30
05.01.2018 19:00;9;7;36;46;38
05.01.2018 20:00;8;3;33;38;40
05.01.2018 21:00;8;10;48;63;27
05.01.2018 22:00;13;10;58;74;18
05.01.2018 23:00;14;9;65;78;7
06.01.2018 00:00;15;9;62;76;6
06.01.2018 01:00;15;5;50;57;12
06.01.2018 02:00;13;2;35;39;20
06.01.2018 03:00;11;2;22;24;32
06.01.2018 04:00;10;1;23;25;33
06.01.2018 05:00;9;2;17;19;42
06.01.2018 06:00;9;5;26;35;33
06.01.2018 07:00;9;8;39;52;19
06.01.2018 08:00;9;8;37;48;21
06.01.2018 09:00;9;5;39;47;22
06.01.2018 10:00;9;6;34;44;30
06.01.2018 11:00;10;7;33;44;36
06.01.2018 12:00;9;6;24;32;48
06.01.2018 13:00;10;5;21;29;53
06.01.2018 14:00;10;5;19;26;55
06.01.2018 15:00;10;9;36;50;42
06.01.2018 16:00;11;14;55;76;27
06.01.2018 17:00;11;2;31;34;40
06.01.2018 18:00;15;10;55;71;17
06.01.2018 19:00;18;4;46;52;23
06.01.2018 20:00;20;6;49;57;19
06.01.2018 21:00;21;3;38;42;25
06.01.2018 22:00;25;4;39;45;20
06.01.2018 23:00;20;2;26;29;25
07.01.2018 00:00;13;1;11;12;31
07.01.2018 01:00;9;1;8;9;31
07.01.2018 02:00;8;1;8;10;28
07.01.2018 03:00;8;1;8;9;25
07.01.2018 04:00;8;1;8;9;23
07.01.2018 05:00;6;1;5;6;31
07.01.2018 06:00;6;0;6;6;30
07.01.2018 07:00;6;0;6;7;29
07.01.2018 08:00;5;0;7;7;32
07.01.2018 09:00;7;0;6;6;39
07.01.2018 10:00;7;0;6;7;43
07.01.2018 11:00;6;1;8;9;46
07.01.2018 12:00;5;1;8;9;53
07.01.2018 13:00;5;1;8;9;54
07.01.2018 14:00;6;1;9;10;53
07.01.2018 15:00;6;1;10;11;55
07.01.2018 16:00;7;1;11;13;54
07.01.2018 17:00;9;1;17;18;48
07.01.2018 18:00;11;0;26;26;39
07.01.2018 19:00;11;0;24;25;40
07.01.2018 20:00;10;1;19;20;43
07.01.2018 21:00;11;0;18;19;43
07.01.2018 22:00;11;0;22;22;38
07.01.2018 23:00;11;0;18;19;41
08.01.2018 00:00;10;0;17;17;42
08.01.2018 01:00;12;0;16;16;41
08.01.2018 02:00;12;0;13;13;43
08.01.2018 03:00;13;0;12;12;42
08.01.2018 04:00;14;1;15;16;41
08.01.2018 05:00;15;1;16;17;39
08.01.2018 06:00;17;1;24;26;32
08.01.2018 07:00;16;6;36;45;22
08.01.2018 08:00;17;11;53;70;8
08.01.2018 09:00;19;15;55;78;6
08.01.2018 10:00;19;20;52;82;11
08.01.2018 11:00;17;15;41;63;24
08.01.2018 12:00;13;9;30;44;41
08.01.2018 13:00;12;4;19;26;53
08.01.2018 14:00;13;5;23;30;50
08.01.2018 15:00;14;4;27;33;47
08.01.2018 16:00;15;4;36;43;37
08.01.2018 17:00;15;4;41;46;32
08.01.2018 18:00;16;2;34;37;37
08.01.2018 19:00;20;2;33;36;35
08.01.2018 20:00;21;2;29;32;37
08.01.2018 21:00;23;1;26;27;39
08.01.2018 22:00;24;1;24;26;39
08.01.2018 23:00;24;1;23;25;39
09.01.2018 00:00;24;0;19;19;43
09.01.2018 01:00;25;0;18;18;42
09.01.2018 02:00;27;0;18;18;41
09.01.2018 03:00;27;0;19;19;40
09.01.2018 04:00;26;1;15;16;44
09.01.2018 05:00;26;0;16;16;44
09.01.2018 06:00;26;1;19;19;41
09.01.2018 07:00;25;3;24;28;38
09.01.2018 08:00;25;5;37;44;26
09.01.2018 09:00;26;5;42;49;22
09.01.2018 10:00;23;6;35;44;29
09.01.2018 11:00;24;7;31;42;29
09.01.2018 12:00;25;;;;
09.01.2018 13:00;22;;;;36
09.01.2018 14:00;22;6;26;35;36
09.01.2018 15:00;21;7;30;40;33
09.01.2018 16:00;20;4;31;37;34
09.01.2018 17:00;19;4;36;42;29
09.01.2018 18:00;20;4;38;45;27
09.01.2018 19:00;22;2;36;40;27
09.01.2018 20:00;23;3;36;40;25
09.01.2018 21:00;26;2;33;36;26
09.01.2018 22:00;28;1;33;35;24
09.01.2018 23:00;30;2;37;39;18
10.01.2018 00:00;31;3;38;43;13
10.01.2018 01:00;32;2;33;37;15
10.01.2018 02:00;34;3;34;38;12
10.01.2018 03:00;36;3;33;37;9
10.01.2018 04:00;37;4;33;39;6
10.01.2018 05:00;39;5;32;40;6
10.01.2018 06:00;41;16;36;61;2
10.01.2018 07:00;44;30;39;84;1
10.01.2018 08:00;45;48;41;114;1
10.01.2018 09:00;43;58;42;130;1
10.01.2018 10:00;41;64;42;140;2
10.01.2018 11:00;44;71;42;151;2
10.01.2018 12:00;38;63;40;136;3
10.01.2018 13:00;41;87;44;177;3
10.01.2018 14:00;47;82;45;171;3
10.01.2018 15:00;45;64;41;139;2
10.01.2018 16:00;43;67;41;143;1
10.01.2018 17:00;42;69;41;147;1
10.01.2018 18:00;46;81;43;168;1
10.01.2018 19:00;52;89;44;180;1
10.01.2018 20:00;58;104;47;205;1
10.01.2018 21:00;57;58;35;124;1
10.01.2018 22:00;47;41;34;97;1
10.01.2018 23:00;43;26;30;70;1
11.01.2018 00:00;43;26;30;69;1
11.01.2018 01:00;44;46;28;99;1
11.01.2018 02:00;51;51;26;104;1
11.01.2018 03:00;45;39;23;83;1
11.01.2018 04:00;39;27;21;62;1
11.01.2018 05:00;35;23;22;57;1
11.01.2018 06:00;35;21;20;53;1
11.01.2018 07:00;41;31;21;69;1
11.01.2018 08:00;44;64;27;125;1
11.01.2018 09:00;47;99;35;186;1
11.01.2018 10:00;45;81;35;158;1
11.01.2018 11:00;44;77;30;147;1
11.01.2018 12:00;41;48;25;99;1
11.01.2018 13:00;42;53;28;109;1
11.01.2018 14:00;41;54;29;111;2
11.01.2018 15:00;40;50;29;106;1
11.01.2018 16:00;42;60;30;122;1
11.01.2018 17:00;42;55;29;113;1
11.01.2018 18:00;33;45;27;95;1
11.01.2018 19:00;31;34;26;78;1
11.01.2018 20:00;34;33;26;76;1
11.01.2018 21:00;37;31;26;73;1
11.01.2018 22:00;43;28;24;67;1
11.01.2018 23:00;46;20;22;52;1
12.01.2018 00:00;47;20;22;53;1
12.01.2018 01:00;49;20;22;53;1
12.01.2018 02:00;48;13;21;41;1
12.01.2018 03:00;46;11;21;38;1
12.01.2018 04:00;46;9;22;36;1
12.01.2018 05:00;47;5;22;30;1
12.01.2018 06:00;43;4;20;27;2
12.01.2018 07:00;36;9;22;36;3
12.01.2018 08:00;30;8;22;34;5
12.01.2018 09:00;27;8;25;38;5
12.01.2018 10:00;28;9;23;37;7
12.01.2018 11:00;28;9;21;35;9
12.01.2018 12:00;28;8;21;34;8
12.01.2018 13:00;29;9;19;32;8
12.01.2018 14:00;32;10;20;35;7
12.01.2018 15:00;31;9;19;32;6
12.01.2018 16:00;33;13;22;42;2
12.01.2018 17:00;35;12;22;41;1
12.01.2018 18:00;38;10;22;37;1
12.01.2018 19:00;36;11;23;39;1
12.01.2018 20:00;35;10;22;37;2
12.01.2018 21:00;38;7;20;31;2
12.01.2018 22:00;39;5;19;27;3
12.01.2018 23:00;40;3;19;24;5
13.01.2018 00:00;39;4;19;24;8
13.01.2018 01:00;39;3;17;21;11
13.01.2018 02:00;39;2;17;20;13
13.01.2018 03:00;37;1;18;19;13
13.01.2018 04:00;38;1;17;19;13
13.01.2018 05:00;40;1;15;17;16
13.01.2018 06:00;40;1;14;16;20
13.01.2018 07:00;38;1;15;17;24
13.01.2018 08:00;35;1;14;16;30
13.01.2018 09:00;30;1;14;15;36
13.01.2018 10:00;25;1;13;15;41
13.01.2018 11:00;24;2;13;16;43
13.01.2018 12:00;24;2;13;17;44
13.01.2018 13:00;25;2;17;20;41
13.01.2018 14:00;23;1;15;18;45
13.01.2018 15:00;24;4;17;24;45
13.01.2018 16:00;19;3;18;22;44
13.01.2018 17:00;18;1;18;20;43
13.01.2018 18:00;20;2;20;23;41
13.01.2018 19:00;24;2;18;21;40
13.01.2018 20:00;21;1;17;18;43
13.01.2018 21:00;23;1;14;15;45
13.01.2018 22:00;22;1;15;16;44
13.01.2018 23:00;22;1;13;14;45
14.01.2018 00:00;23;0;14;15;44
14.01.2018 01:00;23;0;14;14;42
14.01.2018 02:00;23;1;12;13;41
14.01.2018 03:00;23;1;12;13;40
14.01.2018 04:00;22;0;13;13;39
14.01.2018 05:00;21;0;13;13;38
14.01.2018 06:00;22;1;16;18;34
14.01.2018 07:00;23;1;17;18;30
14.01.2018 08:00;25;1;16;17;28
14.01.2018 09:00;26;1;15;17;26
14.01.2018 10:00;26;3;15;20;27
14.01.2018 11:00;24;2;14;18;32
