Station;010 Wedding;010 Wedding;010 Wedding;010 Wedding;010 Wedding;010 Wedding;010 Wedding
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon;Benzol;Toluol
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2016 00:00;98;22;38;71;2;;
01.01.2016 01:00;333;70;35;142;3;;
01.01.2016 02:00;342;74;34;146;3;;
01.01.2016 03:00;196;41;30;93;2;;
01.01.2016 04:00;69;16;28;52;1;;
01.01.2016 05:00;50;17;28;54;1;;
01.01.2016 06:00;38;13;27;46;1;;
01.01.2016 07:00;35;25;30;68;1;;
01.01.2016 08:00;41;31;32;78;1;;
01.01.2016 09:00;31;15;27;50;3;;
01.01.2016 10:00;31;13;22;42;6;;
01.01.2016 11:00;30;15;20;42;9;;
01.01.2016 12:00;30;13;18;38;11;;
01.01.2016 13:00;30;21;25;58;7;;
01.01.2016 14:00;31;29;31;75;6;;
01.01.2016 15:00;33;18;30;57;6;;
01.01.2016 16:00;39;18;34;62;4;;
01.01.2016 17:00;36;15;38;61;2;;
01.01.2016 18:00;27;16;40;63;2;;
01.01.2016 19:00;24;25;39;77;1;;
01.01.2016 20:00;27;21;40;72;1;;
01.01.2016 21:00;34;24;43;80;1;;
01.01.2016 22:00;38;26;45;84;1;;
01.01.2016 23:00;37;31;49;97;1;;
02.01.2016 00:00;26;17;42;68;1;;
02.01.2016 01:00;23;7;36;46;4;;
02.01.2016 02:00;20;1;24;26;12;;
02.01.2016 03:00;14;2;23;26;14;;
02.01.2016 04:00;15;1;19;21;17;;
02.01.2016 05:00;19;1;15;17;19;;
02.01.2016 06:00;31;1;16;18;17;;
02.01.2016 07:00;67;6;18;27;3;;
02.01.2016 08:00;83;3;17;22;7;;
02.01.2016 09:00;85;3;18;22;10;;
02.01.2016 10:00;77;3;17;22;13;;
02.01.2016 11:00;75;3;16;21;15;;
02.01.2016 12:00;69;5;18;25;17;;
02.01.2016 13:00;50;4;17;23;27;;
02.01.2016 14:00;39;3;16;21;33;;
02.01.2016 15:00;32;3;15;20;39;;
02.01.2016 16:00;32;3;14;18;41;;
02.01.2016 17:00;35;2;14;18;41;;
02.01.2016 18:00;42;2;16;19;40;;
02.01.2016 19:00;39;2;14;16;42;;
02.01.2016 20:00;38;2;14;17;40;;
02.01.2016 21:00;38;2;13;16;37;;
02.01.2016 22:00;38;1;12;14;36;;
02.01.2016 23:00;39;2;13;16;36;;
03.01.2016 00:00;39;1;12;14;36;;
03.01.2016 01:00;40;1;12;13;35;;
03.01.2016 02:00;39;1;12;13;35;;
03.01.2016 03:00;40;1;11;12;34;;
03.01.2016 04:00;41;1;10;12;35;;
03.01.2016 05:00;42;1;11;13;32;;
03.01.2016 06:00;43;1;12;14;29;;
03.01.2016 07:00;43;2;16;18;25;;
03.01.2016 08:00;41;1;14;16;26;;
03.01.2016 09:00;40;2;12;15;27;;
03.01.2016 10:00;40;2;12;15;28;;
03.01.2016 11:00;42;4;14;21;26;;
03.01.2016 12:00;44;6;16;26;25;;
03.01.2016 13:00;44;6;16;26;27;;
03.01.2016 14:00;44;6;17;27;28;;
03.01.2016 15:00;44;5;17;25;30;;
03.01.2016 16:00;45;5;21;28;25;;
03.01.2016 17:00;46;3;22;26;23;;
03.01.2016 18:00;46;2;18;22;28;;
03.01.2016 19:00;50;3;18;23;28;;
03.01.2016 20:00;53;2;18;22;28;;
03.01.2016 21:00;52;2;20;23;27;;
03.01.2016 22:00;53;2;19;22;27;;
03.01.2016 23:00;55;3;21;25;23;;
04.01.2016 00:00;58;3;20;24;23;;
04.01.2016 01:00;61;2;19;22;22;;
04.01.2016 02:00;62;2;21;24;20;;
04.01.2016 03:00;62;2;23;27;17;;
04.01.2016 04:00;63;2;25;28;14;;
04.01.2016 05:00;63;1;19;21;19;;
04.01.2016 06:00;62;3;23;27;15;;
04.01.2016 07:00;61;5;28;36;11;;
04.01.2016 08:00;61;6;27;37;11;;
04.01.2016 09:00;61;10;28;43;10;;
04.01.2016 10:00;61;13;25;45;14;;
04.01.2016 11:00;61;11;24;41;15;;
04.01.2016 12:00;63;12;25;43;15;;
04.01.2016 13:00;65;12;25;44;16;;
04.01.2016 14:00;65;10;27;43;15;;
04.01.2016 15:00;66;10;30;45;14;;
04.01.2016 16:00;64;10;32;47;13;;
04.01.2016 17:00;65;9;35;50;9;;
04.01.2016 18:00;64;9;36;49;8;;
04.01.2016 19:00;65;5;33;41;9;;
04.01.2016 20:00;67;5;33;41;9;;
04.01.2016 21:00;69;4;30;36;12;;
04.01.2016 22:00;70;3;28;33;13;;
04.01.2016 23:00;74;4;31;38;9;;
05.01.2016 00:00;74;3;31;36;7;;
05.01.2016 01:00;76;3;30;35;6;;
05.01.2016 02:00;78;3;29;33;8;;
05.01.2016 03:00;77;3;30;34;7;;
05.01.2016 04:00;77;3;30;34;7;;
05.01.2016 05:00;80;3;28;33;7;;
05.01.2016 06:00;90;4;29;36;6;;
05.01.2016 07:00;83;9;32;45;4;;
05.01.2016 08:00;82;12;33;51;3;;
05.01.2016 09:00;82;17;33;59;3;;
05.01.2016 10:00;83;17;32;58;5;;
05.01.2016 11:00;84;18;30;58;7;;
05.01.2016 12:00;86;18;28;57;8;;
05.01.2016 13:00;87;18;29;57;10;;
05.01.2016 14:00;85;14;29;51;10;;
05.01.2016 15:00;84;10;29;45;12;;
05.01.2016 16:00;86;11;34;51;9;;
05.01.2016 17:00;90;11;37;54;5;;
