Station;010 Wedding;010 Wedding;010 Wedding;010 Wedding;010 Wedding
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2019 00:00;28;4;17;23;33
01.01.2019 01:00;75;9;19;33;32
01.01.2019 02:00;32;1;15;17;42
01.01.2019 03:00;17;2;21;24;41
01.01.2019 04:00;13;1;21;22;42
01.01.2019 05:00;17;1;7;9;52
01.01.2019 06:00;17;1;13;14;48
01.01.2019 07:00;14;1;15;17;45
01.01.2019 08:00;14;1;13;15;49
01.01.2019 09:00;14;1;8;10;53
01.01.2019 10:00;11;1;15;16;44
01.01.2019 11:00;9;2;16;19;40
01.01.2019 12:00;9;7;18;28;42
01.01.2019 13:00;11;7;22;33;51
01.01.2019 14:00;14;10;28;42;54
01.01.2019 15:00;13;8;26;38;55
01.01.2019 16:00;9;10;32;47;50
01.01.2019 17:00;9;9;30;43;48
01.01.2019 18:00;8;11;35;51;48
01.01.2019 19:00;10;9;31;45;53
01.01.2019 20:00;11;6;23;33;58
01.01.2019 21:00;13;7;28;39;54
01.01.2019 22:00;15;8;27;40;53
01.01.2019 23:00;16;8;24;36;56
02.01.2019 00:00;17;4;16;22;64
02.01.2019 01:00;17;6;20;28;61
02.01.2019 02:00;16;5;20;28;58
02.01.2019 03:00;16;6;22;31;55
02.01.2019 04:00;14;5;20;28;55
02.01.2019 05:00;11;3;12;16;60
02.01.2019 06:00;9;2;12;15;62
02.01.2019 07:00;11;1;10;11;63
02.01.2019 08:00;11;1;12;13;62
02.01.2019 09:00;11;0;10;11;64
02.01.2019 10:00;9;1;9;10;65
02.01.2019 11:00;6;1;12;13;59
02.01.2019 12:00;7;1;12;14;58
02.01.2019 13:00;8;1;8;10;63
02.01.2019 14:00;6;1;7;9;65
02.01.2019 15:00;7;1;8;10;65
02.01.2019 16:00;8;1;9;10;66
02.01.2019 17:00;8;1;8;9;68
02.01.2019 18:00;7;0;9;10;67
02.01.2019 19:00;7;1;11;11;62
02.01.2019 20:00;8;1;17;18;54
02.01.2019 21:00;9;1;22;24;47
02.01.2019 22:00;9;4;32;37;36
02.01.2019 23:00;8;5;37;45;31
03.01.2019 00:00;8;1;12;13;50
03.01.2019 01:00;8;2;14;17;47
03.01.2019 02:00;8;1;11;13;50
03.01.2019 03:00;9;10;34;49;30
03.01.2019 04:00;8;1;12;14;47
03.01.2019 05:00;8;11;30;47;35
03.01.2019 06:00;8;20;47;78;22
03.01.2019 07:00;8;8;30;42;34
03.01.2019 08:00;8;9;32;46;35
03.01.2019 09:00;7;4;24;31;41
03.01.2019 10:00;7;7;27;37;39
03.01.2019 11:00;9;4;23;30;42
03.01.2019 12:00;10;3;25;29;38
03.01.2019 13:00;8;9;30;43;32
03.01.2019 14:00;8;4;25;31;38
03.01.2019 15:00;8;7;34;45;32
03.01.2019 16:00;8;8;42;55;22
03.01.2019 17:00;9;5;47;55;13
03.01.2019 18:00;10;7;53;64;6
03.01.2019 19:00;12;14;57;79;4
03.01.2019 20:00;13;29;62;106;3
03.01.2019 21:00;12;15;59;82;5
03.01.2019 22:00;13;15;57;80;6
03.01.2019 23:00;12;8;45;58;14
04.01.2019 00:00;13;2;37;41;18
04.01.2019 01:00;9;1;19;20;35
04.01.2019 02:00;10;1;17;19;34
04.01.2019 03:00;13;37;51;107;4
04.01.2019 04:00;16;29;43;87;6
04.01.2019 05:00;17;18;36;64;7
04.01.2019 06:00;22;6;28;38;11
04.01.2019 07:00;24;20;38;69;5
04.01.2019 08:00;25;30;44;90;3
04.01.2019 09:00;24;25;44;83;5
04.01.2019 10:00;21;21;42;74;9
04.01.2019 11:00;18;16;41;65;13
04.01.2019 12:00;15;15;40;64;19
04.01.2019 13:00;12;13;36;57;27
04.01.2019 14:00;10;14;39;61;25
04.01.2019 15:00;9;18;47;75;19
04.01.2019 16:00;8;19;49;77;18
04.01.2019 17:00;8;15;47;71;21
04.01.2019 18:00;10;9;39;54;29
04.01.2019 19:00;11;11;41;57;27
04.01.2019 20:00;12;9;39;53;28
04.01.2019 21:00;11;11;37;53;28
04.01.2019 22:00;11;17;45;71;19
04.01.2019 23:00;12;15;40;64;22
05.01.2019 00:00;11;13;38;58;21
05.01.2019 01:00;9;11;34;51;24
05.01.2019 02:00;6;11;37;54;24
05.01.2019 03:00;5;10;35;50;26
05.01.2019 04:00;4;14;43;64;23
05.01.2019 05:00;4;5;20;28;41
05.01.2019 06:00;4;1;8;9;52
05.01.2019 07:00;4;1;9;11;51
05.01.2019 08:00;6;1;15;16;48
05.01.2019 09:00;10;0;10;11;52
05.01.2019 10:00;11;1;12;13;49
05.01.2019 11:00;11;1;13;15;48
05.01.2019 12:00;10;2;13;15;49
05.01.2019 13:00;10;2;15;17;47
05.01.2019 14:00;9;1;14;15;48
05.01.2019 15:00;9;1;13;14;49
05.01.2019 16:00;9;1;15;16;45
05.01.2019 17:00;8;0;15;16;43
05.01.2019 18:00;9;1;17;18;39
05.01.2019 19:00;8;1;16;17;37
05.01.2019 20:00;6;0;10;11;52
05.01.2019 21:00;6;0;11;12;54
05.01.2019 22:00;7;0;11;11;53
05.01.2019 23:00;7;1;17;18;44
06.01.2019 00:00;8;2;24;27;35
06.01.2019 01:00;7;1;17;18;39
06.01.2019 02:00;8;0;10;10;44
06.01.2019 03:00;9;0;9;9;46
06.01.2019 04:00;9;0;13;14;34
06.01.2019 05:00;10;0;14;14;30
06.01.2019 06:00;10;0;13;13;31
06.01.2019 07:00;10;1;15;15;31
06.01.2019 08:00;9;0;16;16;34
06.01.2019 09:00;9;1;16;18;32
06.01.2019 10:00;8;1;15;16;38
06.01.2019 11:00;7;1;14;15;44
06.01.2019 12:00;7;3;16;20;50
06.01.2019 13:00;6;1;14;16;56
06.01.2019 14:00;6;1;12;13;59
06.01.2019 15:00;7;1;14;15;53
06.01.2019 16:00;8;0;17;18;47
06.01.2019 17:00;9;1;27;28;33
06.01.2019 18:00;10;1;30;33;25
06.01.2019 19:00;11;3;28;32;19
06.01.2019 20:00;13;6;29;38;17
06.01.2019 21:00;13;2;38;41;10
06.01.2019 22:00;15;4;36;42;7
06.01.2019 23:00;16;7;40;51;4
07.01.2019 00:00;16;11;39;56;1
07.01.2019 01:00;16;10;33;48;4
07.01.2019 02:00;16;5;26;35;5
07.01.2019 03:00;18;10;28;44;3
07.01.2019 04:00;13;3;26;30;24
07.01.2019 05:00;10;4;28;33;27
07.01.2019 06:00;11;8;33;45;18
07.01.2019 07:00;13;20;43;75;7
07.01.2019 08:00;16;37;46;102;1
07.01.2019 09:00;14;69;48;154;1
07.01.2019 10:00;16;78;46;165;2
07.01.2019 11:00;19;80;44;165;2
07.01.2019 12:00;17;76;44;161;2
07.01.2019 13:00;11;41;47;109;4
07.01.2019 14:00;8;25;52;90;14
07.01.2019 15:00;10;18;50;78;20
07.01.2019 16:00;12;13;45;65;20
07.01.2019 17:00;13;11;41;57;20
07.01.2019 18:00;12;5;26;33;33
07.01.2019 19:00;11;6;36;45;23
07.01.2019 20:00;11;8;33;45;24
07.01.2019 21:00;12;5;26;34;27
07.01.2019 22:00;11;3;21;26;30
07.01.2019 23:00;15;4;19;24;31
08.01.2019 00:00;13;2;14;17;35
08.01.2019 01:00;9;2;15;17;33
08.01.2019 02:00;8;1;19;21;29
08.01.2019 03:00;7;1;18;19;29
08.01.2019 04:00;7;1;15;16;30
08.01.2019 05:00;8;1;14;16;31
08.01.2019 06:00;8;3;20;25;29
08.01.2019 07:00;9;4;21;27;40
08.01.2019 08:00;9;4;21;27;46
08.01.2019 09:00;9;5;22;29;49
08.01.2019 10:00;7;4;22;28;51
08.01.2019 11:00;7;4;20;26;53
08.01.2019 12:00;6;4;20;26;55
08.01.2019 13:00;5;5;28;36;48
08.01.2019 14:00;5;7;34;46;42
08.01.2019 15:00;5;9;33;47;44
08.01.2019 16:00;4;7;25;36;50
08.01.2019 17:00;6;10;38;54;39
08.01.2019 18:00;7;6;27;36;48
08.01.2019 19:00;6;1;13;14;49
08.01.2019 20:00;5;6;24;33;38
08.01.2019 21:00;5;10;31;46;29
08.01.2019 22:00;5;8;26;37;33
08.01.2019 23:00;4;4;17;22;42
09.01.2019 00:00;4;4;16;22;43
09.01.2019 01:00;4;2;11;14;49
09.01.2019 02:00;3;1;6;7;56
09.01.2019 03:00;3;0;4;3;59
09.01.2019 04:00;3;0;5;4;58
09.01.2019 05:00;3;0;5;5;56
09.01.2019 06:00;3;0;8;9;54
09.01.2019 07:00;3;1;13;14;50
09.01.2019 08:00;4;1;17;18;47
09.01.2019 09:00;4;1;17;18;46
09.01.2019 10:00;4;1;13;15;49
09.01.2019 11:00;4;1;12;14;49
09.01.2019 12:00;4;1;13;14;48
09.01.2019 13:00;4;1;13;15;47
09.01.2019 14:00;4;;;;
09.01.2019 15:00;4;;;;45
09.01.2019 16:00;4;2;12;14;47
09.01.2019 17:00;4;0;14;14;47
09.01.2019 18:00;5;0;14;15;46
09.01.2019 19:00;5;1;12;13;46
09.01.2019 20:00;5;0;12;13;41
09.01.2019 21:00;6;0;13;14;36
09.01.2019 22:00;6;0;10;10;43
09.01.2019 23:00;5;0;8;8;55
10.01.2019 00:00;4;0;6;6;60
10.01.2019 01:00;4;0;5;5;61
10.01.2019 02:00;4;0;5;5;62
10.01.2019 03:00;4;0;5;5;62
10.01.2019 04:00;4;0;6;5;62
10.01.2019 05:00;5;0;7;7;62
10.01.2019 06:00;5;0;9;8;59
10.01.2019 07:00;5;0;13;13;54
10.01.2019 08:00;6;0;15;15;52
10.01.2019 09:00;6;1;21;22;46
10.01.2019 10:00;6;1;17;18;50
10.01.2019 11:00;5;1;12;13;57
10.01.2019 12:00;6;1;13;14;56
10.01.2019 13:00;6;1;12;14;58
10.01.2019 14:00;5;1;12;13;59
10.01.2019 15:00;5;1;16;17;56
10.01.2019 16:00;5;1;15;16;57
10.01.2019 17:00;6;1;24;26;47
10.01.2019 18:00;7;2;27;30;43
10.01.2019 19:00;6;2;30;32;38
10.01.2019 20:00;7;2;26;29;38
10.01.2019 21:00;9;9;44;59;23
10.01.2019 22:00;10;7;45;56;21
10.01.2019 23:00;10;7;40;51;24
11.01.2019 00:00;9;4;34;40;28
11.01.2019 01:00;9;1;20;22;38
11.01.2019 02:00;11;1;18;19;36
11.01.2019 03:00;14;1;15;16;36
11.01.2019 04:00;18;1;17;18;31
11.01.2019 05:00;23;3;19;24;25
11.01.2019 06:00;21;4;26;32;24
11.01.2019 07:00;18;8;35;46;19
11.01.2019 08:00;15;12;40;60;15
11.01.2019 09:00;13;12;40;59;14
11.01.2019 10:00;11;10;32;47;22
11.01.2019 11:00;11;8;29;42;24
11.01.2019 12:00;14;8;29;41;21
11.01.2019 13:00;12;11;32;50;17
11.01.2019 14:00;10;11;33;49;18
11.01.2019 15:00;11;12;36;54;15
11.01.2019 16:00;9;17;42;69;9
11.01.2019 17:00;10;14;42;63;12
11.01.2019 18:00;10;11;40;57;16
11.01.2019 19:00;11;12;44;62;18
11.01.2019 20:00;10;16;53;78;18
11.01.2019 21:00;10;10;47;63;26
11.01.2019 22:00;12;11;44;60;31
11.01.2019 23:00;16;9;37;50;38
12.01.2019 00:00;20;3;16;20;53
12.01.2019 01:00;24;1;9;11;61
12.01.2019 02:00;24;0;7;8;66
12.01.2019 03:00;23;0;6;6;70
12.01.2019 04:00;24;2;16;18;61
12.01.2019 05:00;25;4;26;31;53
12.01.2019 06:00;26;5;34;42;43
12.01.2019 07:00;24;5;35;43;48
12.01.2019 08:00;21;6;41;50;46
12.01.2019 09:00;20;1;18;20;60
12.01.2019 10:00;19;2;23;26;50
12.01.2019 11:00;12;3;22;26;48
12.01.2019 12:00;6;2;20;23;49
12.01.2019 13:00;6;3;22;26;49
12.01.2019 14:00;6;4;25;31;47
12.01.2019 15:00;7;3;16;20;56
12.01.2019 16:00;8;2;13;16;57
12.01.2019 17:00;7;2;13;16;53
12.01.2019 18:00;9;2;15;19;45
12.01.2019 19:00;10;3;22;26;33
12.01.2019 20:00;11;4;32;39;20
12.01.2019 21:00;11;2;29;32;24
12.01.2019 22:00;9;2;20;22;40
12.01.2019 23:00;8;3;18;22;45
13.01.2019 00:00;7;2;18;21;46
13.01.2019 01:00;6;2;18;21;48
13.01.2019 02:00;5;2;11;14;58
13.01.2019 03:00;5;4;20;27;55
13.01.2019 04:00;4;5;23;31;54
13.01.2019 05:00;5;3;16;20;55
13.01.2019 06:00;5;2;13;16;57
13.01.2019 07:00;5;1;11;13;57
13.01.2019 08:00;6;1;15;16;53
13.01.2019 09:00;6;2;17;19;52
13.01.2019 10:00;6;1;12;14;55
13.01.2019 11:00;6;2;9;12;55
13.01.2019 12:00;6;2;8;10;58
13.01.2019 13:00;5;2;8;12;58
13.01.2019 14:00;4;2;10;13;54
13.01.2019 15:00;4;3;15;20;43
13.01.2019 16:00;5;4;24;30;32
13.01.2019 17:00;4;3;18;23;42
13.01.2019 18:00;4;3;28;33;35
13.01.2019 19:00;5;3;19;24;46
13.01.2019 20:00;4;7;29;41;48
13.01.2019 21:00;5;6;26;35;57
13.01.2019 22:00;6;5;25;33;61
13.01.2019 23:00;7;6;24;33;62
14.01.2019 00:00;7;4;19;25;65
14.01.2019 01:00;8;4;14;19;67
14.01.2019 02:00;12;2;7;9;69
14.01.2019 03:00;13;2;8;12;66
14.01.2019 04:00;14;1;6;8;66
14.01.2019 05:00;13;2;6;8;67
14.01.2019 06:00;13;1;7;9;69
14.01.2019 07:00;12;3;16;21;62
14.01.2019 08:00;11;7;25;35;54
14.01.2019 09:00;8;2;15;18;62
14.01.2019 10:00;10;6;22;32;60
14.01.2019 11:00;11;6;19;29;62
