Station;018 Schöneberg;018 Schöneberg;018 Schöneberg
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2019 00:00;1;12;14
01.01.2019 01:00;13;32;53
01.01.2019 02:00;1;13;15
01.01.2019 03:00;1;8;9
01.01.2019 04:00;1;7;8
01.01.2019 05:00;0;7;8
01.01.2019 06:00;0;7;7
01.01.2019 07:00;0;6;7
01.01.2019 08:00;1;6;7
01.01.2019 09:00;1;5;6
01.01.2019 10:00;0;7;8
01.01.2019 11:00;1;7;8
01.01.2019 12:00;1;7;8
01.01.2019 13:00;1;7;8
01.01.2019 14:00;1;6;7
01.01.2019 15:00;1;7;8
01.01.2019 16:00;1;8;9
01.01.2019 17:00;1;9;10
01.01.2019 18:00;1;8;9
01.01.2019 19:00;1;8;9
01.01.2019 20:00;1;7;7
01.01.2019 21:00;0;6;6
01.01.2019 22:00;1;6;7
01.01.2019 23:00;1;4;5
02.01.2019 00:00;1;3;4
02.01.2019 01:00;1;3;4
02.01.2019 02:00;1;3;5
02.01.2019 03:00;1;3;5
02.01.2019 04:00;1;4;5
02.01.2019 05:00;1;7;8
02.01.2019 06:00;1;12;14
02.01.2019 07:00;1;10;11
02.01.2019 08:00;1;19;20
02.01.2019 09:00;1;14;16
02.01.2019 10:00;2;11;14
02.01.2019 11:00;2;15;18
02.01.2019 12:00;3;17;22
02.01.2019 13:00;2;13;17
02.01.2019 14:00;2;9;13
02.01.2019 15:00;2;11;14
02.01.2019 16:00;2;14;17
02.01.2019 17:00;1;12;14
02.01.2019 18:00;2;11;13
02.01.2019 19:00;1;14;17
02.01.2019 20:00;1;22;24
02.01.2019 21:00;2;22;24
02.01.2019 22:00;1;22;24
02.01.2019 23:00;1;28;30
03.01.2019 00:00;1;14;16
03.01.2019 01:00;1;14;16
03.01.2019 02:00;1;13;15
03.01.2019 03:00;1;23;24
03.01.2019 04:00;1;20;22
03.01.2019 05:00;1;17;20
03.01.2019 06:00;1;15;17
03.01.2019 07:00;2;34;37
03.01.2019 08:00;3;39;43
03.01.2019 09:00;3;36;41
03.01.2019 10:00;4;28;34
03.01.2019 11:00;3;26;31
03.01.2019 12:00;4;27;33
03.01.2019 13:00;5;27;35
03.01.2019 14:00;5;25;32
03.01.2019 15:00;4;29;36
03.01.2019 16:00;7;43;53
03.01.2019 17:00;5;43;51
03.01.2019 18:00;4;45;51
03.01.2019 19:00;4;43;49
03.01.2019 20:00;5;52;60
03.01.2019 21:00;7;58;69
03.01.2019 22:00;4;52;59
03.01.2019 23:00;3;46;50
04.01.2019 00:00;2;37;41
04.01.2019 01:00;1;24;25
04.01.2019 02:00;0;22;23
04.01.2019 03:00;1;29;30
04.01.2019 04:00;0;18;18
04.01.2019 05:00;1;18;19
04.01.2019 06:00;1;20;22
04.01.2019 07:00;2;26;29
04.01.2019 08:00;4;29;35
04.01.2019 09:00;4;29;35
04.01.2019 10:00;4;24;30
04.01.2019 11:00;3;21;26
04.01.2019 12:00;2;18;22
04.01.2019 13:00;2;17;20
04.01.2019 14:00;;;
04.01.2019 15:00;;;
04.01.2019 16:00;3;25;28
