Station;018 Schöneberg;018 Schöneberg;018 Schöneberg
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2018 00:00;1;12;14
01.01.2018 01:00;20;42;72
01.01.2018 02:00;1;13;15
01.01.2018 03:00;1;11;13
01.01.2018 04:00;1;9;10
01.01.2018 05:00;1;5;6
01.01.2018 06:00;0;7;7
01.01.2018 07:00;0;8;8
01.01.2018 08:00;0;5;5
01.01.2018 09:00;0;4;5
01.01.2018 10:00;1;8;8
01.01.2018 11:00;1;5;6
01.01.2018 12:00;0;5;6
01.01.2018 13:00;1;6;7
01.01.2018 14:00;1;7;8
01.01.2018 15:00;1;7;9
01.01.2018 16:00;1;12;14
01.01.2018 17:00;1;18;18
01.01.2018 18:00;1;19;20
01.01.2018 19:00;0;18;19
01.01.2018 20:00;2;43;46
01.01.2018 21:00;2;49;52
01.01.2018 22:00;1;36;38
01.01.2018 23:00;1;26;27
02.01.2018 00:00;1;23;24
02.01.2018 01:00;1;24;25
02.01.2018 02:00;0;27;27
02.01.2018 03:00;1;20;21
02.01.2018 04:00;0;13;14
02.01.2018 05:00;0;21;22
02.01.2018 06:00;1;30;30
02.01.2018 07:00;3;40;44
02.01.2018 08:00;6;43;51
02.01.2018 09:00;2;23;26
02.01.2018 10:00;5;35;42
02.01.2018 11:00;3;25;30
02.01.2018 12:00;7;23;33
02.01.2018 13:00;3;19;24
02.01.2018 14:00;3;20;25
02.01.2018 15:00;3;23;27
02.01.2018 16:00;2;20;23
02.01.2018 17:00;2;22;25
02.01.2018 18:00;4;41;47
02.01.2018 19:00;3;34;39
02.01.2018 20:00;2;30;32
02.01.2018 21:00;2;20;23
02.01.2018 22:00;1;24;24
02.01.2018 23:00;1;25;26
03.01.2018 00:00;1;21;22
03.01.2018 01:00;1;21;22
03.01.2018 02:00;1;17;19
03.01.2018 03:00;0;16;16
03.01.2018 04:00;2;12;14
03.01.2018 05:00;0;11;11
03.01.2018 06:00;0;15;16
03.01.2018 07:00;1;23;25
03.01.2018 08:00;2;27;31
03.01.2018 09:00;3;27;31
03.01.2018 10:00;4;27;33
03.01.2018 11:00;5;27;35
03.01.2018 12:00;5;29;36
03.01.2018 13:00;7;32;43
03.01.2018 14:00;2;17;20
03.01.2018 15:00;2;14;17
03.01.2018 16:00;2;28;31
03.01.2018 17:00;1;23;24
03.01.2018 18:00;1;20;22
03.01.2018 19:00;1;19;20
03.01.2018 20:00;0;12;13
03.01.2018 21:00;0;10;10
03.01.2018 22:00;0;7;7
03.01.2018 23:00;0;6;6
04.01.2018 00:00;0;5;5
04.01.2018 01:00;0;4;3
04.01.2018 02:00;0;4;3
04.01.2018 03:00;0;4;3
04.01.2018 04:00;0;3;3
04.01.2018 05:00;1;5;6
04.01.2018 06:00;1;7;8
04.01.2018 07:00;4;28;34
04.01.2018 08:00;2;21;24
04.01.2018 09:00;3;20;24
04.01.2018 10:00;2;20;23
04.01.2018 11:00;3;17;21
04.01.2018 12:00;3;17;21
04.01.2018 13:00;3;17;22
04.01.2018 14:00;3;19;24
04.01.2018 15:00;4;29;35
