Station;027 Marienfelde;027 Marienfelde;027 Marienfelde;027 Marienfelde
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2013 00:00;0;6;6;61
01.01.2013 01:00;0;5;6;62
01.01.2013 02:00;0;7;7;60
01.01.2013 03:00;0;5;5;62
01.01.2013 04:00;0;6;6;60
01.01.2013 05:00;0;6;6;58
01.01.2013 06:00;0;6;6;55
01.01.2013 07:00;0;6;6;56
01.01.2013 08:00;0;6;6;57
01.01.2013 09:00;0;6;6;56
01.01.2013 10:00;0;7;7;56
01.01.2013 11:00;0;7;7;56
01.01.2013 12:00;0;7;8;56
01.01.2013 13:00;0;7;8;58
01.01.2013 14:00;0;8;8;57
01.01.2013 15:00;0;7;8;56
01.01.2013 16:00;0;7;7;56
01.01.2013 17:00;0;7;7;54
01.01.2013 18:00;0;7;7;53
01.01.2013 19:00;0;8;8;50
01.01.2013 20:00;0;7;7;50
01.01.2013 21:00;0;6;6;52
01.01.2013 22:00;0;6;6;51
01.01.2013 23:00;0;5;5;56
02.01.2013 00:00;0;4;4;70
02.01.2013 01:00;0;4;4;69
02.01.2013 02:00;0;4;4;64
02.01.2013 03:00;0;6;6;61
02.01.2013 04:00;0;9;9;54
02.01.2013 05:00;0;9;9;55
02.01.2013 06:00;0;8;8;56
02.01.2013 07:00;0;9;9;53
02.01.2013 08:00;0;13;13;48
02.01.2013 09:00;0;11;12;49
02.01.2013 10:00;1;13;14;47
02.01.2013 11:00;1;12;14;46
02.01.2013 12:00;1;14;15;43
02.01.2013 13:00;1;13;14;47
02.01.2013 14:00;1;14;16;45
02.01.2013 15:00;1;13;14;48
02.01.2013 16:00;0;13;14;49
02.01.2013 17:00;0;14;15;47
02.01.2013 18:00;0;12;13;51
02.01.2013 19:00;0;12;12;52
02.01.2013 20:00;0;14;14;48
02.01.2013 21:00;0;14;14;45
02.01.2013 22:00;0;14;14;44
02.01.2013 23:00;0;12;13;46
03.01.2013 00:00;0;10;11;45
03.01.2013 01:00;0;10;10;42
