Station;027 Marienfelde;027 Marienfelde;027 Marienfelde;027 Marienfelde
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2012 00:00;1;14;15;21
01.01.2012 01:00;6;22;32;11
01.01.2012 02:00;4;23;29;10
01.01.2012 03:00;1;13;14;18
01.01.2012 04:00;1;13;16;17
01.01.2012 05:00;1;13;15;15
01.01.2012 06:00;1;10;11;14
01.01.2012 07:00;0;11;11;14
01.01.2012 08:00;1;12;14;12
01.01.2012 09:00;1;12;13;12
01.01.2012 10:00;1;11;13;13
01.01.2012 11:00;1;11;13;15
01.01.2012 12:00;1;12;14;17
01.01.2012 13:00;1;10;12;25
01.01.2012 14:00;0;8;9;32
01.01.2012 15:00;0;7;8;35
01.01.2012 16:00;0;9;9;33
01.01.2012 17:00;0;10;10;30
01.01.2012 18:00;0;10;10;29
01.01.2012 19:00;0;10;10;26
01.01.2012 20:00;0;9;10;26
01.01.2012 21:00;0;8;8;28
01.01.2012 22:00;0;8;8;31
01.01.2012 23:00;0;8;8;33
02.01.2012 00:00;0;8;8;32
02.01.2012 01:00;0;7;7;34
02.01.2012 02:00;0;5;6;38
02.01.2012 03:00;0;5;5;42
02.01.2012 04:00;0;5;5;42
02.01.2012 05:00;0;5;5;44
02.01.2012 06:00;0;5;5;45
02.01.2012 07:00;0;5;5;45
02.01.2012 08:00;0;8;8;46
02.01.2012 09:00;0;9;10;51
02.01.2012 10:00;0;11;11;55
02.01.2012 11:00;0;12;13;55
02.01.2012 12:00;1;18;20;45
02.01.2012 13:00;1;18;19;46
02.01.2012 14:00;1;19;21;47
02.01.2012 15:00;1;22;23;40
02.01.2012 16:00;0;16;16;51
02.01.2012 17:00;0;12;12;61
02.01.2012 18:00;0;14;14;53
02.01.2012 19:00;0;13;13;50
02.01.2012 20:00;0;13;14;46
02.01.2012 21:00;0;13;13;43
02.01.2012 22:00;0;16;16;37
02.01.2012 23:00;0;16;16;35
03.01.2012 00:00;0;17;17;32
03.01.2012 01:00;0;15;15;33
