Station;032 Grunewald;032 Grunewald;032 Grunewald;032 Grunewald
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2014 00:00;0;19;20;13
01.01.2014 01:00;2;21;24;11
01.01.2014 02:00;4;28;34;3
01.01.2014 03:00;2;25;28;8
01.01.2014 04:00;0;19;19;16
01.01.2014 05:00;0;16;17;17
01.01.2014 06:00;0;16;17;16
01.01.2014 07:00;0;16;17;17
01.01.2014 08:00;0;18;19;13
01.01.2014 09:00;1;19;20;12
01.01.2014 10:00;1;17;18;17
01.01.2014 11:00;1;15;17;19
01.01.2014 12:00;1;14;16;23
01.01.2014 13:00;1;15;16;21
01.01.2014 14:00;2;18;21;16
01.01.2014 15:00;2;22;25;15
01.01.2014 16:00;1;19;20;19
01.01.2014 17:00;0;21;22;14
01.01.2014 18:00;1;24;26;9
01.01.2014 19:00;0;20;21;11
01.01.2014 20:00;3;26;30;5
01.01.2014 21:00;11;31;48;1
01.01.2014 22:00;10;31;46;1
01.01.2014 23:00;7;28;38;2
02.01.2014 00:00;4;26;32;4
02.01.2014 01:00;1;20;21;10
02.01.2014 02:00;0;17;18;14
02.01.2014 03:00;0;16;16;14
02.01.2014 04:00;1;16;18;11
02.01.2014 05:00;1;16;17;15
02.01.2014 06:00;1;14;15;19
02.01.2014 07:00;1;17;18;16
02.01.2014 08:00;1;23;25;12
02.01.2014 09:00;2;24;27;11
02.01.2014 10:00;1;19;21;19
02.01.2014 11:00;1;15;17;24
02.01.2014 12:00;2;17;20;23
02.01.2014 13:00;2;16;19;25
02.01.2014 14:00;2;22;24;20
02.01.2014 15:00;1;19;21;27
02.01.2014 16:00;1;19;20;31
02.01.2014 17:00;1;18;19;29
02.01.2014 18:00;1;21;22;24
02.01.2014 19:00;1;22;23;23
02.01.2014 20:00;1;21;23;23
02.01.2014 21:00;1;16;17;30
02.01.2014 22:00;1;16;17;30
02.01.2014 23:00;1;17;18;27
03.01.2014 00:00;1;16;17;26
03.01.2014 01:00;1;14;15;26
