Station;032 Grunewald;032 Grunewald;032 Grunewald;032 Grunewald;032 Grunewald
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2017 00:00;23;0;9;10;33
01.01.2017 01:00;30;0;20;20;26
01.01.2017 02:00;64;0;18;18;28
01.01.2017 03:00;44;0;15;15;31
01.01.2017 04:00;24;0;12;12;35
01.01.2017 05:00;20;0;12;12;30
01.01.2017 06:00;20;0;12;12;27
01.01.2017 07:00;25;0;16;16;26
01.01.2017 08:00;30;0;15;15;29
01.01.2017 09:00;28;0;15;15;26
01.01.2017 10:00;22;0;12;13;39
01.01.2017 11:00;21;1;16;17;33
01.01.2017 12:00;18;1;15;16;28
01.01.2017 13:00;16;0;12;13;41
01.01.2017 14:00;15;0;12;12;43
01.01.2017 15:00;15;0;13;13;40
01.01.2017 16:00;16;0;14;14;34
01.01.2017 17:00;17;0;20;20;27
01.01.2017 18:00;19;0;30;30;14
01.01.2017 19:00;20;0;30;31;12
01.01.2017 20:00;22;1;40;42;7
01.01.2017 21:00;24;0;37;38;10
01.01.2017 22:00;24;0;33;33;13
01.01.2017 23:00;24;0;28;28;19
02.01.2017 00:00;26;0;24;25;20
02.01.2017 01:00;27;0;26;26;18
02.01.2017 02:00;29;1;28;29;14
02.01.2017 03:00;30;1;26;26;14
02.01.2017 04:00;29;1;23;24;13
02.01.2017 05:00;26;0;22;23;13
02.01.2017 06:00;23;0;20;21;13
02.01.2017 07:00;22;0;18;19;14
02.01.2017 08:00;22;0;17;17;16
02.01.2017 09:00;21;1;16;16;18
02.01.2017 10:00;19;1;13;14;21
02.01.2017 11:00;17;1;10;11;25
02.01.2017 12:00;17;1;7;9;32
02.01.2017 13:00;16;1;7;8;34
02.01.2017 14:00;14;0;7;7;39
02.01.2017 15:00;10;1;7;8;46
02.01.2017 16:00;7;0;6;7;51
02.01.2017 17:00;7;0;7;7;44
02.01.2017 18:00;7;0;7;8;36
02.01.2017 19:00;9;0;10;10;35
02.01.2017 20:00;10;0;9;10;34
02.01.2017 21:00;10;0;10;10;36
02.01.2017 22:00;12;0;12;13;33
02.01.2017 23:00;13;0;12;12;34
03.01.2017 00:00;16;0;13;14;32
03.01.2017 01:00;18;0;14;15;33
03.01.2017 02:00;17;0;11;11;39
03.01.2017 03:00;15;0;7;7;47
03.01.2017 04:00;13;0;5;5;50
03.01.2017 05:00;10;0;4;4;54
03.01.2017 06:00;8;0;4;3;57
03.01.2017 07:00;8;0;4;4;54
03.01.2017 08:00;8;0;5;5;53
03.01.2017 09:00;8;0;5;4;55
03.01.2017 10:00;8;0;5;5;55
03.01.2017 11:00;12;0;6;6;53
03.01.2017 12:00;14;0;7;7;54
03.01.2017 13:00;14;0;8;8;54
03.01.2017 14:00;12;0;10;11;52
03.01.2017 15:00;10;0;11;11;52
03.01.2017 16:00;9;0;10;10;54
03.01.2017 17:00;11;0;11;11;50
03.01.2017 18:00;13;0;11;11;50
03.01.2017 19:00;13;0;11;11;51
03.01.2017 20:00;15;0;15;15;43
03.01.2017 21:00;13;0;16;16;39
03.01.2017 22:00;13;0;19;19;34
03.01.2017 23:00;13;0;19;19;32
04.01.2017 00:00;13;0;18;18;33
04.01.2017 01:00;13;0;17;17;34
04.01.2017 02:00;11;0;14;14;37
04.01.2017 03:00;7;0;11;11;44
04.01.2017 04:00;5;0;1;1;80
04.01.2017 05:00;7;0;1;1;80
04.01.2017 06:00;9;0;1;1;81
04.01.2017 07:00;9;0;2;2;78
04.01.2017 08:00;12;0;2;2;77
04.01.2017 09:00;10;0;2;2;77
04.01.2017 10:00;9;0;2;2;76
04.01.2017 11:00;8;0;2;2;74
04.01.2017 12:00;11;0;2;2;75
04.01.2017 13:00;7;0;2;2;75
04.01.2017 14:00;7;0;2;3;74
04.01.2017 15:00;4;0;4;4;73
04.01.2017 16:00;6;0;5;5;67
04.01.2017 17:00;5;0;6;6;61
04.01.2017 18:00;5;0;6;6;58
04.01.2017 19:00;5;0;6;6;57
04.01.2017 20:00;5;0;6;6;56
04.01.2017 21:00;5;0;4;4;60
04.01.2017 22:00;4;0;3;3;62
04.01.2017 23:00;4;0;3;3;61
05.01.2017 00:00;5;0;3;3;58
05.01.2017 01:00;5;0;4;4;54
05.01.2017 02:00;5;0;4;4;56
05.01.2017 03:00;5;0;4;4;59
05.01.2017 04:00;5;0;3;3;61
05.01.2017 05:00;5;0;4;4;59
05.01.2017 06:00;5;0;4;4;60
05.01.2017 07:00;5;0;6;6;58
05.01.2017 08:00;5;0;8;8;57
05.01.2017 09:00;5;0;9;9;58
05.01.2017 10:00;5;0;9;10;59
05.01.2017 11:00;5;0;10;11;61
05.01.2017 12:00;5;0;8;9;66
05.01.2017 13:00;4;1;8;9;66
05.01.2017 14:00;4;0;6;6;69
05.01.2017 15:00;4;0;11;11;66
05.01.2017 16:00;6;0;9;9;66
05.01.2017 17:00;5;0;6;6;68
05.01.2017 18:00;5;0;8;8;66
05.01.2017 19:00;5;0;7;7;67
05.01.2017 20:00;5;0;7;7;64
05.01.2017 21:00;5;0;7;7;63
05.01.2017 22:00;6;0;7;7;62
05.01.2017 23:00;6;0;7;7;61
06.01.2017 00:00;5;0;7;7;59
06.01.2017 01:00;5;0;9;9;55
06.01.2017 02:00;6;0;9;9;49
06.01.2017 03:00;6;0;7;7;49
06.01.2017 04:00;6;0;7;7;47
06.01.2017 05:00;7;0;7;7;45
06.01.2017 06:00;6;0;8;9;41
06.01.2017 07:00;5;0;7;8;45
06.01.2017 08:00;5;0;10;11;42
06.01.2017 09:00;5;1;16;17;36
06.01.2017 10:00;6;1;19;21;34
06.01.2017 11:00;6;2;19;21;39
06.01.2017 12:00;7;2;21;25;43
06.01.2017 13:00;7;2;17;20;47
06.01.2017 14:00;8;1;14;16;49
06.01.2017 15:00;8;1;13;14;51
06.01.2017 16:00;8;0;13;14;53
06.01.2017 17:00;7;0;9;10;55
06.01.2017 18:00;7;0;8;8;50
06.01.2017 19:00;7;0;8;9;46
06.01.2017 20:00;8;0;8;9;46
06.01.2017 21:00;8;0;7;8;46
06.01.2017 22:00;9;0;9;10;38
06.01.2017 23:00;9;0;14;15;31
07.01.2017 00:00;17;29;58;102;4
07.01.2017 01:00;22;14;55;76;2
07.01.2017 02:00;17;1;40;41;15
07.01.2017 03:00;13;0;24;25;31
07.01.2017 04:00;15;0;22;22;34
07.01.2017 05:00;13;0;17;17;42
07.01.2017 06:00;14;0;15;15;44
07.01.2017 07:00;15;0;17;17;42
07.01.2017 08:00;16;0;17;18;41
07.01.2017 09:00;15;0;17;18;43
07.01.2017 10:00;15;1;18;19;44
07.01.2017 11:00;14;1;16;18;46
07.01.2017 12:00;13;1;16;17;47
07.01.2017 13:00;12;1;17;18;48
07.01.2017 14:00;15;1;17;18;48
07.01.2017 15:00;12;1;16;17;49
07.01.2017 16:00;13;0;16;17;48
07.01.2017 17:00;14;0;18;19;46
07.01.2017 18:00;13;0;17;17;46
07.01.2017 19:00;15;0;17;17;43
07.01.2017 20:00;19;0;18;19;40
07.01.2017 21:00;20;0;18;18;37
07.01.2017 22:00;20;0;16;16;35
07.01.2017 23:00;21;0;21;22;28
08.01.2017 00:00;21;0;18;19;26
08.01.2017 01:00;22;0;19;20;20
08.01.2017 02:00;23;0;23;23;14
08.01.2017 03:00;25;0;27;28;10
08.01.2017 04:00;26;1;23;24;13
08.01.2017 05:00;26;1;20;21;12
08.01.2017 06:00;24;0;21;22;10
08.01.2017 07:00;24;1;22;23;7
08.01.2017 08:00;24;1;23;25;2
08.01.2017 09:00;28;7;24;35;2
08.01.2017 10:00;39;20;36;67;2
08.01.2017 11:00;33;12;35;53;6
08.01.2017 12:00;32;13;36;57;6
08.01.2017 13:00;27;9;33;46;11
08.01.2017 14:00;28;5;32;40;13
08.01.2017 15:00;29;4;35;42;11
08.01.2017 16:00;34;5;39;46;6
08.01.2017 17:00;37;6;43;53;2
08.01.2017 18:00;36;6;39;47;1
08.01.2017 19:00;38;8;40;53;1
08.01.2017 20:00;40;13;41;61;2
08.01.2017 21:00;39;15;38;61;2
08.01.2017 22:00;40;19;39;67;2
08.01.2017 23:00;37;15;35;58;2
09.01.2017 00:00;26;0;16;16;18
09.01.2017 01:00;21;0;11;11;22
09.01.2017 02:00;17;0;9;9;23
09.01.2017 03:00;20;0;9;9;21
09.01.2017 04:00;19;0;9;9;18
09.01.2017 05:00;20;0;11;11;14
09.01.2017 06:00;22;0;18;18;6
09.01.2017 07:00;21;6;26;34;1
09.01.2017 08:00;22;13;27;46;0
09.01.2017 09:00;23;24;28;65;1
09.01.2017 10:00;26;31;29;76;1
09.01.2017 11:00;26;27;28;69;1
09.01.2017 12:00;28;28;28;71;2
09.01.2017 13:00;30;31;28;76;2
09.01.2017 14:00;31;29;28;72;2
09.01.2017 15:00;30;24;26;63;1
09.01.2017 16:00;28;23;27;62;1
09.01.2017 17:00;28;17;24;51;1
09.01.2017 18:00;29;17;25;50;1
09.01.2017 19:00;28;15;26;49;1
09.01.2017 20:00;28;7;27;38;1
09.01.2017 21:00;30;4;28;35;1
09.01.2017 22:00;29;2;28;31;4
09.01.2017 23:00;27;0;26;27;10
10.01.2017 00:00;26;0;23;24;16
10.01.2017 01:00;21;0;17;17;31
10.01.2017 02:00;19;0;14;14;39
10.01.2017 03:00;17;0;12;12;43
10.01.2017 04:00;16;0;10;11;44
10.01.2017 05:00;17;0;12;12;41
10.01.2017 06:00;17;0;15;15;38
10.01.2017 07:00;18;0;27;28;27
10.01.2017 08:00;20;0;27;28;27
10.01.2017 09:00;21;1;35;37;20
10.01.2017 10:00;23;3;29;33;25
10.01.2017 11:00;23;3;23;27;34
10.01.2017 12:00;22;3;21;25;38
10.01.2017 13:00;21;2;22;25;40
10.01.2017 14:00;18;1;17;20;46
10.01.2017 15:00;20;1;19;21;43
10.01.2017 16:00;22;1;23;24;38
10.01.2017 17:00;23;0;35;36;25
10.01.2017 18:00;26;2;52;55;11
10.01.2017 19:00;23;1;48;50;14
10.01.2017 20:00;22;0;38;39;23
10.01.2017 21:00;25;0;37;38;23
10.01.2017 22:00;25;0;24;24;36
10.01.2017 23:00;30;0;21;22;39
11.01.2017 00:00;31;0;20;20;40
11.01.2017 01:00;31;0;18;18;40
11.01.2017 02:00;29;0;18;17;41
11.01.2017 03:00;27;0;18;18;40
11.01.2017 04:00;27;0;18;18;40
11.01.2017 05:00;28;0;20;20;38
11.01.2017 06:00;28;0;21;21;37
11.01.2017 07:00;28;0;21;21;37
11.01.2017 08:00;29;0;24;24;34
11.01.2017 09:00;30;0;24;24;35
11.01.2017 10:00;30;0;21;22;39
11.01.2017 11:00;29;1;22;24;40
11.01.2017 12:00;28;1;22;23;42
11.01.2017 13:00;26;1;21;22;43
11.01.2017 14:00;23;1;19;19;46
11.01.2017 15:00;23;0;19;18;44
11.01.2017 16:00;20;0;19;19;39
11.01.2017 17:00;21;0;23;23;32
11.01.2017 18:00;20;0;24;24;28
11.01.2017 19:00;11;0;17;16;35
11.01.2017 20:00;10;0;15;14;37
11.01.2017 21:00;8;0;14;13;42
11.01.2017 22:00;8;0;10;10;57
11.01.2017 23:00;8;0;8;7;65
12.01.2017 00:00;8;0;5;4;70
12.01.2017 01:00;10;0;4;3;71
12.01.2017 02:00;9;0;4;3;72
12.01.2017 03:00;10;0;2;2;74
12.01.2017 04:00;10;0;2;2;74
12.01.2017 05:00;8;0;1;2;75
12.01.2017 06:00;8;0;1;2;75
12.01.2017 07:00;8;0;2;3;72
12.01.2017 08:00;10;0;3;4;70
12.01.2017 09:00;10;0;5;6;67
12.01.2017 10:00;10;1;7;8;65
12.01.2017 11:00;11;0;8;9;63
12.01.2017 12:00;11;1;8;9;62
12.01.2017 13:00;12;1;8;9;62
12.01.2017 14:00;12;1;8;9;63
12.01.2017 15:00;13;;;;60
12.01.2017 16:00;13;;;;
12.01.2017 17:00;13;0;11;11;50
12.01.2017 18:00;13;0;11;12;48
12.01.2017 19:00;13;0;11;12;47
12.01.2017 20:00;14;0;14;15;44
12.01.2017 21:00;14;0;20;21;40
12.01.2017 22:00;13;0;16;16;43
12.01.2017 23:00;14;0;16;16;40
13.01.2017 00:00;13;0;22;22;34
13.01.2017 01:00;13;0;13;14;42
13.01.2017 02:00;13;0;17;17;37
13.01.2017 03:00;14;0;13;13;41
13.01.2017 04:00;13;0;14;14;44
13.01.2017 05:00;12;0;12;12;47
13.01.2017 06:00;9;0;11;11;48
13.01.2017 07:00;11;0;15;15;41
13.01.2017 08:00;10;0;23;24;32
13.01.2017 09:00;5;0;14;14;46
13.01.2017 10:00;4;0;10;10;48
13.01.2017 11:00;3;0;8;9;45
13.01.2017 12:00;4;0;10;10;42
13.01.2017 13:00;4;0;10;10;41
13.01.2017 14:00;6;1;10;11;39
13.01.2017 15:00;7;0;8;9;47
13.01.2017 16:00;9;0;7;7;58
13.01.2017 17:00;9;0;7;7;58
13.01.2017 18:00;8;0;7;7;56
13.01.2017 19:00;11;0;9;10;48
13.01.2017 20:00;13;0;9;9;54
13.01.2017 21:00;12;0;6;6;60
13.01.2017 22:00;13;0;5;5;62
13.01.2017 23:00;14;0;5;5;55
14.01.2017 00:00;15;0;10;11;39
14.01.2017 01:00;15;0;23;23;30
14.01.2017 02:00;14;0;14;15;40
14.01.2017 03:00;14;0;12;13;42
14.01.2017 04:00;15;0;19;19;32
14.01.2017 05:00;15;0;21;21;26
14.01.2017 06:00;14;0;22;22;28
14.01.2017 07:00;13;0;23;22;28
14.01.2017 08:00;13;0;27;26;21
14.01.2017 09:00;13;0;28;28;16
14.01.2017 10:00;15;1;29;30;19
