Station;042 Neukölln;042 Neukölln;042 Neukölln;042 Neukölln;042 Neukölln;042 Neukölln
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon;Benzol;Toluol
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2015 00:00;9;29;43;10;;
01.01.2015 01:00;68;38;142;3;;
01.01.2015 02:00;13;32;52;6;;
01.01.2015 03:00;10;29;45;9;;
01.01.2015 04:00;4;25;31;16;;
01.01.2015 05:00;4;23;28;22;;
01.01.2015 06:00;3;24;29;22;;
01.01.2015 07:00;3;25;30;25;;
01.01.2015 08:00;2;21;24;31;;
01.01.2015 09:00;2;18;22;33;;
01.01.2015 10:00;3;18;22;34;;
01.01.2015 11:00;5;20;28;29;;
01.01.2015 12:00;4;17;24;37;;
01.01.2015 13:00;4;17;24;40;;
01.01.2015 14:00;4;17;22;44;;
01.01.2015 15:00;3;19;23;46;;
01.01.2015 16:00;6;29;38;30;;
01.01.2015 17:00;6;36;45;16;;
01.01.2015 18:00;8;35;47;13;;
01.01.2015 19:00;7;34;45;14;;
01.01.2015 20:00;5;26;33;20;;
01.01.2015 21:00;3;22;26;26;;
01.01.2015 22:00;2;21;24;29;;
01.01.2015 23:00;2;19;22;33;;
02.01.2015 00:00;2;15;18;39;;
02.01.2015 01:00;1;14;16;40;;
02.01.2015 02:00;1;13;15;42;;
02.01.2015 03:00;2;12;15;43;;
02.01.2015 04:00;1;11;13;45;;
02.01.2015 05:00;1;12;14;44;;
02.01.2015 06:00;1;12;14;43;;
02.01.2015 07:00;2;15;19;40;;
02.01.2015 08:00;7;26;37;30;;
02.01.2015 09:00;4;24;30;32;;
02.01.2015 10:00;7;27;38;29;;
02.01.2015 11:00;6;27;36;29;;
02.01.2015 12:00;5;26;33;31;;
02.01.2015 13:00;5;27;35;31;;
02.01.2015 14:00;5;23;31;37;0.9;1.5
02.01.2015 15:00;5;24;31;40;0.9;1.4
02.01.2015 16:00;4;25;31;44;1.0;1.8
02.01.2015 17:00;3;23;28;54;0.9;1.3
02.01.2015 18:00;4;25;31;52;0.9;1.5
02.01.2015 19:00;5;23;30;54;0.7;1.0
02.01.2015 20:00;3;21;26;54;0.6;1.1
02.01.2015 21:00;2;17;20;57;0.7;0.8
02.01.2015 22:00;2;15;18;60;0.8;2.1
02.01.2015 23:00;2;13;16;61;0.6;0.7
03.01.2015 00:00;2;12;14;60;0.6;0.8
03.01.2015 01:00;1;11;13;60;0.7;0.7
03.01.2015 02:00;1;8;11;65;0.6;0.9
03.01.2015 03:00;1;7;9;69;0.4;0.9
03.01.2015 04:00;1;7;9;70;0.4;0.4
03.01.2015 05:00;1;8;10;69;0.4;0.6
03.01.2015 06:00;1;10;12;65;0.5;0.3
03.01.2015 07:00;1;14;15;61;0.5;0.5
03.01.2015 08:00;1;13;15;59;0.5;0.5
03.01.2015 09:00;2;15;17;55;0.6;0.8
