Station;042 Neukölln;042 Neukölln;042 Neukölln;042 Neukölln;042 Neukölln;042 Neukölln;042 Neukölln
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon;Benzol;Toluol
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2018 00:00;38;1;15;16;47;0.6;0.7
01.01.2018 01:00;139;11;37;55;23;1.3;0.6
01.01.2018 02:00;39;1;14;16;48;0.7;0.6
01.01.2018 03:00;28;2;13;16;47;0.5;0.6
01.01.2018 04:00;19;1;11;12;50;0.4;1.0
01.01.2018 05:00;16;1;8;10;71;0.4;0.5
01.01.2018 06:00;9;1;9;11;74;0.4;0.4
01.01.2018 07:00;5;1;7;8;72;0.4;0.4
01.01.2018 08:00;5;1;5;6;76;0.4;0.3
01.01.2018 09:00;6;1;5;6;78;0.5;0.3
01.01.2018 10:00;7;1;6;8;72;0.4;0.5
01.01.2018 11:00;5;1;5;6;75;0.5;0.4
01.01.2018 12:00;6;1;5;7;74;0.4;0.6
01.01.2018 13:00;6;1;6;8;73;0.5;0.4
01.01.2018 14:00;7;1;8;10;72;0.6;0.5
01.01.2018 15:00;8;1;9;11;72;0.5;0.6
01.01.2018 16:00;8;2;15;18;65;0.6;1.6
01.01.2018 17:00;11;1;18;20;61;0.6;0.8
01.01.2018 18:00;11;1;21;23;56;0.8;1.1
01.01.2018 19:00;10;2;21;24;53;0.9;0.9
01.01.2018 20:00;18;2;42;46;31;1.1;1.8
01.01.2018 21:00;18;2;32;35;37;1.3;1.2
01.01.2018 22:00;13;2;32;35;35;1.1;1.1
01.01.2018 23:00;12;1;26;28;39;0.9;1.1
02.01.2018 00:00;11;1;24;25;39;0.9;1.1
02.01.2018 01:00;11;1;26;28;33;0.7;0.9
02.01.2018 02:00;10;1;27;29;31;0.7;1.0
02.01.2018 03:00;9;0;21;21;40;0.7;0.9
02.01.2018 04:00;7;0;21;21;42;0.6;0.9
02.01.2018 05:00;8;0;17;17;38;0.6;0.6
02.01.2018 06:00;9;0;22;23;29;0.5;0.6
02.01.2018 07:00;10;1;30;32;22;0.8;0.7
02.01.2018 08:00;14;9;45;59;10;0.9;1.1
02.01.2018 09:00;9;9;34;48;27;0.9;1.7
02.01.2018 10:00;9;5;31;39;32;0.7;1.6
02.01.2018 11:00;12;6;34;43;27;0.9;1.5
02.01.2018 12:00;15;6;35;44;28;1.0;1.4
02.01.2018 13:00;16;5;29;37;29;1.0;1.5
02.01.2018 14:00;18;5;30;38;31;1.1;2.8
02.01.2018 15:00;15;4;32;38;33;1.1;2.2
02.01.2018 16:00;14;6;37;45;31;1.1;2.0
02.01.2018 17:00;12;5;40;47;30;1.3;2.6
02.01.2018 18:00;14;8;53;65;17;1.2;2.3
02.01.2018 19:00;14;5;49;57;20;1.0;2.0
02.01.2018 20:00;14;5;40;47;26;0.9;1.9
02.01.2018 21:00;13;3;32;37;30;0.8;1.6
02.01.2018 22:00;13;1;29;31;32;0.7;1.4
02.01.2018 23:00;14;1;28;29;31;0.7;1.1
03.01.2018 00:00;14;1;21;22;35;0.8;1.1
03.01.2018 01:00;14;1;21;22;32;0.7;1.0
03.01.2018 02:00;13;0;18;19;34;0.7;0.8
03.01.2018 03:00;10;0;18;18;35;0.6;0.6
03.01.2018 04:00;10;0;13;14;41;0.5;0.5
03.01.2018 05:00;11;0;17;18;36;0.6;0.7
03.01.2018 06:00;9;1;19;20;38;0.6;0.6
03.01.2018 07:00;8;1;26;27;35;0.7;0.7
03.01.2018 08:00;9;2;28;31;34;0.8;1.1
03.01.2018 09:00;9;2;29;32;33;0.7;0.9
03.01.2018 10:00;7;2;26;29;34;0.7;0.8
03.01.2018 11:00;6;3;24;28;35;0.7;0.9
03.01.2018 12:00;7;4;27;33;33;0.8;0.9
03.01.2018 13:00;8;4;28;35;33;0.9;1.1
03.01.2018 14:00;7;4;28;34;51;1.0;2.3
03.01.2018 15:00;6;3;23;28;63;0.6;1.7
03.01.2018 16:00;8;3;33;37;52;0.9;1.4
03.01.2018 17:00;8;3;26;30;57;0.9;1.6
03.01.2018 18:00;7;1;20;22;58;0.7;1.0
03.01.2018 19:00;5;2;21;24;56;0.7;1.0
03.01.2018 20:00;5;1;17;19;61;0.6;0.8
03.01.2018 21:00;5;1;14;15;66;0.5;0.9
03.01.2018 22:00;4;0;11;12;68;0.7;0.6
03.01.2018 23:00;4;1;10;11;66;0.6;0.5
04.01.2018 00:00;5;0;9;9;68;0.5;0.5
04.01.2018 01:00;5;0;8;8;70;0.4;0.5
04.01.2018 02:00;5;0;8;8;70;0.4;0.4
04.01.2018 03:00;5;0;7;7;71;0.4;0.4
04.01.2018 04:00;6;0;7;6;72;0.4;0.4
04.01.2018 05:00;5;0;7;7;69;0.3;0.5
04.01.2018 06:00;5;0;8;8;67;0.3;0.3
04.01.2018 07:00;5;2;16;19;57;0.5;0.5
04.01.2018 08:00;6;3;27;32;44;0.7;0.8
04.01.2018 09:00;7;3;25;29;44;0.7;1.2
04.01.2018 10:00;8;3;26;30;43;0.9;1.1
04.01.2018 11:00;8;4;24;29;48;0.8;1.1
04.01.2018 12:00;9;3;23;28;50;0.6;1.0
04.01.2018 13:00;11;4;26;33;49;0.9;2.3
04.01.2018 14:00;13;4;26;31;48;0.9;1.5
04.01.2018 15:00;14;5;32;40;37;0.9;1.3
04.01.2018 16:00;12;4;29;35;38;1.0;1.7
04.01.2018 17:00;12;2;29;32;40;0.8;1.7
