Station;042 Neukölln;042 Neukölln;042 Neukölln;042 Neukölln;042 Neukölln;042 Neukölln
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon;Benzol;Toluol
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2013 00:00;1;22;24;45;1.2;2.2
01.01.2013 01:00;17;49;75;14;1.8;1.9
01.01.2013 02:00;3;33;37;33;2.0;1.1
01.01.2013 03:00;1;19;21;48;1.7;1.1
01.01.2013 04:00;2;19;21;49;1.1;1.6
01.01.2013 05:00;1;18;19;48;1.2;2.8
01.01.2013 06:00;1;16;18;47;0.8;1.2
01.01.2013 07:00;1;15;17;48;0.8;0.9
01.01.2013 08:00;1;16;17;48;0.8;1.0
01.01.2013 09:00;1;15;17;48;1.1;2.4
01.01.2013 10:00;1;16;18;48;0.8;2.3
01.01.2013 11:00;2;17;20;47;1.1;1.0
01.01.2013 12:00;2;17;20;47;1.1;1.5
01.01.2013 13:00;2;13;16;52;0.9;1.0
01.01.2013 14:00;1;15;17;50;1.0;1.8
01.01.2013 15:00;2;19;22;46;0.9;1.1
01.01.2013 16:00;2;18;20;46;1.9;1.9
01.01.2013 17:00;2;19;21;44;1.0;2.9
01.01.2013 18:00;2;19;22;41;1.5;2.6
01.01.2013 19:00;2;19;21;40;1.1;1.4
01.01.2013 20:00;3;21;25;36;1.0;1.6
01.01.2013 21:00;2;21;24;36;1.3;1.3
01.01.2013 22:00;3;21;25;37;1.1;2.3
01.01.2013 23:00;2;16;20;49;1.1;2.3
02.01.2013 00:00;2;21;23;56;1.6;1.0
02.01.2013 01:00;1;16;17;60;0.9;2.5
02.01.2013 02:00;1;13;14;58;1.0;1.5
02.01.2013 03:00;1;12;13;56;0.8;0.7
02.01.2013 04:00;1;11;12;54;0.8;0.7
02.01.2013 05:00;1;12;13;53;0.7;1.0
02.01.2013 06:00;1;16;18;48;0.7;2.2
02.01.2013 07:00;2;21;24;43;0.9;1.8
02.01.2013 08:00;2;24;27;39;0.7;2.0
02.01.2013 09:00;8;30;42;34;0.8;1.7
02.01.2013 10:00;5;29;37;33;1.4;2.8
02.01.2013 11:00;7;30;41;;0.9;1.6
02.01.2013 12:00;6;29;39;31;1.2;2.8
02.01.2013 13:00;8;32;43;30;1.6;4.2
02.01.2013 14:00;7;30;40;32;1.3;2.4
02.01.2013 15:00;6;31;40;32;1.2;2.2
02.01.2013 16:00;6;35;45;30;1.4;2.8
02.01.2013 17:00;7;39;49;28;1.6;2.4
02.01.2013 18:00;5;36;43;31;1.4;2.8
02.01.2013 19:00;6;35;43;34;1.5;2.3
02.01.2013 20:00;3;29;34;36;1.2;2.0
02.01.2013 21:00;4;28;34;34;1.1;1.7
02.01.2013 22:00;3;32;36;31;1.1;1.3
02.01.2013 23:00;2;23;27;39;1.1;1.5
03.01.2013 00:00;2;18;21;41;0.9;1.3
03.01.2013 01:00;2;16;19;39;0.9;1.2
