Station;042 Neukölln;042 Neukölln;042 Neukölln;042 Neukölln;042 Neukölln;042 Neukölln;042 Neukölln
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon;Benzol;Toluol
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2019 00:00;49;3;21;25;30;0.9;0.9
01.01.2019 01:00;189;26;39;78;15;2.3;0.9
01.01.2019 02:00;71;4;22;29;36;0.8;1.0
01.01.2019 03:00;36;4;14;20;49;0.6;0.6
01.01.2019 04:00;47;6;14;24;49;1.0;0.7
01.01.2019 05:00;17;1;9;11;52;0.5;0.6
01.01.2019 06:00;15;1;10;11;55;0.5;0.5
01.01.2019 07:00;12;1;10;11;53;0.5;0.6
01.01.2019 08:00;13;1;9;10;56;0.4;0.5
01.01.2019 09:00;13;1;8;9;57;0.5;0.6
01.01.2019 10:00;11;1;9;10;53;0.4;0.6
01.01.2019 11:00;8;1;10;12;49;0.5;0.6
01.01.2019 12:00;9;2;10;13;49;0.5;0.7
01.01.2019 13:00;10;2;11;14;58;0.6;0.7
01.01.2019 14:00;15;2;10;13;69;0.7;0.8
01.01.2019 15:00;15;2;11;14;68;0.6;0.9
01.01.2019 16:00;10;1;12;13;67;0.6;0.9
01.01.2019 17:00;11;1;14;16;62;0.8;0.8
01.01.2019 18:00;10;1;14;16;66;0.5;0.8
01.01.2019 19:00;11;1;12;14;70;0.6;0.6
01.01.2019 20:00;13;2;14;16;67;0.4;0.5
01.01.2019 21:00;13;2;13;15;67;0.4;0.4
01.01.2019 22:00;14;1;12;14;66;0.6;0.5
01.01.2019 23:00;16;1;10;12;66;0.6;0.4
02.01.2019 00:00;17;1;7;9;71;0.6;0.4
02.01.2019 01:00;15;1;8;10;72;0.5;0.3
02.01.2019 02:00;16;1;7;9;71;0.6;0.5
02.01.2019 03:00;16;1;7;8;69;0.4;0.7
02.01.2019 04:00;13;1;6;7;68;0.4;0.4
02.01.2019 05:00;11;1;6;7;68;0.5;0.4
02.01.2019 06:00;9;1;7;9;68;0.4;0.5
02.01.2019 07:00;11;2;16;20;60;0.5;0.8
02.01.2019 08:00;12;3;18;22;59;0.7;0.5
02.01.2019 09:00;12;3;16;21;61;0.7;0.6
02.01.2019 10:00;11;3;17;22;60;0.5;0.7
02.01.2019 11:00;8;3;19;23;57;0.6;0.7
02.01.2019 12:00;6;6;28;37;47;0.9;1.3
02.01.2019 13:00;7;6;26;34;50;0.8;1.4
02.01.2019 14:00;7;4;20;26;57;0.7;1.3
02.01.2019 15:00;7;4;22;28;57;0.5;1.2
02.01.2019 16:00;11;4;21;27;58;1.0;0.9
02.01.2019 17:00;10;3;20;24;60;0.7;0.8
02.01.2019 18:00;9;2;17;20;62;0.6;0.9
02.01.2019 19:00;9;4;27;33;52;0.7;0.7
02.01.2019 20:00;11;4;22;28;52;0.9;0.9
02.01.2019 21:00;10;4;24;30;48;0.9;1.4
02.01.2019 22:00;11;5;33;40;40;0.8;1.0
02.01.2019 23:00;11;2;31;34;39;0.8;1.0
03.01.2019 00:00;10;3;24;28;44;0.7;1.1
03.01.2019 01:00;9;3;19;23;48;0.6;0.7
03.01.2019 02:00;9;2;16;19;49;0.6;0.7
03.01.2019 03:00;9;2;15;19;48;0.7;0.6
03.01.2019 04:00;8;2;13;16;49;0.7;0.6
03.01.2019 05:00;7;2;14;17;50;0.5;0.5
03.01.2019 06:00;8;2;14;17;50;0.6;0.7
03.01.2019 07:00;8;3;18;23;46;0.8;1.1
03.01.2019 08:00;8;5;24;31;44;0.8;1.1
03.01.2019 09:00;9;6;26;35;43;1.1;1.4
03.01.2019 10:00;9;7;31;41;38;1.1;3.0
03.01.2019 11:00;11;7;33;44;37;0.9;2.5
03.01.2019 12:00;11;7;31;42;37;1.1;2.5
03.01.2019 13:00;10;9;34;48;33;1.0;2.5
03.01.2019 14:00;10;9;33;47;35;1.7;4.4
03.01.2019 15:00;11;6;31;40;40;1.1;2.7
03.01.2019 16:00;11;6;37;47;32;1.2;2.1
03.01.2019 17:00;11;13;51;71;15;1.8;4.0
03.01.2019 18:00;13;12;59;77;10;1.2;3.4
03.01.2019 19:00;15;13;55;75;16;1.6;2.4
03.01.2019 20:00;15;4;45;51;26;1.3;4.0
03.01.2019 21:00;17;3;42;47;28;1.3;2.3
03.01.2019 22:00;16;5;37;45;32;2.1;4.3
03.01.2019 23:00;15;4;47;54;21;1.4;2.6
04.01.2019 00:00;13;4;50;55;17;1.1;1.7
04.01.2019 01:00;12;4;47;53;14;1.2;1.8
04.01.2019 02:00;9;3;40;44;23;0.9;1.3
04.01.2019 03:00;9;2;27;30;36;0.7;1.1
04.01.2019 04:00;14;3;34;39;20;0.9;1.1
04.01.2019 05:00;16;2;27;30;19;0.9;1.0
04.01.2019 06:00;19;3;26;31;17;1.0;1.2
04.01.2019 07:00;24;6;32;40;12;0.8;1.4
04.01.2019 08:00;24;12;39;58;8;0.9;1.5
04.01.2019 09:00;23;18;39;67;12;1.1;2.3
04.01.2019 10:00;21;10;37;52;16;1.1;2.9
04.01.2019 11:00;16;7;30;41;26;1.0;1.7
04.01.2019 12:00;15;6;30;38;29;0.9;1.5
04.01.2019 13:00;14;7;29;40;33;;1.4
04.01.2019 14:00;13;6;29;38;33;1.1;1.7
04.01.2019 15:00;11;6;34;43;30;1.2;2.2
04.01.2019 16:00;10;6;35;45;28;1.4;2.1
04.01.2019 17:00;10;7;37;48;27;1.4;3.4
