Station;077 Buch;077 Buch;077 Buch
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2013 00:00;0;18;19
01.01.2013 01:00;1;32;34
01.01.2013 02:00;1;29;30
01.01.2013 03:00;0;16;16
01.01.2013 04:00;0;16;16
01.01.2013 05:00;0;12;12
01.01.2013 06:00;0;16;16
01.01.2013 07:00;0;17;17
01.01.2013 08:00;0;12;12
01.01.2013 09:00;0;12;12
01.01.2013 10:00;0;12;12
01.01.2013 11:00;1;12;13
01.01.2013 12:00;1;11;11
01.01.2013 13:00;0;7;8
01.01.2013 14:00;0;8;8
01.01.2013 15:00;0;8;9
01.01.2013 16:00;0;8;9
01.01.2013 17:00;0;12;12
01.01.2013 18:00;0;18;18
01.01.2013 19:00;0;17;17
01.01.2013 20:00;0;14;14
01.01.2013 21:00;0;13;14
01.01.2013 22:00;0;7;7
01.01.2013 23:00;0;3;3
02.01.2013 00:00;0;3;3
02.01.2013 01:00;0;3;3
02.01.2013 02:00;0;4;4
02.01.2013 03:00;0;4;4
02.01.2013 04:00;0;5;5
02.01.2013 05:00;0;8;7
02.01.2013 06:00;0;17;17
02.01.2013 07:00;0;17;17
02.01.2013 08:00;0;19;18
02.01.2013 09:00;0;13;12
02.01.2013 10:00;0;12;12
02.01.2013 11:00;1;14;15
02.01.2013 12:00;1;15;16
02.01.2013 13:00;0;9;10
02.01.2013 14:00;0;9;9
02.01.2013 15:00;0;11;11
02.01.2013 16:00;0;10;10
02.01.2013 17:00;0;13;13
02.01.2013 18:00;0;13;12
02.01.2013 19:00;0;10;10
02.01.2013 20:00;0;9;9
02.01.2013 21:00;0;8;8
02.01.2013 22:00;0;9;9
02.01.2013 23:00;0;11;11
03.01.2013 00:00;0;13;13
03.01.2013 01:00;0;12;11
03.01.2013 02:00;0;12;12
03.01.2013 03:00;0;19;19
03.01.2013 04:00;0;14;14
03.01.2013 05:00;0;12;12
03.01.2013 06:00;0;14;14
03.01.2013 07:00;0;15;16
03.01.2013 08:00;0;20;20
03.01.2013 09:00;0;18;18
03.01.2013 10:00;0;13;14
03.01.2013 11:00;1;12;13
03.01.2013 12:00;1;12;13
03.01.2013 13:00;1;12;13
03.01.2013 14:00;1;12;13
03.01.2013 15:00;1;12;13
03.01.2013 16:00;0;13;14
03.01.2013 17:00;0;14;14
03.01.2013 18:00;0;12;13
03.01.2013 19:00;0;10;10
03.01.2013 20:00;0;5;6
03.01.2013 21:00;0;5;6
03.01.2013 22:00;0;5;5
03.01.2013 23:00;0;4;4
04.01.2013 00:00;0;4;4
04.01.2013 01:00;0;4;4
04.01.2013 02:00;0;4;4
04.01.2013 03:00;0;3;3
04.01.2013 04:00;0;3;3
04.01.2013 05:00;0;3;3
04.01.2013 06:00;0;4;3
04.01.2013 07:00;0;5;5
04.01.2013 08:00;0;7;7
04.01.2013 09:00;0;9;9
04.01.2013 10:00;0;8;8
04.01.2013 11:00;0;8;8
04.01.2013 12:00;0;8;8
04.01.2013 13:00;0;9;9
04.01.2013 14:00;1;10;10
04.01.2013 15:00;0;15;16
04.01.2013 16:00;0;13;13
