Station;077 Buch;077 Buch;077 Buch;077 Buch
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2016 00:00;;5;38;46
01.01.2016 01:00;;32;35;84
01.01.2016 02:00;;47;32;103
01.01.2016 03:00;;56;28;113
01.01.2016 04:00;;49;25;100
01.01.2016 05:00;;41;21;84
01.01.2016 06:00;;36;18;73
01.01.2016 07:00;;22;17;52
01.01.2016 08:00;;16;18;43
01.01.2016 09:00;;14;21;43
01.01.2016 10:00;;16;19;44
01.01.2016 11:00;;15;18;41
01.01.2016 12:00;;9;15;29
01.01.2016 13:00;;5;13;21
01.01.2016 14:00;;3;12;17
01.01.2016 15:00;;2;13;17
01.01.2016 16:00;;2;17;20
01.01.2016 17:00;;1;24;26
01.01.2016 18:00;;1;30;32
01.01.2016 19:00;;4;37;43
01.01.2016 20:00;;9;40;54
01.01.2016 21:00;;6;38;47
01.01.2016 22:00;;7;41;52
01.01.2016 23:00;;3;39;44
02.01.2016 00:00;;1;28;30
02.01.2016 01:00;;1;22;23
02.01.2016 02:00;;1;25;27
02.01.2016 03:00;;1;19;20
02.01.2016 04:00;;1;11;11
02.01.2016 05:00;;1;8;9
02.01.2016 06:00;;1;13;14
02.01.2016 07:00;;1;12;14
02.01.2016 08:00;;1;13;14
02.01.2016 09:00;;1;13;15
02.01.2016 10:00;;1;12;14
02.01.2016 11:00;;2;12;15
02.01.2016 12:00;;2;10;13
02.01.2016 13:00;;1;8;10
02.01.2016 14:00;;1;8;10
02.01.2016 15:00;;1;7;8
02.01.2016 16:00;;1;7;8
02.01.2016 17:00;;1;7;8
02.01.2016 18:00;;1;9;9
02.01.2016 19:00;;1;9;9
02.01.2016 20:00;;1;7;8
02.01.2016 21:00;;1;6;7
02.01.2016 22:00;;1;7;7
02.01.2016 23:00;;0;7;7
03.01.2016 00:00;;0;6;7
03.01.2016 01:00;;0;6;6
03.01.2016 02:00;;0;6;6
03.01.2016 03:00;;0;6;6
03.01.2016 04:00;;0;6;7
03.01.2016 05:00;;0;6;7
03.01.2016 06:00;;0;7;8
03.01.2016 07:00;;0;7;7
03.01.2016 08:00;;0;7;8
03.01.2016 09:00;;0;8;8
03.01.2016 10:00;;1;8;9
03.01.2016 11:00;;2;7;9
03.01.2016 12:00;;2;6;9
03.01.2016 13:00;;2;7;10
03.01.2016 14:00;;2;7;10
03.01.2016 15:00;;1;8;10
03.01.2016 16:00;;1;9;10
03.01.2016 17:00;;0;10;10
03.01.2016 18:00;;0;9;10
03.01.2016 19:00;;1;10;11
03.01.2016 20:00;;1;10;11
03.01.2016 21:00;;0;9;10
03.01.2016 22:00;;0;9;10
03.01.2016 23:00;;0;10;11
04.01.2016 00:00;;0;11;12
04.01.2016 01:00;;0;12;13
04.01.2016 02:00;;1;14;15
04.01.2016 03:00;;1;14;16
04.01.2016 04:00;;1;14;16
04.01.2016 05:00;;1;12;14
04.01.2016 06:00;;2;13;16
04.01.2016 07:00;;2;14;17
04.01.2016 08:00;;3;14;18
04.01.2016 09:00;;2;14;18
04.01.2016 10:00;;3;13;18
04.01.2016 11:00;;4;13;19
04.01.2016 12:00;;4;12;19
04.01.2016 13:00;;4;13;20
04.01.2016 14:00;;4;15;20
04.01.2016 15:00;;3;15;20
04.01.2016 16:00;;3;17;22
04.01.2016 17:00;;3;22;26
04.01.2016 18:00;;2;21;24
04.01.2016 19:00;;2;19;22
04.01.2016 20:00;;2;19;21
04.01.2016 21:00;;2;22;25
04.01.2016 22:00;;2;24;26
04.01.2016 23:00;;2;23;26
05.01.2016 00:00;;2;23;26
05.01.2016 01:00;;2;23;26
05.01.2016 02:00;;1;24;26
05.01.2016 03:00;;0;25;26
05.01.2016 04:00;;0;24;24
05.01.2016 05:00;;0;23;24
05.01.2016 06:00;;1;23;25
05.01.2016 07:00;;2;26;29
05.01.2016 08:00;;4;29;35
05.01.2016 09:00;;4;28;33
05.01.2016 10:00;;4;23;29
05.01.2016 11:00;;5;21;28
05.01.2016 12:00;;7;21;33
05.01.2016 13:00;;5;20;28
05.01.2016 14:00;;4;23;30
05.01.2016 15:00;;3;24;29
05.01.2016 16:00;;3;27;31
05.01.2016 17:00;;1;27;29
05.01.2016 18:00;;1;26;28
05.01.2016 19:00;;1;24;25
05.01.2016 20:00;;1;24;25
05.01.2016 21:00;;1;25;26
05.01.2016 22:00;;1;26;27
05.01.2016 23:00;;1;26;27
06.01.2016 00:00;;0;26;26
06.01.2016 01:00;;1;27;28
06.01.2016 02:00;;0;28;28
06.01.2016 03:00;;1;27;28
06.01.2016 04:00;;0;24;25
06.01.2016 05:00;;1;23;26
06.01.2016 06:00;;1;24;26
06.01.2016 07:00;;3;25;29
06.01.2016 08:00;;3;26;31
06.01.2016 09:00;;5;26;35
06.01.2016 10:00;;5;23;30
06.01.2016 11:00;;5;21;28
06.01.2016 12:00;;6;20;28
06.01.2016 13:00;;5;18;26
06.01.2016 14:00;;4;20;26
06.01.2016 15:00;;3;20;25
06.01.2016 16:00;;3;22;27
06.01.2016 17:00;;2;24;27
06.01.2016 18:00;;1;27;28
06.01.2016 19:00;;1;25;27
06.01.2016 20:00;;4;29;35
06.01.2016 21:00;;1;25;27
06.01.2016 22:00;;0;23;24
06.01.2016 23:00;;1;22;23
07.01.2016 00:00;;0;21;21
07.01.2016 01:00;;0;19;19
07.01.2016 02:00;;0;18;19
07.01.2016 03:00;;0;18;18
07.01.2016 04:00;;0;17;18
07.01.2016 05:00;;2;16;19
07.01.2016 06:00;;2;17;21
07.01.2016 07:00;;2;18;21
07.01.2016 08:00;;3;19;24
07.01.2016 09:00;;3;19;23
07.01.2016 10:00;;4;18;24
07.01.2016 11:00;;4;15;21
07.01.2016 12:00;;4;15;22
07.01.2016 13:00;;5;16;23
07.01.2016 14:00;;4;16;22
07.01.2016 15:00;;3;19;23
07.01.2016 16:00;;2;19;23
07.01.2016 17:00;;2;21;25
07.01.2016 18:00;;2;24;27
07.01.2016 19:00;;2;26;29
07.01.2016 20:00;;2;29;32
07.01.2016 21:00;;3;33;37
07.01.2016 22:00;;2;31;33
07.01.2016 23:00;;1;28;30
08.01.2016 00:00;;1;26;27
08.01.2016 01:00;;2;30;32
08.01.2016 02:00;;2;32;34
08.01.2016 03:00;;1;32;34
08.01.2016 04:00;;1;30;32
08.01.2016 05:00;;1;31;33
08.01.2016 06:00;;3;41;46
08.01.2016 07:00;;2;44;47
