Station;077 Buch;077 Buch;077 Buch
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2014 00:00;1;14;16
01.01.2014 01:00;19;25;54
01.01.2014 02:00;8;30;43
01.01.2014 03:00;1;16;17
01.01.2014 04:00;1;11;12
01.01.2014 05:00;1;9;10
01.01.2014 06:00;1;10;11
01.01.2014 07:00;1;10;11
01.01.2014 08:00;1;10;11
01.01.2014 09:00;1;10;12
01.01.2014 10:00;2;11;14
01.01.2014 11:00;3;15;19
01.01.2014 12:00;4;21;28
01.01.2014 13:00;4;22;29
01.01.2014 14:00;5;21;28
01.01.2014 15:00;4;24;29
01.01.2014 16:00;3;25;30
01.01.2014 17:00;1;26;28
01.01.2014 18:00;2;26;29
01.01.2014 19:00;2;25;28
01.01.2014 20:00;2;27;30
01.01.2014 21:00;1;21;23
01.01.2014 22:00;1;20;22
01.01.2014 23:00;1;22;24
02.01.2014 00:00;1;17;18
02.01.2014 01:00;1;13;14
02.01.2014 02:00;1;12;13
02.01.2014 03:00;1;11;12
02.01.2014 04:00;1;12;13
02.01.2014 05:00;1;11;12
02.01.2014 06:00;1;11;12
02.01.2014 07:00;1;13;14
02.01.2014 08:00;1;13;15
02.01.2014 09:00;1;15;16
02.01.2014 10:00;1;15;17
02.01.2014 11:00;3;17;21
02.01.2014 12:00;3;18;24
02.01.2014 13:00;4;19;25
02.01.2014 14:00;3;22;27
02.01.2014 15:00;3;23;28
02.01.2014 16:00;2;28;31
02.01.2014 17:00;1;28;30
02.01.2014 18:00;1;26;27
02.01.2014 19:00;1;27;28
02.01.2014 20:00;1;27;29
02.01.2014 21:00;1;30;32
02.01.2014 22:00;1;29;30
02.01.2014 23:00;1;35;37
03.01.2014 00:00;1;28;30
03.01.2014 01:00;1;29;30
03.01.2014 02:00;1;34;36
03.01.2014 03:00;3;37;41
03.01.2014 04:00;2;32;35
03.01.2014 05:00;1;26;28
03.01.2014 06:00;3;30;35
03.01.2014 07:00;5;38;45
03.01.2014 08:00;5;42;50
03.01.2014 09:00;16;43;67
03.01.2014 10:00;11;35;51
03.01.2014 11:00;7;26;37
03.01.2014 12:00;5;19;27
03.01.2014 13:00;4;18;25
03.01.2014 14:00;3;20;25
03.01.2014 15:00;2;18;21
03.01.2014 16:00;1;20;22
03.01.2014 17:00;1;31;33
03.01.2014 18:00;1;26;27
03.01.2014 19:00;1;26;27
03.01.2014 20:00;1;26;27
03.01.2014 21:00;1;22;23
03.01.2014 22:00;1;22;23
03.01.2014 23:00;1;21;22
04.01.2014 00:00;1;22;23
04.01.2014 01:00;0;13;13
04.01.2014 02:00;0;3;4
04.01.2014 03:00;0;8;9
04.01.2014 04:00;0;7;8
04.01.2014 05:00;0;10;10
04.01.2014 06:00;0;12;13
04.01.2014 07:00;0;16;16
04.01.2014 08:00;1;16;17
04.01.2014 09:00;1;18;19
04.01.2014 10:00;2;22;25
04.01.2014 11:00;3;23;28
04.01.2014 12:00;5;25;34
04.01.2014 13:00;5;25;33
04.01.2014 14:00;4;26;33
04.01.2014 15:00;3;24;28
04.01.2014 16:00;2;24;27
