Station;077 Buch;077 Buch;077 Buch;077 Buch;077 Buch
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2018 00:00;16;0;10;10;49
01.01.2018 01:00;57;0;20;20;38
01.01.2018 02:00;47;0;15;14;45
01.01.2018 03:00;14;0;7;7;53
01.01.2018 04:00;12;0;7;7;52
01.01.2018 05:00;8;0;4;4;68
01.01.2018 06:00;6;0;8;8;69
01.01.2018 07:00;5;0;4;4;73
01.01.2018 08:00;5;0;4;4;72
01.01.2018 09:00;5;0;2;1;76
01.01.2018 10:00;5;0;6;5;71
01.01.2018 11:00;5;0;5;5;70
01.01.2018 12:00;5;0;5;4;70
01.01.2018 13:00;5;0;5;5;69
01.01.2018 14:00;5;0;5;5;69
01.01.2018 15:00;5;0;11;12;57
01.01.2018 16:00;5;0;13;13;57
01.01.2018 17:00;5;0;15;14;56
01.01.2018 18:00;5;0;12;12;59
01.01.2018 19:00;5;0;14;14;53
01.01.2018 20:00;6;0;15;15;42
01.01.2018 21:00;9;0;22;21;36
01.01.2018 22:00;10;0;20;20;41
01.01.2018 23:00;9;0;17;17;42
02.01.2018 00:00;8;0;15;14;41
02.01.2018 01:00;8;0;17;17;35
02.01.2018 02:00;9;0;16;17;30
02.01.2018 03:00;9;0;12;12;31
02.01.2018 04:00;9;0;10;11;30
02.01.2018 05:00;8;0;10;11;37
02.01.2018 06:00;7;0;11;11;33
02.01.2018 07:00;8;0;19;20;23
02.01.2018 08:00;10;1;15;17;25
02.01.2018 09:00;15;1;10;11;37
02.01.2018 10:00;7;1;9;10;47
02.01.2018 11:00;7;1;16;17;40
02.01.2018 12:00;11;1;12;13;41
02.01.2018 13:00;15;1;11;12;39
02.01.2018 14:00;15;1;14;15;37
02.01.2018 15:00;14;1;14;15;40
02.01.2018 16:00;11;1;17;18;39
02.01.2018 17:00;10;1;26;28;29
02.01.2018 18:00;10;1;24;25;30
02.01.2018 19:00;11;1;26;28;26
02.01.2018 20:00;11;1;22;23;34
02.01.2018 21:00;12;0;18;19;35
02.01.2018 22:00;12;0;16;17;34
02.01.2018 23:00;12;0;20;21;32
03.01.2018 00:00;11;0;18;18;35
03.01.2018 01:00;11;0;16;16;36
03.01.2018 02:00;12;0;16;17;34
03.01.2018 03:00;10;0;14;14;37
03.01.2018 04:00;10;0;12;12;40
03.01.2018 05:00;10;0;9;9;42
03.01.2018 06:00;9;0;9;9;45
03.01.2018 07:00;7;0;9;9;47
03.01.2018 08:00;8;0;11;12;44
03.01.2018 09:00;8;0;11;12;44
03.01.2018 10:00;6;0;11;12;44
03.01.2018 11:00;5;0;13;14;42
03.01.2018 12:00;6;1;19;22;35
03.01.2018 13:00;6;3;24;27;32
03.01.2018 14:00;5;1;16;18;50
03.01.2018 15:00;5;1;11;12;65
03.01.2018 16:00;6;1;19;20;57
03.01.2018 17:00;6;1;18;19;58
03.01.2018 18:00;6;0;15;15;59
03.01.2018 19:00;4;0;13;13;58
03.01.2018 20:00;4;0;11;11;59
03.01.2018 21:00;4;0;7;7;67
03.01.2018 22:00;4;0;6;6;68
03.01.2018 23:00;4;0;5;5;66
04.01.2018 00:00;4;0;3;4;69
04.01.2018 01:00;4;0;2;3;69
04.01.2018 02:00;5;0;2;2;69
04.01.2018 03:00;5;0;2;3;70
04.01.2018 04:00;5;0;2;3;68
04.01.2018 05:00;5;0;4;4;66
04.01.2018 06:00;5;1;5;6;64
04.01.2018 07:00;5;1;7;9;62
04.01.2018 08:00;5;1;10;11;57
04.01.2018 09:00;6;1;14;15;49
04.01.2018 10:00;7;1;14;16;50
04.01.2018 11:00;7;1;12;14;52
04.01.2018 12:00;8;1;11;13;55
04.01.2018 13:00;9;1;11;12;57
04.01.2018 14:00;11;1;12;14;56
04.01.2018 15:00;12;1;16;18;50
04.01.2018 16:00;12;1;24;26;41
04.01.2018 17:00;11;1;23;25;40
04.01.2018 18:00;10;1;22;24;41
04.01.2018 19:00;13;1;31;32;30
04.01.2018 20:00;14;1;30;31;30
04.01.2018 21:00;13;1;25;26;34
04.01.2018 22:00;11;1;17;18;42
04.01.2018 23:00;8;1;13;14;46
05.01.2018 00:00;8;0;10;11;48
05.01.2018 01:00;8;1;9;10;43
05.01.2018 02:00;8;1;10;11;41
05.01.2018 03:00;7;1;7;8;47
05.01.2018 04:00;7;1;6;7;50
05.01.2018 05:00;6;0;4;3;64
05.01.2018 06:00;6;0;5;5;65
05.01.2018 07:00;7;0;11;12;59
05.01.2018 08:00;8;0;16;17;54
05.01.2018 09:00;9;0;20;21;48
05.01.2018 10:00;9;0;19;19;51
05.01.2018 11:00;10;1;20;21;50
05.01.2018 12:00;9;1;16;17;54
05.01.2018 13:00;7;0;9;10;61
05.01.2018 14:00;5;1;9;9;63
05.01.2018 15:00;5;1;9;10;63
05.01.2018 16:00;6;0;11;11;61
05.01.2018 17:00;7;0;19;20;49
05.01.2018 18:00;8;1;28;30;38
05.01.2018 19:00;9;0;25;26;38
05.01.2018 20:00;10;1;29;30;34
05.01.2018 21:00;11;0;27;27;31
05.01.2018 22:00;13;0;33;33;25
05.01.2018 23:00;16;1;46;47;12
06.01.2018 00:00;14;0;49;49;14
06.01.2018 01:00;15;0;40;40;18
06.01.2018 02:00;16;0;37;37;17
06.01.2018 03:00;14;0;30;30;16
06.01.2018 04:00;10;0;19;19;31
06.01.2018 05:00;9;0;15;15;36
06.01.2018 06:00;8;0;14;14;35
06.01.2018 07:00;9;0;19;19;26
06.01.2018 08:00;10;0;28;29;15
06.01.2018 09:00;10;2;34;38;13
06.01.2018 10:00;9;1;21;23;23
06.01.2018 11:00;9;1;21;23;31
06.01.2018 12:00;10;2;22;25;35
06.01.2018 13:00;10;1;16;18;51
06.01.2018 14:00;10;1;14;15;55
06.01.2018 15:00;10;0;16;16;54
06.01.2018 16:00;11;0;23;23;45
06.01.2018 17:00;13;4;49;56;20
06.01.2018 18:00;13;9;51;64;11
06.01.2018 19:00;13;0;21;21;37
06.01.2018 20:00;15;0;25;25;25
06.01.2018 21:00;17;23;46;81;5
06.01.2018 22:00;18;13;34;53;3
06.01.2018 23:00;16;0;10;11;31
07.01.2018 00:00;10;0;5;5;34
07.01.2018 01:00;6;0;5;4;31
07.01.2018 02:00;6;0;5;5;28
07.01.2018 03:00;7;0;6;5;25
07.01.2018 04:00;6;0;4;4;27
07.01.2018 05:00;5;0;3;3;30
07.01.2018 06:00;5;0;3;2;29
07.01.2018 07:00;5;0;2;2;30
07.01.2018 08:00;5;0;2;1;35
07.01.2018 09:00;6;0;1;1;43
07.01.2018 10:00;6;0;3;3;44
07.01.2018 11:00;5;0;4;4;50
07.01.2018 12:00;5;0;4;4;54
07.01.2018 13:00;5;0;3;2;58
07.01.2018 14:00;5;0;2;2;58
07.01.2018 15:00;5;0;2;2;59
07.01.2018 16:00;5;0;3;2;60
07.01.2018 17:00;7;0;6;6;48
07.01.2018 18:00;8;0;9;8;43
07.01.2018 19:00;9;0;5;5;50
07.01.2018 20:00;10;0;6;5;44
07.01.2018 21:00;11;0;12;11;30
07.01.2018 22:00;11;0;13;12;30
07.01.2018 23:00;11;0;7;8;37
08.01.2018 00:00;11;0;7;8;35
08.01.2018 01:00;11;0;4;5;42
08.01.2018 02:00;12;0;6;6;33
08.01.2018 03:00;12;0;5;6;27
08.01.2018 04:00;12;0;5;6;24
08.01.2018 05:00;12;0;7;8;25
08.01.2018 06:00;12;0;13;14;21
08.01.2018 07:00;13;0;13;13;30
08.01.2018 08:00;14;7;34;44;6
08.01.2018 09:00;14;3;33;38;11
08.01.2018 10:00;15;12;38;56;8
08.01.2018 11:00;15;14;36;57;9
08.01.2018 12:00;10;3;17;22;40
08.01.2018 13:00;9;1;7;8;61
08.01.2018 14:00;10;0;6;6;65
08.01.2018 15:00;10;0;8;9;61
08.01.2018 16:00;10;0;9;9;58
08.01.2018 17:00;13;0;10;10;55
08.01.2018 18:00;14;0;13;13;50
08.01.2018 19:00;15;0;12;13;48
08.01.2018 20:00;19;0;14;14;45
08.01.2018 21:00;22;0;13;13;47
08.01.2018 22:00;22;0;11;12;47
08.01.2018 23:00;23;0;11;12;47
09.01.2018 00:00;23;0;11;11;47
09.01.2018 01:00;23;0;11;11;47
09.01.2018 02:00;24;0;11;11;46
09.01.2018 03:00;24;0;9;9;48
09.01.2018 04:00;26;0;9;9;51
09.01.2018 05:00;29;0;9;9;52
09.01.2018 06:00;28;0;9;9;51
09.01.2018 07:00;26;0;11;11;48
09.01.2018 08:00;27;0;12;12;47
09.01.2018 09:00;25;1;14;15;45
09.01.2018 10:00;20;0;11;12;47
09.01.2018 11:00;22;0;10;11;47
09.01.2018 12:00;23;1;9;11;48
09.01.2018 13:00;18;1;9;10;49
09.01.2018 14:00;18;1;10;11;49
09.01.2018 15:00;19;1;13;15;46
09.01.2018 16:00;21;1;18;19;42
09.01.2018 17:00;18;0;14;15;44
09.01.2018 18:00;19;0;15;15;45
09.01.2018 19:00;20;0;12;12;46
09.01.2018 20:00;22;0;13;13;42
09.01.2018 21:00;23;0;14;14;40
09.01.2018 22:00;25;0;14;14;36
09.01.2018 23:00;27;0;16;17;32
10.01.2018 00:00;29;0;17;17;28
10.01.2018 01:00;31;0;19;20;23
10.01.2018 02:00;32;1;20;21;19
10.01.2018 03:00;33;1;20;21;16
10.01.2018 04:00;33;1;18;19;16
10.01.2018 05:00;35;1;20;21;14
10.01.2018 06:00;37;1;27;30;6
10.01.2018 07:00;40;4;30;35;4
10.01.2018 08:00;46;7;32;43;3
10.01.2018 09:00;39;10;30;45;2
10.01.2018 10:00;38;13;28;49;4
10.01.2018 11:00;32;14;25;46;6
10.01.2018 12:00;32;19;26;54;5
10.01.2018 13:00;32;20;26;57;5
10.01.2018 14:00;32;17;25;52;5
10.01.2018 15:00;31;11;23;41;5
10.01.2018 16:00;32;10;24;38;4
10.01.2018 17:00;31;13;27;47;2
10.01.2018 18:00;33;17;28;54;1
10.01.2018 19:00;34;18;26;54;1
10.01.2018 20:00;33;18;26;53;2
10.01.2018 21:00;33;8;20;33;1
10.01.2018 22:00;33;9;17;30;1
10.01.2018 23:00;34;10;16;31;1
11.01.2018 00:00;34;9;16;31;1
11.01.2018 01:00;33;9;17;30;1
11.01.2018 02:00;35;12;16;34;1
11.01.2018 03:00;34;7;15;25;1
11.01.2018 04:00;31;5;13;21;1
11.01.2018 05:00;30;5;12;20;1
11.01.2018 06:00;32;7;13;24;1
11.01.2018 07:00;38;14;14;36;1
11.01.2018 08:00;41;24;16;54;1
11.01.2018 09:00;43;26;17;56;1
11.01.2018 10:00;38;15;15;39;2
11.01.2018 11:00;35;14;15;37;2
11.01.2018 12:00;35;15;17;40;2
11.01.2018 13:00;32;;;;
11.01.2018 14:00;29;13;;;4
11.01.2018 15:00;25;14;19;41;3
11.01.2018 16:00;26;15;19;41;2
11.01.2018 17:00;24;13;19;39;2
11.01.2018 18:00;27;8;21;34;2
11.01.2018 19:00;35;7;21;31;2
11.01.2018 20:00;41;8;21;32;2
11.01.2018 21:00;44;8;20;31;2
11.01.2018 22:00;44;8;19;31;2
11.01.2018 23:00;48;9;19;32;2
12.01.2018 00:00;48;10;19;34;2
12.01.2018 01:00;46;7;19;29;2
12.01.2018 02:00;44;4;19;25;2
12.01.2018 03:00;44;1;20;22;2
12.01.2018 04:00;47;0;19;20;3
12.01.2018 05:00;43;0;16;16;6
12.01.2018 06:00;34;0;13;13;10
12.01.2018 07:00;29;0;13;13;12
12.01.2018 08:00;23;0;12;13;14
12.01.2018 09:00;25;0;12;12;16
12.01.2018 10:00;25;1;11;12;17
12.01.2018 11:00;24;1;10;11;18
12.01.2018 12:00;25;;;;16
12.01.2018 13:00;28;1;10;12;15
12.01.2018 14:00;29;2;11;14;12
12.01.2018 15:00;29;2;13;16;9
12.01.2018 16:00;30;2;14;17;7
12.01.2018 17:00;32;2;16;19;6
12.01.2018 18:00;32;1;15;17;6
12.01.2018 19:00;31;1;14;16;6
12.01.2018 20:00;33;1;12;14;7
12.01.2018 21:00;35;1;12;13;8
12.01.2018 22:00;37;1;12;13;11
12.01.2018 23:00;36;1;12;13;13
13.01.2018 00:00;36;1;11;12;15
13.01.2018 01:00;36;0;11;12;17
13.01.2018 02:00;33;0;11;12;17
13.01.2018 03:00;33;0;11;12;16
13.01.2018 04:00;36;0;11;11;19
13.01.2018 05:00;37;0;10;10;22
13.01.2018 06:00;36;0;8;8;26
13.01.2018 07:00;34;0;7;7;32
13.01.2018 08:00;30;0;6;5;38
13.01.2018 09:00;25;0;6;5;45
13.01.2018 10:00;21;0;5;5;48
13.01.2018 11:00;20;0;6;5;49
13.01.2018 12:00;21;0;5;5;51
13.01.2018 13:00;21;0;6;5;51
13.01.2018 14:00;22;0;6;5;52
13.01.2018 15:00;21;0;7;6;52
13.01.2018 16:00;17;0;7;7;51
13.01.2018 17:00;17;0;8;7;51
13.01.2018 18:00;19;0;8;7;48
13.01.2018 19:00;25;0;7;7;47
13.01.2018 20:00;25;0;7;7;47
13.01.2018 21:00;25;0;7;6;48
13.01.2018 22:00;20;0;6;5;50
13.01.2018 23:00;20;0;5;4;51
14.01.2018 00:00;20;0;5;4;50
14.01.2018 01:00;21;0;5;4;48
14.01.2018 02:00;22;0;5;4;46
14.01.2018 03:00;21;0;4;4;44
14.01.2018 04:00;20;0;5;4;43
14.01.2018 05:00;20;0;4;4;43
14.01.2018 06:00;21;0;5;5;40
14.01.2018 07:00;23;0;5;5;38
14.01.2018 08:00;24;0;5;6;34
14.01.2018 09:00;25;0;7;8;30
14.01.2018 10:00;24;1;6;6;33
14.01.2018 11:00;23;1;5;6;38
