Station;085 Friedrichshagen;085 Friedrichshagen;085 Friedrichshagen;085 Friedrichshagen
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2012 00:00;0;15;15;21
01.01.2012 01:00;1;20;21;16
01.01.2012 02:00;0;17;17;18
01.01.2012 03:00;0;15;15;20
01.01.2012 04:00;0;14;14;19
01.01.2012 05:00;0;13;13;18
01.01.2012 06:00;0;12;12;15
01.01.2012 07:00;0;13;13;12
01.01.2012 08:00;0;13;13;10
01.01.2012 09:00;1;14;14;8
01.01.2012 10:00;1;12;14;10
01.01.2012 11:00;1;10;12;15
01.01.2012 12:00;1;11;12;16
01.01.2012 13:00;1;11;13;21
01.01.2012 14:00;1;12;13;24
01.01.2012 15:00;1;10;11;30
01.01.2012 16:00;0;12;12;29
01.01.2012 17:00;0;14;14;25
01.01.2012 18:00;0;15;15;23
01.01.2012 19:00;0;12;12;26
01.01.2012 20:00;0;9;9;28
01.01.2012 21:00;0;8;8;29
01.01.2012 22:00;0;7;7;30
01.01.2012 23:00;0;7;7;33
02.01.2012 00:00;0;7;7;35
02.01.2012 01:00;0;5;5;39
02.01.2012 02:00;0;5;5;39
02.01.2012 03:00;0;5;5;42
02.01.2012 04:00;0;4;4;44
02.01.2012 05:00;0;4;4;45
02.01.2012 06:00;0;4;4;46
02.01.2012 07:00;0;4;4;46
02.01.2012 08:00;0;6;6;44
02.01.2012 09:00;0;15;16;38
02.01.2012 10:00;1;18;19;44
02.01.2012 11:00;0;15;16;47
02.01.2012 12:00;0;13;13;51
02.01.2012 13:00;1;15;16;48
02.01.2012 14:00;1;22;24;43
02.01.2012 15:00;1;23;24;39
02.01.2012 16:00;1;27;28;35
02.01.2012 17:00;0;17;18;53
02.01.2012 18:00;0;29;29;43
02.01.2012 19:00;0;21;22;43
02.01.2012 20:00;0;17;18;43
02.01.2012 21:00;0;15;15;42
02.01.2012 22:00;0;15;16;39
02.01.2012 23:00;0;19;19;31
03.01.2012 00:00;0;19;20;29
03.01.2012 01:00;0;19;19;29
