Station;085 Friedrichshagen;085 Friedrichshagen;085 Friedrichshagen;085 Friedrichshagen;085 Friedrichshagen
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2019 00:00;29;0;8;8;38
01.01.2019 01:00;113;2;27;30;22
01.01.2019 02:00;84;0;20;20;33
01.01.2019 03:00;20;0;5;5;54
01.01.2019 04:00;15;0;5;5;53
01.01.2019 05:00;17;0;8;8;49
01.01.2019 06:00;14;0;5;5;55
01.01.2019 07:00;12;0;5;5;54
01.01.2019 08:00;13;0;5;5;54
01.01.2019 09:00;13;0;6;6;54
01.01.2019 10:00;11;0;5;5;52
01.01.2019 11:00;8;0;5;5;50
01.01.2019 12:00;8;0;5;5;49
01.01.2019 13:00;9;0;6;7;55
01.01.2019 14:00;12;0;4;4;68
01.01.2019 15:00;12;0;4;4;68
01.01.2019 16:00;9;0;5;6;65
01.01.2019 17:00;8;0;7;7;62
01.01.2019 18:00;8;0;7;7;65
01.01.2019 19:00;8;0;6;5;68
01.01.2019 20:00;9;0;5;5;69
01.01.2019 21:00;11;0;5;5;68
01.01.2019 22:00;12;0;5;4;67
01.01.2019 23:00;13;0;4;4;66
02.01.2019 00:00;14;0;4;4;70
02.01.2019 01:00;14;0;3;4;71
02.01.2019 02:00;14;0;5;5;68
02.01.2019 03:00;14;0;6;6;65
02.01.2019 04:00;13;0;7;8;63
02.01.2019 05:00;11;0;4;4;64
02.01.2019 06:00;9;0;4;4;65
02.01.2019 07:00;9;0;4;4;67
02.01.2019 08:00;10;0;4;4;66
02.01.2019 09:00;8;0;3;3;67
02.01.2019 10:00;6;0;3;3;66
02.01.2019 11:00;5;0;3;3;65
02.01.2019 12:00;5;0;3;4;64
02.01.2019 13:00;5;0;3;4;63
02.01.2019 14:00;5;0;2;3;66
02.01.2019 15:00;5;0;3;3;66
02.01.2019 16:00;6;0;3;4;68
02.01.2019 17:00;7;0;4;4;68
02.01.2019 18:00;6;0;3;3;69
02.01.2019 19:00;6;0;3;3;67
02.01.2019 20:00;6;0;3;4;64
02.01.2019 21:00;6;0;6;6;61
02.01.2019 22:00;8;0;8;8;56
02.01.2019 23:00;8;0;9;9;55
03.01.2019 00:00;7;0;10;10;53
03.01.2019 01:00;7;0;12;12;50
03.01.2019 02:00;7;0;7;8;55
03.01.2019 03:00;7;0;10;11;50
03.01.2019 04:00;7;0;13;14;45
03.01.2019 05:00;7;0;11;12;48
03.01.2019 06:00;7;0;13;13;49
03.01.2019 07:00;7;0;15;15;46
03.01.2019 08:00;7;0;19;19;44
03.01.2019 09:00;7;0;15;15;51
03.01.2019 10:00;7;1;13;14;52
03.01.2019 11:00;7;1;12;13;52
03.01.2019 12:00;7;1;14;15;49
03.01.2019 13:00;7;1;14;16;50
03.01.2019 14:00;7;1;15;16;50
03.01.2019 15:00;7;1;14;15;51
03.01.2019 16:00;7;1;18;19;46
03.01.2019 17:00;8;0;20;21;43
03.01.2019 18:00;10;1;32;32;32
03.01.2019 19:00;11;1;34;35;26
03.01.2019 20:00;11;1;32;33;23
03.01.2019 21:00;11;1;23;24;29
03.01.2019 22:00;10;0;17;17;39
03.01.2019 23:00;10;0;17;18;42
04.01.2019 00:00;9;0;15;16;42
04.01.2019 01:00;13;0;21;22;32
04.01.2019 02:00;10;0;20;20;34
04.01.2019 03:00;8;0;22;22;33
04.01.2019 04:00;8;0;28;28;28
04.01.2019 05:00;11;0;34;34;21
04.01.2019 06:00;13;0;22;22;23
04.01.2019 07:00;20;1;26;27;14
04.01.2019 08:00;23;1;33;34;10
04.01.2019 09:00;22;1;33;35;15
04.01.2019 10:00;20;1;27;29;23
04.01.2019 11:00;17;1;21;23;32
04.01.2019 12:00;14;1;19;20;38
04.01.2019 13:00;13;1;18;19;41
04.01.2019 14:00;11;0;19;20;41
04.01.2019 15:00;9;1;25;26;35
04.01.2019 16:00;8;1;28;29;32
04.01.2019 17:00;8;0;27;27;33
04.01.2019 18:00;10;0;23;23;38
04.01.2019 19:00;12;0;20;20;42
04.01.2019 20:00;11;0;14;14;47
04.01.2019 21:00;11;0;12;12;48
04.01.2019 22:00;12;0;20;20;38
04.01.2019 23:00;11;0;20;21;34
05.01.2019 00:00;11;0;15;15;39
05.01.2019 01:00;9;0;12;12;41
05.01.2019 02:00;7;0;10;10;42
05.01.2019 03:00;5;0;10;10;44
05.01.2019 04:00;5;0;11;11;44
05.01.2019 05:00;4;0;12;12;43
05.01.2019 06:00;4;0;6;6;50
05.01.2019 07:00;4;0;6;6;51
05.01.2019 08:00;5;0;6;6;53
05.01.2019 09:00;8;0;4;4;56
05.01.2019 10:00;9;0;4;5;54
05.01.2019 11:00;10;0;7;7;51
05.01.2019 12:00;9;0;7;7;52
05.01.2019 13:00;9;0;7;8;50
05.01.2019 14:00;8;0;6;7;51
05.01.2019 15:00;8;0;7;7;48
05.01.2019 16:00;7;0;6;7;49
05.01.2019 17:00;8;0;7;7;46
05.01.2019 18:00;7;0;7;7;45
05.01.2019 19:00;6;0;6;6;47
05.01.2019 20:00;6;0;4;4;52
05.01.2019 21:00;6;0;4;4;55
05.01.2019 22:00;6;0;4;4;57
05.01.2019 23:00;6;0;5;5;52
06.01.2019 00:00;7;0;7;7;48
06.01.2019 01:00;8;0;13;14;39
06.01.2019 02:00;7;0;8;8;47
06.01.2019 03:00;7;0;5;5;48
06.01.2019 04:00;8;1;2;3;49
06.01.2019 05:00;9;0;3;4;46
06.01.2019 06:00;8;0;4;4;44
06.01.2019 07:00;8;1;5;6;39
06.01.2019 08:00;8;0;7;8;34
06.01.2019 09:00;8;1;7;8;35
06.01.2019 10:00;7;1;6;7;37
06.01.2019 11:00;7;1;8;9;43
06.01.2019 12:00;6;1;5;6;53
06.01.2019 13:00;5;1;4;5;62
06.01.2019 14:00;5;1;4;5;64
06.01.2019 15:00;5;1;4;5;65
06.01.2019 16:00;6;1;6;7;61
06.01.2019 17:00;8;1;15;16;47
06.01.2019 18:00;9;1;19;20;33
06.01.2019 19:00;9;2;19;21;26
06.01.2019 20:00;12;1;21;23;23
06.01.2019 21:00;16;1;27;29;19
06.01.2019 22:00;17;1;28;31;11
06.01.2019 23:00;21;8;33;44;4
07.01.2019 00:00;21;4;30;35;3
07.01.2019 01:00;20;2;24;27;3
07.01.2019 02:00;24;2;24;26;2
07.01.2019 03:00;24;2;23;25;1
07.01.2019 04:00;19;2;25;28;3
07.01.2019 05:00;20;1;20;21;2
07.01.2019 06:00;18;0;22;22;3
07.01.2019 07:00;16;2;27;29;3
07.01.2019 08:00;16;3;31;36;2
07.01.2019 09:00;18;1;27;29;10
07.01.2019 10:00;18;2;23;26;14
07.01.2019 11:00;15;2;20;23;15
07.01.2019 12:00;17;4;19;25;14
07.01.2019 13:00;14;5;20;27;12
07.01.2019 14:00;13;5;21;28;10
07.01.2019 15:00;11;3;28;32;17
07.01.2019 16:00;10;1;28;30;34
07.01.2019 17:00;13;0;22;22;38
07.01.2019 18:00;14;0;20;20;36
07.01.2019 19:00;12;0;19;19;36
07.01.2019 20:00;12;0;11;11;42
07.01.2019 21:00;11;0;8;8;44
07.01.2019 22:00;12;0;8;8;43
07.01.2019 23:00;15;0;8;8;41
08.01.2019 00:00;14;0;8;8;42
08.01.2019 01:00;13;0;9;9;39
08.01.2019 02:00;10;0;8;8;41
08.01.2019 03:00;8;0;8;8;40
08.01.2019 04:00;8;0;8;8;37
08.01.2019 05:00;7;0;8;8;36
08.01.2019 06:00;7;0;8;8;38
08.01.2019 07:00;7;0;8;9;46
08.01.2019 08:00;7;0;10;10;50
08.01.2019 09:00;6;0;8;9;59
08.01.2019 10:00;6;0;7;7;63
08.01.2019 11:00;5;0;7;7;64
08.01.2019 12:00;5;0;6;7;65
08.01.2019 13:00;5;0;9;9;64
08.01.2019 14:00;4;0;10;11;63
08.01.2019 15:00;5;0;14;14;57
08.01.2019 16:00;4;0;13;13;57
08.01.2019 17:00;5;0;13;13;56
08.01.2019 18:00;5;0;13;13;57
08.01.2019 19:00;5;0;7;7;56
08.01.2019 20:00;6;0;10;10;46
08.01.2019 21:00;5;0;13;13;39
08.01.2019 22:00;5;0;13;13;38
08.01.2019 23:00;4;0;12;12;41
09.01.2019 00:00;4;0;8;9;45
09.01.2019 01:00;4;0;5;5;49
09.01.2019 02:00;3;0;4;4;53
09.01.2019 03:00;3;0;3;4;54
09.01.2019 04:00;3;0;3;4;54
09.01.2019 05:00;3;0;3;3;55
09.01.2019 06:00;3;0;3;4;55
09.01.2019 07:00;3;0;5;6;54
09.01.2019 08:00;3;0;8;8;53
09.01.2019 09:00;3;0;7;8;52
09.01.2019 10:00;3;0;6;7;52
09.01.2019 11:00;3;1;5;6;52
09.01.2019 12:00;3;0;5;6;51
09.01.2019 13:00;3;0;5;6;50
09.01.2019 14:00;3;0;5;6;50
09.01.2019 15:00;3;0;5;6;51
09.01.2019 16:00;3;0;6;7;52
09.01.2019 17:00;4;0;7;7;52
09.01.2019 18:00;4;0;7;7;50
09.01.2019 19:00;4;0;6;6;48
09.01.2019 20:00;8;0;5;5;41
09.01.2019 21:00;11;0;5;5;37
09.01.2019 22:00;9;0;4;4;36
09.01.2019 23:00;6;0;4;4;44
10.01.2019 00:00;4;0;3;3;54
10.01.2019 01:00;6;0;3;3;54
10.01.2019 02:00;4;0;2;2;62
10.01.2019 03:00;3;0;2;2;63
10.01.2019 04:00;3;0;2;2;64
10.01.2019 05:00;4;0;2;2;65
10.01.2019 06:00;4;0;3;3;65
10.01.2019 07:00;4;0;6;6;61
10.01.2019 08:00;4;0;9;9;57
10.01.2019 09:00;5;0;9;10;56
10.01.2019 10:00;5;0;6;7;60
10.01.2019 11:00;5;0;6;7;60
10.01.2019 12:00;4;1;5;6;62
10.01.2019 13:00;5;1;5;6;61
10.01.2019 14:00;5;1;5;6;61
10.01.2019 15:00;4;0;5;5;63
10.01.2019 16:00;5;0;10;10;59
10.01.2019 17:00;5;0;12;12;56
10.01.2019 18:00;6;0;15;15;52
10.01.2019 19:00;6;0;18;18;49
10.01.2019 20:00;8;2;30;32;30
10.01.2019 21:00;10;0;27;27;29
10.01.2019 22:00;11;1;23;24;29
10.01.2019 23:00;11;1;29;30;26
11.01.2019 00:00;8;1;17;18;41
11.01.2019 01:00;8;1;11;12;47
11.01.2019 02:00;9;1;12;13;42
11.01.2019 03:00;10;1;13;14;38
11.01.2019 04:00;11;1;14;15;33
11.01.2019 05:00;15;1;16;17;28
11.01.2019 06:00;20;1;17;18;25
11.01.2019 07:00;21;1;15;16;27
11.01.2019 08:00;20;1;15;16;31
11.01.2019 09:00;18;1;13;15;37
11.01.2019 10:00;14;1;12;14;43
11.01.2019 11:00;13;2;15;18;36
11.01.2019 12:00;13;2;16;19;30
11.01.2019 13:00;12;2;17;20;27
11.01.2019 14:00;10;2;19;22;26
11.01.2019 15:00;10;2;20;22;25
11.01.2019 16:00;11;2;29;32;18
11.01.2019 17:00;10;1;34;36;15
11.01.2019 18:00;12;1;32;33;18
11.01.2019 19:00;13;1;26;27;27
11.01.2019 20:00;13;1;30;31;27
11.01.2019 21:00;11;1;25;26;38
11.01.2019 22:00;12;1;16;17;49
11.01.2019 23:00;14;1;15;16;52
12.01.2019 00:00;17;1;8;9;60
12.01.2019 01:00;20;1;3;4;65
12.01.2019 02:00;21;1;3;3;66
12.01.2019 03:00;21;1;2;3;68
12.01.2019 04:00;21;0;3;4;68
12.01.2019 05:00;21;1;5;6;67
12.01.2019 06:00;21;1;10;10;63
12.01.2019 07:00;22;1;13;14;58
12.01.2019 08:00;20;1;12;13;64
12.01.2019 09:00;19;1;13;14;62
12.01.2019 10:00;17;1;9;10;63
12.01.2019 11:00;13;1;11;12;58
12.01.2019 12:00;7;1;10;12;56
12.01.2019 13:00;5;1;7;8;61
12.01.2019 14:00;6;1;6;7;63
12.01.2019 15:00;6;1;7;9;62
12.01.2019 16:00;7;1;6;7;62
12.01.2019 17:00;7;1;5;6;59
12.01.2019 18:00;8;1;6;7;54
12.01.2019 19:00;8;1;8;8;47
12.01.2019 20:00;10;1;13;14;38
12.01.2019 21:00;12;1;15;16;35
12.01.2019 22:00;10;1;9;10;46
12.01.2019 23:00;8;1;6;7;53
13.01.2019 00:00;7;1;4;5;56
13.01.2019 01:00;6;1;3;4;60
13.01.2019 02:00;5;1;3;4;65
13.01.2019 03:00;5;0;4;4;65
13.01.2019 04:00;4;0;6;6;67
13.01.2019 05:00;4;0;6;6;63
13.01.2019 06:00;4;0;5;5;62
13.01.2019 07:00;4;1;4;5;62
13.01.2019 08:00;5;0;6;6;62
13.01.2019 09:00;5;1;6;6;62
13.01.2019 10:00;5;0;7;7;61
13.01.2019 11:00;6;1;6;7;58
13.01.2019 12:00;6;1;4;5;60
13.01.2019 13:00;5;1;4;5;62
13.01.2019 14:00;4;1;5;6;59
13.01.2019 15:00;4;0;6;7;52
13.01.2019 16:00;5;1;11;12;45
13.01.2019 17:00;4;1;10;11;47
13.01.2019 18:00;5;1;9;10;52
13.01.2019 19:00;5;1;9;10;54
13.01.2019 20:00;4;0;7;7;62
13.01.2019 21:00;5;0;7;8;69
13.01.2019 22:00;5;0;7;7;72
13.01.2019 23:00;6;0;5;6;75
14.01.2019 00:00;7;0;5;6;74
14.01.2019 01:00;7;1;4;5;75
14.01.2019 02:00;10;0;2;3;74
14.01.2019 03:00;11;0;4;4;69
14.01.2019 04:00;11;0;3;3;68
14.01.2019 05:00;11;0;3;3;68
14.01.2019 06:00;11;0;4;4;69
14.01.2019 07:00;12;0;6;6;70
14.01.2019 08:00;10;0;8;9;67
14.01.2019 09:00;6;1;11;12;64
