Station;085 Friedrichshagen;085 Friedrichshagen;085 Friedrichshagen;085 Friedrichshagen;085 Friedrichshagen
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2017 00:00;23;1;12;13;44
01.01.2017 01:00;35;1;12;13;39
01.01.2017 02:00;43;1;16;17;33
01.01.2017 03:00;30;1;17;18;30
01.01.2017 04:00;30;1;16;17;29
01.01.2017 05:00;28;1;17;18;27
01.01.2017 06:00;29;1;18;19;26
01.01.2017 07:00;28;1;16;17;26
01.01.2017 08:00;30;1;17;18;24
01.01.2017 09:00;30;1;17;19;25
01.01.2017 10:00;28;2;18;21;27
01.01.2017 11:00;26;3;16;20;31
01.01.2017 12:00;23;4;14;19;37
01.01.2017 13:00;23;3;16;21;38
01.01.2017 14:00;20;2;19;22;36
01.01.2017 15:00;22;1;23;25;30
01.01.2017 16:00;22;1;26;27;26
01.01.2017 17:00;23;1;27;27;23
01.01.2017 18:00;23;1;26;26;22
01.01.2017 19:00;24;1;29;29;17
01.01.2017 20:00;24;1;30;31;15
01.01.2017 21:00;24;1;29;30;15
01.01.2017 22:00;24;0;31;32;15
01.01.2017 23:00;25;0;32;33;14
02.01.2017 00:00;24;1;34;35;11
02.01.2017 01:00;25;1;35;36;10
02.01.2017 02:00;29;1;32;33;13
02.01.2017 03:00;30;1;31;32;11
02.01.2017 04:00;29;1;32;33;8
02.01.2017 05:00;27;1;30;31;8
02.01.2017 06:00;24;1;29;31;7
02.01.2017 07:00;22;2;30;32;7
02.01.2017 08:00;23;3;31;36;6
02.01.2017 09:00;21;4;32;38;7
02.01.2017 10:00;21;5;31;39;8
02.01.2017 11:00;19;6;33;41;7
02.01.2017 12:00;17;6;26;36;18
02.01.2017 13:00;17;5;30;38;17
02.01.2017 14:00;15;2;22;26;31
02.01.2017 15:00;10;2;16;19;43
02.01.2017 16:00;7;1;18;19;45
02.01.2017 17:00;7;1;26;27;39
02.01.2017 18:00;8;1;35;37;30
02.01.2017 19:00;10;2;40;43;25
02.01.2017 20:00;13;6;57;65;7
02.01.2017 21:00;14;8;55;67;6
02.01.2017 22:00;13;1;30;31;18
02.01.2017 23:00;14;1;26;26;20
03.01.2017 00:00;14;0;26;26;18
03.01.2017 01:00;16;0;22;22;21
03.01.2017 02:00;17;0;19;19;27
03.01.2017 03:00;16;0;14;15;37
03.01.2017 04:00;14;0;11;12;44
03.01.2017 05:00;13;0;10;11;46
03.01.2017 06:00;10;0;11;12;49
03.01.2017 07:00;9;0;15;16;47
03.01.2017 08:00;8;1;16;17;44
03.01.2017 09:00;8;1;16;17;44
03.01.2017 10:00;8;1;16;17;46
03.01.2017 11:00;11;1;16;18;45
03.01.2017 12:00;13;1;15;16;47
03.01.2017 13:00;14;1;15;17;49
03.01.2017 14:00;13;3;18;22;47
03.01.2017 15:00;10;1;17;17;46
03.01.2017 16:00;9;1;22;23;43
03.01.2017 17:00;9;0;20;20;44
03.01.2017 18:00;11;0;16;16;46
03.01.2017 19:00;14;0;12;12;50
03.01.2017 20:00;14;0;14;14;46
03.01.2017 21:00;11;0;14;14;44
03.01.2017 22:00;10;0;16;17;38
03.01.2017 23:00;11;0;19;20;33
04.01.2017 00:00;12;0;20;20;32
04.01.2017 01:00;11;0;18;18;34
04.01.2017 02:00;10;0;17;17;35
04.01.2017 03:00;8;0;13;13;43
04.01.2017 04:00;4;0;5;5;79
04.01.2017 05:00;6;0;6;5;75
04.01.2017 06:00;8;0;6;6;76
04.01.2017 07:00;11;0;9;9;73
04.01.2017 08:00;11;0;12;12;68
04.01.2017 09:00;11;0;12;11;68
04.01.2017 10:00;9;0;9;9;70
04.01.2017 11:00;9;0;10;10;69
04.01.2017 12:00;10;0;10;11;67
04.01.2017 13:00;9;0;11;12;67
04.01.2017 14:00;6;0;13;13;64
04.01.2017 15:00;6;0;16;17;60
04.01.2017 16:00;6;0;17;17;57
04.01.2017 17:00;6;0;15;15;52
04.01.2017 18:00;4;0;8;7;57
04.01.2017 19:00;5;0;10;10;55
04.01.2017 20:00;4;0;7;7;61
04.01.2017 21:00;5;0;8;8;58
04.01.2017 22:00;5;0;6;6;58
04.01.2017 23:00;5;0;3;3;63
05.01.2017 00:00;4;0;3;3;60
05.01.2017 01:00;4;0;3;3;57
05.01.2017 02:00;4;0;2;3;58
05.01.2017 03:00;4;0;3;3;60
05.01.2017 04:00;4;1;4;5;57
05.01.2017 05:00;4;0;4;4;61
05.01.2017 06:00;4;0;4;5;60
05.01.2017 07:00;5;1;6;6;60
05.01.2017 08:00;4;1;9;9;58
05.01.2017 09:00;4;1;7;8;63
05.01.2017 10:00;3;1;7;8;66
05.01.2017 11:00;4;1;5;6;68
05.01.2017 12:00;4;1;6;8;67
05.01.2017 13:00;5;1;5;6;68
05.01.2017 14:00;5;1;4;6;70
05.01.2017 15:00;4;1;5;6;71
05.01.2017 16:00;4;1;7;8;70
05.01.2017 17:00;4;1;7;8;69
05.01.2017 18:00;5;0;12;13;62
05.01.2017 19:00;6;1;12;13;62
05.01.2017 20:00;6;0;9;10;63
05.01.2017 21:00;7;1;9;10;61
05.01.2017 22:00;7;0;9;9;61
05.01.2017 23:00;6;1;9;10;60
06.01.2017 00:00;5;0;5;5;65
06.01.2017 01:00;5;0;5;5;64
06.01.2017 02:00;5;1;4;5;63
06.01.2017 03:00;5;0;6;6;58
06.01.2017 04:00;4;0;7;6;61
06.01.2017 05:00;4;0;8;7;60
06.01.2017 06:00;4;0;14;13;53
06.01.2017 07:00;5;0;28;28;40
06.01.2017 08:00;6;1;33;34;36
06.01.2017 09:00;6;4;41;48;28
06.01.2017 10:00;9;10;47;62;24
06.01.2017 11:00;8;5;28;36;42
06.01.2017 12:00;7;4;20;26;51
06.01.2017 13:00;7;2;16;20;54
06.01.2017 14:00;6;2;14;16;58
06.01.2017 15:00;6;1;11;12;62
06.01.2017 16:00;6;3;27;31;45
06.01.2017 17:00;10;7;45;56;28
06.01.2017 18:00;10;4;45;51;20
06.01.2017 19:00;13;3;55;59;10
06.01.2017 20:00;13;2;49;52;13
06.01.2017 21:00;21;4;57;63;6
06.01.2017 22:00;24;23;66;102;2
06.01.2017 23:00;23;11;61;78;1
07.01.2017 00:00;22;11;61;78;1
07.01.2017 01:00;17;4;58;65;5
07.01.2017 02:00;15;0;41;42;19
07.01.2017 03:00;13;0;31;32;28
07.01.2017 04:00;14;0;18;18;39
07.01.2017 05:00;13;0;13;14;44
07.01.2017 06:00;12;0;11;12;47
07.01.2017 07:00;12;0;11;12;48
07.01.2017 08:00;13;0;14;14;47
07.01.2017 09:00;14;0;14;14;48
07.01.2017 10:00;15;1;14;16;47
07.01.2017 11:00;15;1;13;15;50
07.01.2017 12:00;13;1;13;14;51
07.01.2017 13:00;13;1;13;15;51
07.01.2017 14:00;12;1;13;15;52
07.01.2017 15:00;22;1;13;14;53
07.01.2017 16:00;16;1;15;16;51
07.01.2017 17:00;14;0;14;15;52
07.01.2017 18:00;16;0;13;14;53
07.01.2017 19:00;15;0;14;14;51
07.01.2017 20:00;14;0;13;14;51
07.01.2017 21:00;16;0;12;13;49
07.01.2017 22:00;17;0;11;12;48
07.01.2017 23:00;18;0;13;14;44
08.01.2017 00:00;21;0;17;17;37
08.01.2017 01:00;22;0;16;17;34
08.01.2017 02:00;24;0;14;14;34
08.01.2017 03:00;24;0;13;14;33
08.01.2017 04:00;25;0;14;14;30
08.01.2017 05:00;23;0;12;12;30
08.01.2017 06:00;23;0;12;12;28
08.01.2017 07:00;22;0;13;13;24
08.01.2017 08:00;25;0;17;17;22
08.01.2017 09:00;28;0;17;18;23
08.01.2017 10:00;24;1;11;13;31
08.01.2017 11:00;27;1;12;14;31
08.01.2017 12:00;29;2;11;14;32
08.01.2017 13:00;30;2;12;14;32
08.01.2017 14:00;30;2;13;16;32
08.01.2017 15:00;30;1;17;19;30
08.01.2017 16:00;31;1;18;19;28
08.01.2017 17:00;31;0;20;20;26
08.01.2017 18:00;33;0;21;21;24
08.01.2017 19:00;34;0;23;23;19
08.01.2017 20:00;33;0;21;21;17
08.01.2017 21:00;35;0;20;20;20
08.01.2017 22:00;34;0;18;18;21
08.01.2017 23:00;33;0;18;18;19
09.01.2017 00:00;40;1;31;32;7
09.01.2017 01:00;41;4;38;44;1
09.01.2017 02:00;34;2;30;34;9
09.01.2017 03:00;19;0;18;18;21
09.01.2017 04:00;17;0;17;17;20
09.01.2017 05:00;18;1;23;24;13
09.01.2017 06:00;22;1;33;35;2
09.01.2017 07:00;20;1;27;28;6
09.01.2017 08:00;21;2;31;34;2
09.01.2017 09:00;22;10;32;48;2
09.01.2017 10:00;21;12;26;44;6
09.01.2017 11:00;22;16;25;50;8
09.01.2017 12:00;23;15;24;47;9
09.01.2017 13:00;20;10;18;34;11
09.01.2017 14:00;20;7;17;28;13
09.01.2017 15:00;21;6;19;27;12
09.01.2017 16:00;20;2;20;24;12
09.01.2017 17:00;20;0;21;22;11
09.01.2017 18:00;22;0;24;23;7
09.01.2017 19:00;24;0;25;25;4
09.01.2017 20:00;26;0;26;26;4
09.01.2017 21:00;27;0;27;27;3
09.01.2017 22:00;26;0;27;28;4
09.01.2017 23:00;25;0;25;25;9
10.01.2017 00:00;22;0;21;21;19
10.01.2017 01:00;18;0;16;16;33
10.01.2017 02:00;17;0;16;16;35
10.01.2017 03:00;17;0;16;16;35
10.01.2017 04:00;17;0;15;15;36
10.01.2017 05:00;16;0;12;12;39
10.01.2017 06:00;16;0;12;12;40
10.01.2017 07:00;19;0;15;15;33
10.01.2017 08:00;26;0;22;22;23
10.01.2017 09:00;28;1;20;21;25
10.01.2017 10:00;25;3;15;19;32
10.01.2017 11:00;24;3;14;19;35
10.01.2017 12:00;22;3;12;17;41
10.01.2017 13:00;21;3;11;16;46
10.01.2017 14:00;21;3;11;16;47
10.01.2017 15:00;21;2;12;16;48
10.01.2017 16:00;18;1;13;14;49
10.01.2017 17:00;16;0;14;14;50
10.01.2017 18:00;15;0;16;16;50
10.01.2017 19:00;18;0;19;19;45
10.01.2017 20:00;21;0;16;16;46
10.01.2017 21:00;19;0;13;13;51
10.01.2017 22:00;22;0;11;11;54
10.01.2017 23:00;24;0;11;11;53
11.01.2017 00:00;24;0;10;10;53
11.01.2017 01:00;24;0;9;9;52
11.01.2017 02:00;24;0;10;10;50
11.01.2017 03:00;24;0;10;10;49
11.01.2017 04:00;25;0;10;10;47
11.01.2017 05:00;26;0;11;11;47
11.01.2017 06:00;27;0;11;11;46
11.01.2017 07:00;27;0;13;13;44
11.01.2017 08:00;29;0;14;14;43
11.01.2017 09:00;30;0;14;15;45
11.01.2017 10:00;29;1;15;16;47
11.01.2017 11:00;28;2;14;16;50
11.01.2017 12:00;27;3;13;17;52
11.01.2017 13:00;25;2;14;17;53
11.01.2017 14:00;21;1;14;16;53
11.01.2017 15:00;22;1;15;16;52
11.01.2017 16:00;20;0;18;18;46
11.01.2017 17:00;15;0;17;16;42
11.01.2017 18:00;17;0;19;18;36
11.01.2017 19:00;16;0;24;24;29
11.01.2017 20:00;13;0;27;27;26
11.01.2017 21:00;10;0;24;24;29
11.01.2017 22:00;9;0;15;15;43
11.01.2017 23:00;9;0;13;12;50
12.01.2017 00:00;8;1;14;14;59
12.01.2017 01:00;9;1;7;8;67
12.01.2017 02:00;9;0;6;6;69
12.01.2017 03:00;9;1;4;5;72
12.01.2017 04:00;10;1;5;6;71
12.01.2017 05:00;10;0;6;7;70
12.01.2017 06:00;8;1;6;7;71
12.01.2017 07:00;8;1;10;11;67
12.01.2017 08:00;9;1;13;14;62
12.01.2017 09:00;10;1;18;20;57
12.01.2017 10:00;10;1;15;16;59
12.01.2017 11:00;10;1;12;14;61
12.01.2017 12:00;11;1;13;14;59
12.01.2017 13:00;11;1;10;12;62
12.01.2017 14:00;12;1;11;13;60
12.01.2017 15:00;12;1;16;17;54
12.01.2017 16:00;11;1;15;17;53
12.01.2017 17:00;11;1;15;16;52
12.01.2017 18:00;11;1;14;15;53
12.01.2017 19:00;12;1;15;15;51
12.01.2017 20:00;13;0;15;16;49
12.01.2017 21:00;13;0;12;13;52
12.01.2017 22:00;11;1;10;11;54
12.01.2017 23:00;12;1;10;11;53
13.01.2017 00:00;14;1;13;14;48
13.01.2017 01:00;12;0;10;10;50
13.01.2017 02:00;11;0;9;9;51
13.01.2017 03:00;11;0;10;9;50
13.01.2017 04:00;11;0;8;8;51
13.01.2017 05:00;10;0;7;7;54
13.01.2017 06:00;9;0;10;9;52
13.01.2017 07:00;8;0;9;8;50
13.01.2017 08:00;6;0;8;7;50
13.01.2017 09:00;4;0;7;7;53
13.01.2017 10:00;3;0;7;7;54
13.01.2017 11:00;3;0;11;11;44
13.01.2017 12:00;4;1;16;17;35
13.01.2017 13:00;4;1;19;21;31
13.01.2017 14:00;6;3;30;34;22
13.01.2017 15:00;7;1;22;23;29
13.01.2017 16:00;7;0;15;16;43
13.01.2017 17:00;9;0;14;14;52
13.01.2017 18:00;10;0;22;22;42
13.01.2017 19:00;10;0;28;28;34
13.01.2017 20:00;14;0;23;23;37
13.01.2017 21:00;14;0;23;23;43
13.01.2017 22:00;15;0;18;18;49
13.01.2017 23:00;14;0;12;11;55
14.01.2017 00:00;14;0;13;13;49
14.01.2017 01:00;14;0;14;14;44
14.01.2017 02:00;15;0;10;11;47
14.01.2017 03:00;14;0;10;10;48
14.01.2017 04:00;14;0;9;9;46
14.01.2017 05:00;14;0;10;10;43
14.01.2017 06:00;13;0;11;11;42
14.01.2017 07:00;12;0;11;11;42
14.01.2017 08:00;11;0;10;10;41
14.01.2017 09:00;11;0;11;11;35
