Station;115 Hardenbergplatz;115 Hardenbergplatz;115 Hardenbergplatz
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2012 00:00;78;68;187
01.01.2012 01:00;104;62;221
01.01.2012 02:00;91;63;203
01.01.2012 03:00;61;57;151
01.01.2012 04:00;61;56;149
01.01.2012 05:00;43;43;109
01.01.2012 06:00;54;48;130
01.01.2012 07:00;41;38;101
01.01.2012 08:00;49;43;118
01.01.2012 09:00;43;38;104
01.01.2012 10:00;45;40;109
01.01.2012 11:00;54;39;122
01.01.2012 12:00;51;40;118
01.01.2012 13:00;45;43;112
01.01.2012 14:00;38;43;101
01.01.2012 15:00;49;58;132
01.01.2012 16:00;60;61;153
01.01.2012 17:00;66;71;171
01.01.2012 18:00;71;71;180
01.01.2012 19:00;63;65;162
01.01.2012 20:00;61;59;152
01.01.2012 21:00;53;49;129
01.01.2012 22:00;40;41;102
01.01.2012 23:00;35;39;93
02.01.2012 00:00;36;34;90
02.01.2012 01:00;25;31;69
02.01.2012 02:00;13;26;46
02.01.2012 03:00;12;20;38
02.01.2012 04:00;10;17;32
02.01.2012 05:00;12;18;36
02.01.2012 06:00;19;24;53
02.01.2012 07:00;36;42;97
02.01.2012 08:00;34;51;103
02.01.2012 09:00;35;63;117
02.01.2012 10:00;49;76;151
02.01.2012 11:00;63;84;180
02.01.2012 12:00;58;80;169
02.01.2012 13:00;55;80;164
02.01.2012 14:00;67;90;193
02.01.2012 15:00;65;97;197
02.01.2012 16:00;22;52;85
02.01.2012 17:00;30;67;113
02.01.2012 18:00;38;66;124
02.01.2012 19:00;39;61;121
02.01.2012 20:00;35;59;113
02.01.2012 21:00;18;40;68
02.01.2012 22:00;19;42;71
02.01.2012 23:00;22;47;80
03.01.2012 00:00;16;35;59
03.01.2012 01:00;11;30;46
03.01.2012 02:00;6;20;30
03.01.2012 03:00;11;26;42
03.01.2012 04:00;10;25;40
03.01.2012 05:00;12;28;46
03.01.2012 06:00;21;33;65
03.01.2012 07:00;34;46;97
03.01.2012 08:00;44;51;119
03.01.2012 09:00;53;57;137
03.01.2012 10:00;67;64;166
03.01.2012 11:00;60;58;151
03.01.2012 12:00;58;58;146
03.01.2012 13:00;50;48;125
03.01.2012 14:00;69;70;176
03.01.2012 15:00;61;66;159
03.01.2012 16:00;78;82;202
03.01.2012 17:00;68;70;174
03.01.2012 18:00;51;58;136
03.01.2012 19:00;41;45;108
03.01.2012 20:00;31;38;85
03.01.2012 21:00;26;31;70
03.01.2012 22:00;18;22;49
03.01.2012 23:00;11;21;38
04.01.2012 00:00;9;22;36
04.01.2012 01:00;10;19;35
04.01.2012 02:00;3;8;14
04.01.2012 03:00;5;12;20
04.01.2012 04:00;5;10;18
04.01.2012 05:00;9;15;28
04.01.2012 06:00;13;24;44
04.01.2012 07:00;22;39;73
04.01.2012 08:00;30;48;95
04.01.2012 09:00;35;54;108
04.01.2012 10:00;38;55;113
04.01.2012 11:00;27;41;83
04.01.2012 12:00;25;39;76
04.01.2012 13:00;28;39;82
04.01.2012 14:00;33;45;96
04.01.2012 15:00;31;45;92
