Station;115 Hardenbergplatz;115 Hardenbergplatz;115 Hardenbergplatz
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2018 00:00;13;20;41
01.01.2018 01:00;18;38;65
01.01.2018 02:00;15;24;46
01.01.2018 03:00;13;22;42
01.01.2018 04:00;10;19;35
01.01.2018 05:00;6;17;26
01.01.2018 06:00;11;20;36
01.01.2018 07:00;10;16;31
01.01.2018 08:00;6;12;21
01.01.2018 09:00;5;11;18
01.01.2018 10:00;12;16;34
01.01.2018 11:00;12;18;36
01.01.2018 12:00;15;20;43
01.01.2018 13:00;13;22;42
01.01.2018 14:00;14;23;45
01.01.2018 15:00;22;33;67
01.01.2018 16:00;25;39;78
01.01.2018 17:00;37;47;104
01.01.2018 18:00;39;48;108
01.01.2018 19:00;29;54;98
01.01.2018 20:00;48;66;140
01.01.2018 21:00;42;58;122
01.01.2018 22:00;41;58;121
01.01.2018 23:00;37;52;108
02.01.2018 00:00;26;40;80
02.01.2018 01:00;15;33;56
02.01.2018 02:00;13;36;56
02.01.2018 03:00;13;29;49
02.01.2018 04:00;16;35;59
02.01.2018 05:00;10;30;46
02.01.2018 06:00;24;49;86
02.01.2018 07:00;55;58;142
02.01.2018 08:00;20;47;79
02.01.2018 09:00;14;34;56
02.01.2018 10:00;16;39;63
02.01.2018 11:00;19;39;69
02.01.2018 12:00;28;42;85
02.01.2018 13:00;20;36;67
02.01.2018 14:00;26;41;80
02.01.2018 15:00;23;45;80
02.01.2018 16:00;26;46;85
02.01.2018 17:00;24;47;84
02.01.2018 18:00;36;62;117
02.01.2018 19:00;28;57;100
02.01.2018 20:00;39;57;117
02.01.2018 21:00;19;41;71
02.01.2018 22:00;33;46;96
02.01.2018 23:00;27;40;81
03.01.2018 00:00;18;26;53
03.01.2018 01:00;18;25;53
03.01.2018 02:00;15;25;47
03.01.2018 03:00;12;22;39
03.01.2018 04:00;7;16;27
03.01.2018 05:00;5;14;21
03.01.2018 06:00;8;18;30
03.01.2018 07:00;21;37;69
03.01.2018 08:00;19;40;69
03.01.2018 09:00;27;43;85
03.01.2018 10:00;44;48;115
03.01.2018 11:00;47;54;125
03.01.2018 12:00;71;64;172
03.01.2018 13:00;47;53;124
03.01.2018 14:00;20;40;71
03.01.2018 15:00;13;30;50
03.01.2018 16:00;38;59;118
03.01.2018 17:00;34;49;101
03.01.2018 18:00;27;43;84
03.01.2018 19:00;28;42;85
03.01.2018 20:00;15;28;50
03.01.2018 21:00;13;24;43
03.01.2018 22:00;8;19;32
03.01.2018 23:00;4;14;19
04.01.2018 00:00;3;11;16
04.01.2018 01:00;2;7;9
04.01.2018 02:00;1;7;8
04.01.2018 03:00;2;7;11
04.01.2018 04:00;1;6;7
04.01.2018 05:00;2;8;11
04.01.2018 06:00;3;10;15
04.01.2018 07:00;10;20;36
04.01.2018 08:00;12;30;49
04.01.2018 09:00;16;34;58
04.01.2018 10:00;20;40;71
04.01.2018 11:00;21;40;73
04.01.2018 12:00;24;47;84
04.01.2018 13:00;20;42;73
04.01.2018 14:00;26;45;84
04.01.2018 15:00;30;48;94
