Station;117 Schildhornstraﬂe;117 Schildhornstraﬂe;117 Schildhornstraﬂe;117 Schildhornstraﬂe;117 Schildhornstraﬂe;117 Schildhornstraﬂe
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Kohlenmonoxid;Benzol;Toluol
Einheit;µg/m≥;µg/m≥;µg/m≥;mg/m≥;µg/m≥;µg/m≥
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2014 00:00;46;44;114;0.6;1.8;1.8
01.01.2014 01:00;228;51;400;1.0;8.5;2.3
01.01.2014 02:00;88;51;185;0.9;5.4;2.4
01.01.2014 03:00;62;50;144;0.8;3.1;4.5
01.01.2014 04:00;43;44;109;0.6;2.2;2.8
01.01.2014 05:00;37;45;102;0.5;1.6;1.6
01.01.2014 06:00;35;42;95;0.5;1.5;1.2
01.01.2014 07:00;26;40;79;0.4;1.5;1.5
01.01.2014 08:00;24;43;80;0.5;1.3;1.5
01.01.2014 09:00;19;35;64;0.4;1.3;1.2
01.01.2014 10:00;16;33;58;0.5;1.7;2.6
01.01.2014 11:00;19;28;57;0.4;1.3;1.4
01.01.2014 12:00;20;28;58;0.5;1.2;1.3
01.01.2014 13:00;22;30;64;0.5;1.3;1.7
01.01.2014 14:00;35;38;91;0.6;1.7;2.6
01.01.2014 15:00;38;41;99;0.6;1.5;2.5
01.01.2014 16:00;33;41;91;0.6;1.6;2.5
01.01.2014 17:00;36;43;97;0.6;1.7;2.6
01.01.2014 18:00;34;40;92;0.6;1.3;1.7
01.01.2014 19:00;40;43;104;0.6;1.5;2.0
01.01.2014 20:00;36;42;98;0.6;1.7;2.3
01.01.2014 21:00;40;45;106;0.7;1.7;2.2
01.01.2014 22:00;38;45;102;0.6;1.9;2.8
01.01.2014 23:00;38;45;103;0.6;1.5;1.7
02.01.2014 00:00;26;38;77;0.5;1.6;2.0
02.01.2014 01:00;18;36;64;0.4;1.3;1.3
02.01.2014 02:00;5;25;33;0.4;1.1;1.1
02.01.2014 03:00;7;25;36;0.4;1.1;0.9
02.01.2014 04:00;11;28;45;0.4;1.1;1.0
02.01.2014 05:00;29;46;90;0.4;1.2;1.1
02.01.2014 06:00;43;51;117;0.5;1.4;1.4
02.01.2014 07:00;92;71;211;0.6;1.5;1.9
02.01.2014 08:00;96;71;217;0.8;1.7;2.8
02.01.2014 09:00;96;70;216;0.8;2.2;4.2
