Station;117 Schildhornstraﬂe;117 Schildhornstraﬂe;117 Schildhornstraﬂe;117 Schildhornstraﬂe;117 Schildhornstraﬂe;117 Schildhornstraﬂe;117 Schildhornstraﬂe
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Kohlenmonoxid;Benzol;Toluol
Einheit;µg/m≥;µg/m≥;µg/m≥;µg/m≥;mg/m≥;µg/m≥;µg/m≥
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2019 00:00;25;9;15;29;0.2;0.9;0.7
01.01.2019 01:00;232;40;33;94;0.3;2.5;1.0
01.01.2019 02:00;39;8;14;27;0.2;0.7;1.0
01.01.2019 03:00;21;7;10;22;0.2;0.7;0.9
01.01.2019 04:00;16;6;9;19;0.2;0.5;1.2
01.01.2019 05:00;20;6;9;17;0.2;0.5;0.8
01.01.2019 06:00;22;5;8;16;0.2;0.5;0.4
01.01.2019 07:00;13;4;7;13;0.2;0.6;0.3
01.01.2019 08:00;15;4;6;12;0.2;0.3;0.4
01.01.2019 09:00;14;2;5;8;0.2;0.4;0.7
01.01.2019 10:00;12;4;8;14;0.2;0.4;0.8
01.01.2019 11:00;9;6;7;16;0.2;0.8;0.8
01.01.2019 12:00;10;8;10;21;0.2;0.5;0.7
01.01.2019 13:00;11;6;8;17;0.2;0.5;1.1
01.01.2019 14:00;15;7;11;22;0.2;0.5;0.9
01.01.2019 15:00;15;8;13;25;0.2;0.6;0.8
01.01.2019 16:00;10;10;15;31;0.2;0.9;1.0
01.01.2019 17:00;10;12;16;35;0.2;0.8;0.9
01.01.2019 18:00;9;9;14;27;0.2;0.7;1.3
01.01.2019 19:00;11;7;12;23;0.2;0.5;0.5
01.01.2019 20:00;11;6;11;20;0.2;0.7;0.7
01.01.2019 21:00;15;5;8;16;0.2;0.5;0.6
01.01.2019 22:00;16;3;7;12;0.2;0.7;0.9
01.01.2019 23:00;18;4;7;13;0.2;0.6;0.4
02.01.2019 00:00;19;2;5;9;0.2;0.6;0.5
02.01.2019 01:00;17;2;5;8;0.2;0.6;0.7
02.01.2019 02:00;18;3;5;9;0.2;0.4;0.2
02.01.2019 03:00;17;2;4;6;0.2;0.4;0.4
02.01.2019 04:00;15;2;4;7;0.2;0.3;0.4
02.01.2019 05:00;13;10;15;30;0.2;0.4;1.4
02.01.2019 06:00;10;17;22;47;0.2;0.5;1.0
02.01.2019 07:00;12;12;19;38;0.2;0.5;0.5
02.01.2019 08:00;13;13;26;45;0.2;0.6;1.1
02.01.2019 09:00;12;7;22;33;0.2;0.6;1.3
02.01.2019 10:00;11;5;19;27;0.2;0.5;0.8
02.01.2019 11:00;10;5;18;26;0.2;0.7;0.8
02.01.2019 12:00;7;7;26;37;0.2;0.5;0.7
02.01.2019 13:00;7;6;22;31;0.2;0.6;0.8
02.01.2019 14:00;9;4;14;21;0.2;0.6;0.8
02.01.2019 15:00;10;7;21;33;0.3;0.9;0.8
02.01.2019 16:00;8;7;24;35;0.2;0.6;0.9
02.01.2019 17:00;8;4;18;23;0.2;0.6;1.5
02.01.2019 18:00;8;3;18;23;0.2;0.7;0.7
02.01.2019 19:00;8;4;21;28;0.2;0.7;1.4
02.01.2019 20:00;10;9;32;46;0.2;0.8;1.4
02.01.2019 21:00;10;14;39;60;0.3;1.0;1.1
02.01.2019 22:00;12;22;48;82;0.3;0.9;1.7
02.01.2019 23:00;12;18;36;64;0.3;0.9;1.1
03.01.2019 00:00;11;10;33;48;0.2;0.7;0.7
03.01.2019 01:00;11;13;26;46;0.2;0.6;1.1
03.01.2019 02:00;11;2;14;17;0.2;0.6;0.9
03.01.2019 03:00;9;3;12;17;0.2;0.5;0.6
03.01.2019 04:00;9;3;13;18;0.2;0.4;1.0
03.01.2019 05:00;9;24;30;66;0.2;0.5;0.9
03.01.2019 06:00;9;28;37;80;0.3;1.1;3.4
03.01.2019 07:00;10;34;44;96;0.3;0.7;1.8
03.01.2019 08:00;10;35;46;99;0.3;1.1;1.7
03.01.2019 09:00;9;31;47;94;0.3;1.1;2.3
03.01.2019 10:00;8;32;44;92;0.3;1.0;1.8
03.01.2019 11:00;9;31;44;91;0.4;1.2;3.2
03.01.2019 12:00;11;14;37;58;0.3;0.9;1.3
03.01.2019 13:00;9;37;54;111;0.3;1.1;2.2
03.01.2019 14:00;9;32;48;97;0.4;1.3;4.2
03.01.2019 15:00;9;44;58;126;0.4;1.3;3.3
03.01.2019 16:00;11;75;71;185;0.5;2.2;5.6
03.01.2019 17:00;13;111;87;256;0.6;2.2;5.0
03.01.2019 18:00;14;99;86;237;0.7;2.1;4.7
03.01.2019 19:00;16;97;83;231;0.8;4.2;14.1
03.01.2019 20:00;12;27;62;103;0.4;1.4;3.3
03.01.2019 21:00;17;55;75;159;0.5;2.1;4.0
03.01.2019 22:00;17;64;74;172;0.5;1.5;3.6
