Station;117 Schildhornstraﬂe;117 Schildhornstraﬂe;117 Schildhornstraﬂe;117 Schildhornstraﬂe;117 Schildhornstraﬂe;117 Schildhornstraﬂe
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Kohlenmonoxid;Benzol;Toluol
Einheit;µg/m≥;µg/m≥;µg/m≥;mg/m≥;µg/m≥;µg/m≥
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2013 00:00;13;25;45;0.3;1.5;4.6
01.01.2013 01:00;92;57;198;0.6;1.4;3.3
01.01.2013 02:00;24;37;74;0.5;4.2;3.9
01.01.2013 03:00;23;32;67;0.4;1.7;5.0
01.01.2013 04:00;18;27;55;0.3;1.0;3.3
01.01.2013 05:00;13;27;47;0.3;0.9;2.4
01.01.2013 06:00;10;21;37;0.3;1.4;1.9
01.01.2013 07:00;13;24;44;0.2;0.9;2.5
01.01.2013 08:00;13;26;46;0.3;0.7;2.3
01.01.2013 09:00;8;20;32;0.2;1.1;2.3
01.01.2013 10:00;9;23;36;0.3;1.2;2.1
01.01.2013 11:00;14;28;49;0.3;0.9;1.9
01.01.2013 12:00;32;28;77;0.3;1.0;2.7
01.01.2013 13:00;10;22;37;0.3;1.2;2.9
01.01.2013 14:00;12;23;42;0.3;1.3;3.9
01.01.2013 15:00;12;25;44;0.4;1.2;4.1
01.01.2013 16:00;17;31;57;0.4;1.3;4.9
01.01.2013 17:00;21;37;69;0.5;2.7;12.1
01.01.2013 18:00;21;35;67;0.4;1.5;4.7
01.01.2013 19:00;18;35;62;0.4;1.6;4.5
01.01.2013 20:00;18;34;61;0.4;1.5;4.4
01.01.2013 21:00;12;26;45;0.3;1.4;3.2
01.01.2013 22:00;10;20;36;0.3;1.2;3.9
01.01.2013 23:00;8;19;32;0.3;0.9;2.3
02.01.2013 00:00;7;20;31;0.3;1.0;4.3
02.01.2013 01:00;10;24;40;0.2;0.7;1.6
02.01.2013 02:00;2;7;11;0.2;0.6;1.3
02.01.2013 03:00;2;8;11;0.2;0.7;1.3
02.01.2013 04:00;5;13;20;0.2;0.7;0.9
02.01.2013 05:00;17;31;57;0.3;0.5;1.4
02.01.2013 06:00;23;39;74;0.3;0.8;1.9
02.01.2013 07:00;32;40;89;0.3;1.1;3.5
02.01.2013 08:00;34;47;99;0.4;1.3;4.1
02.01.2013 09:00;33;45;95;0.5;1.5;6.1
