Station;117 Schildhornstraﬂe;117 Schildhornstraﬂe;117 Schildhornstraﬂe;117 Schildhornstraﬂe;117 Schildhornstraﬂe
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Kohlenmonoxid
Einheit;µg/m≥;µg/m≥;µg/m≥;µg/m≥;mg/m≥
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2020 00:00;67;11;32;48;0.2
01.01.2020 01:00;451;75;58;173;0.7
01.01.2020 02:00;216;21;37;69;0.5
01.01.2020 03:00;66;15;31;54;0.4
01.01.2020 04:00;43;13;26;45;0.3
01.01.2020 05:00;35;10;19;35;0.2
01.01.2020 06:00;32;7;15;25;0.2
01.01.2020 07:00;30;8;13;25;0.2
01.01.2020 08:00;27;7;14;25;0.2
01.01.2020 09:00;29;4;11;17;0.2
01.01.2020 10:00;26;13;17;38;0.2
01.01.2020 11:00;26;11;21;38;0.2
01.01.2020 12:00;23;14;21;42;0.3
01.01.2020 13:00;24;10;20;34;0.3
01.01.2020 14:00;24;11;20;37;0.4
01.01.2020 15:00;27;12;24;42;0.3
01.01.2020 16:00;25;20;35;65;0.4
01.01.2020 17:00;33;48;67;140;0.6
01.01.2020 18:00;37;50;70;147;0.6
01.01.2020 19:00;41;35;61;114;0.6
01.01.2020 20:00;37;27;53;94;0.4
01.01.2020 21:00;38;19;46;75;0.4
01.01.2020 22:00;39;27;49;89;0.4
01.01.2020 23:00;35;19;41;69;0.4
02.01.2020 00:00;33;15;35;58;0.4
02.01.2020 01:00;31;10;34;50;0.3
02.01.2020 02:00;30;6;32;42;0.3
02.01.2020 03:00;28;6;31;40;0.3
02.01.2020 04:00;27;6;33;42;0.3
02.01.2020 05:00;29;37;50;107;0.3
02.01.2020 06:00;32;39;43;103;0.3
02.01.2020 07:00;32;78;55;174;0.4
02.01.2020 08:00;30;80;56;178;0.5
02.01.2020 09:00;30;108;63;228;0.6
02.01.2020 10:00;29;105;59;220;0.6
02.01.2020 11:00;27;85;58;188;0.5
02.01.2020 12:00;27;72;55;165;0.5
02.01.2020 13:00;26;77;64;182;0.5
02.01.2020 14:00;32;74;63;176;0.6
02.01.2020 15:00;48;76;67;184;0.6
02.01.2020 16:00;47;88;73;208;0.6
02.01.2020 17:00;41;77;73;191;0.6
02.01.2020 18:00;37;102;80;236;0.7
02.01.2020 19:00;36;100;80;233;0.9
02.01.2020 20:00;34;84;73;202;0.7
02.01.2020 21:00;31;64;68;166;0.7
02.01.2020 22:00;30;56;65;151;0.6
02.01.2020 23:00;30;41;58;121;0.5
03.01.2020 00:00;28;15;35;58;0.4
03.01.2020 01:00;23;8;25;37;0.3
03.01.2020 02:00;18;4;19;25;0.3
03.01.2020 03:00;17;3;16;21;0.2
03.01.2020 04:00;17;5;17;25;0.2
03.01.2020 05:00;16;23;31;66;0.3
