Station;124 Mariendorfer Damm;124 Mariendorfer Damm;124 Mariendorfer Damm
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2013 00:00;26;30;70
01.01.2013 01:00;131;47;247
01.01.2013 02:00;25;38;77
01.01.2013 03:00;19;29;59
01.01.2013 04:00;16;26;51
01.01.2013 05:00;12;23;42
01.01.2013 06:00;10;20;35
01.01.2013 07:00;8;16;28
01.01.2013 08:00;8;18;31
01.01.2013 09:00;8;17;28
01.01.2013 10:00;8;18;31
01.01.2013 11:00;13;23;43
01.01.2013 12:00;16;26;50
01.01.2013 13:00;14;24;45
01.01.2013 14:00;21;30;62
01.01.2013 15:00;21;31;64
01.01.2013 16:00;21;32;63
01.01.2013 17:00;22;34;68
01.01.2013 18:00;21;33;64
01.01.2013 19:00;26;37;76
01.01.2013 20:00;25;36;74
01.01.2013 21:00;19;28;57
01.01.2013 22:00;16;25;50
01.01.2013 23:00;20;24;55
02.01.2013 00:00;15;21;44
02.01.2013 01:00;14;27;48
02.01.2013 02:00;7;15;26
02.01.2013 03:00;8;21;34
02.01.2013 04:00;13;22;42
02.01.2013 05:00;16;23;48
02.01.2013 06:00;30;36;82
02.01.2013 07:00;49;45;120
02.01.2013 08:00;50;48;125
02.01.2013 09:00;63;57;153
02.01.2013 10:00;81;61;185
02.01.2013 11:00;60;61;153
02.01.2013 12:00;;;
02.01.2013 13:00;;;
02.01.2013 14:00;;;
02.01.2013 15:00;;;
02.01.2013 16:00;;;
02.01.2013 17:00;;;
02.01.2013 18:00;;;
02.01.2013 19:00;;;
02.01.2013 20:00;;;
02.01.2013 21:00;;;
02.01.2013 22:00;;;
02.01.2013 23:00;;;
03.01.2013 00:00;;;
03.01.2013 01:00;;;
03.01.2013 02:00;;;
03.01.2013 03:00;;;
03.01.2013 04:00;;;
03.01.2013 05:00;;;
03.01.2013 06:00;;;
03.01.2013 07:00;;;
03.01.2013 08:00;;;
03.01.2013 09:00;;;
03.01.2013 10:00;;;
03.01.2013 11:00;103;62;220
03.01.2013 12:00;141;64;280
03.01.2013 13:00;70;50;156
03.01.2013 14:00;100;52;205
03.01.2013 15:00;75;52;166
03.01.2013 16:00;68;50;154
03.01.2013 17:00;65;49;149
03.01.2013 18:00;65;49;149
03.01.2013 19:00;51;44;122
03.01.2013 20:00;44;40;107
03.01.2013 21:00;28;34;77
03.01.2013 22:00;17;21;47
03.01.2013 23:00;15;23;47
04.01.2013 00:00;16;19;43
04.01.2013 01:00;8;13;26
04.01.2013 02:00;5;9;17
04.01.2013 03:00;7;9;20
04.01.2013 04:00;6;9;19
04.01.2013 05:00;7;13;24
04.01.2013 06:00;28;34;78
04.01.2013 07:00;63;58;154
04.01.2013 08:00;62;62;157
04.01.2013 09:00;72;66;177
04.01.2013 10:00;99;70;221
04.01.2013 11:00;107;80;244
04.01.2013 12:00;91;75;214
04.01.2013 13:00;91;71;211
04.01.2013 14:00;93;75;217
04.01.2013 15:00;101;68;221
04.01.2013 16:00;81;55;180
04.01.2013 17:00;67;51;153
04.01.2013 18:00;49;43;117
04.01.2013 19:00;51;45;124
