Station;124 Mariendorfer Damm;124 Mariendorfer Damm;124 Mariendorfer Damm;124 Mariendorfer Damm
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2019 00:00;58;17;22;49
01.01.2019 01:00;316;76;44;160
01.01.2019 02:00;85;17;27;53
01.01.2019 03:00;24;17;20;47
01.01.2019 04:00;20;11;17;33
01.01.2019 05:00;20;8;16;28
01.01.2019 06:00;16;9;14;28
01.01.2019 07:00;14;6;13;22
01.01.2019 08:00;15;6;12;20
01.01.2019 09:00;14;5;11;19
01.01.2019 10:00;12;5;10;18
01.01.2019 11:00;11;9;14;27
01.01.2019 12:00;10;9;13;26
01.01.2019 13:00;10;7;10;20
01.01.2019 14:00;15;10;12;27
01.01.2019 15:00;15;12;17;36
01.01.2019 16:00;11;13;19;40
01.01.2019 17:00;11;14;21;43
01.01.2019 18:00;10;12;17;36
01.01.2019 19:00;12;13;17;37
01.01.2019 20:00;12;11;13;29
01.01.2019 21:00;15;11;12;30
01.01.2019 22:00;16;6;8;17
01.01.2019 23:00;17;6;7;16
02.01.2019 00:00;16;5;5;13
02.01.2019 01:00;14;4;5;10
02.01.2019 02:00;15;2;3;7
02.01.2019 03:00;15;3;4;8
02.01.2019 04:00;13;3;5;9
02.01.2019 05:00;11;5;7;15
02.01.2019 06:00;11;17;16;42
02.01.2019 07:00;14;27;33;74
02.01.2019 08:00;13;31;33;81
02.01.2019 09:00;15;21;31;63
02.01.2019 10:00;12;36;34;89
02.01.2019 11:00;14;27;40;82
02.01.2019 12:00;8;46;48;118
02.01.2019 13:00;8;34;41;93
02.01.2019 14:00;10;29;34;79
02.01.2019 15:00;11;31;36;83
02.01.2019 16:00;31;33;43;93
02.01.2019 17:00;11;27;38;79
02.01.2019 18:00;11;25;35;72
02.01.2019 19:00;11;29;40;85
02.01.2019 20:00;11;28;41;83
02.01.2019 21:00;12;33;41;91
02.01.2019 22:00;12;33;47;98
02.01.2019 23:00;12;26;40;80
03.01.2019 00:00;13;30;43;89
03.01.2019 01:00;10;14;26;47
03.01.2019 02:00;9;6;19;28
03.01.2019 03:00;9;7;14;24
03.01.2019 04:00;8;5;14;22
03.01.2019 05:00;8;9;19;33
03.01.2019 06:00;9;25;30;68
03.01.2019 07:00;10;42;44;108
03.01.2019 08:00;9;53;47;128
03.01.2019 09:00;10;53;51;132
03.01.2019 10:00;13;80;61;183
03.01.2019 11:00;15;71;64;173
03.01.2019 12:00;19;58;59;148
03.01.2019 13:00;10;65;58;158
03.01.2019 14:00;11;60;53;145
03.01.2019 15:00;12;70;60;168
03.01.2019 16:00;16;105;74;235
03.01.2019 17:00;19;123;80;268
03.01.2019 18:00;19;116;81;259
03.01.2019 19:00;16;98;78;227
03.01.2019 20:00;16;84;79;208
03.01.2019 21:00;17;101;85;239
03.01.2019 22:00;16;53;74;155
03.01.2019 23:00;15;55;72;157
04.01.2019 00:00;14;36;63;118
04.01.2019 01:00;13;25;53;91
04.01.2019 02:00;12;12;43;61
04.01.2019 03:00;11;10;35;50
04.01.2019 04:00;14;20;32;63
04.01.2019 05:00;17;25;34;72
04.01.2019 06:00;24;52;44;123
04.01.2019 07:00;29;65;45;144
04.01.2019 08:00;31;83;55;181
04.01.2019 09:00;28;83;53;180
04.01.2019 10:00;22;63;53;149
04.01.2019 11:00;19;66;53;155
04.01.2019 12:00;19;71;54;163
04.01.2019 13:00;15;56;47;133
04.01.2019 14:00;12;57;50;136
04.01.2019 15:00;13;76;58;174
04.01.2019 16:00;12;75;60;175
04.01.2019 17:00;9;63;52;147
04.01.2019 18:00;13;53;51;132
04.01.2019 19:00;14;41;44;106
04.01.2019 20:00;14;33;38;88
04.01.2019 21:00;12;30;37;82
04.01.2019 22:00;13;30;37;82
04.01.2019 23:00;14;26;29;69
05.01.2019 00:00;12;19;25;55
05.01.2019 01:00;9;9;17;31
05.01.2019 02:00;7;6;12;21
05.01.2019 03:00;7;9;14;28
05.01.2019 04:00;6;9;17;31
05.01.2019 05:00;5;6;11;20
05.01.2019 06:00;5;6;11;21
05.01.2019 07:00;5;9;16;30
05.01.2019 08:00;6;10;17;33
05.01.2019 09:00;9;10;22;38
05.01.2019 10:00;12;21;34;67
05.01.2019 11:00;12;33;38;88
05.01.2019 12:00;10;32;34;82
05.01.2019 13:00;16;44;51;119
05.01.2019 14:00;13;38;45;103
05.01.2019 15:00;12;34;43;94
05.01.2019 16:00;13;29;44;87
05.01.2019 17:00;13;34;50;102
05.01.2019 18:00;12;40;47;108
05.01.2019 19:00;15;32;45;94
05.01.2019 20:00;10;9;24;37
05.01.2019 21:00;11;15;30;53
05.01.2019 22:00;8;9;22;36
05.01.2019 23:00;8;12;29;47
06.01.2019 00:00;8;31;47;94
06.01.2019 01:00;8;22;37;71
06.01.2019 02:00;8;14;27;49
06.01.2019 03:00;10;7;17;28
06.01.2019 04:00;11;10;24;40
06.01.2019 05:00;11;7;22;34
06.01.2019 06:00;11;8;23;36
06.01.2019 07:00;11;9;24;38
06.01.2019 08:00;9;11;27;44
06.01.2019 09:00;9;16;31;55
06.01.2019 10:00;10;21;35;67
06.01.2019 11:00;8;29;37;81
06.01.2019 12:00;9;33;41;91
06.01.2019 13:00;10;46;47;118
06.01.2019 14:00;10;46;49;120
06.01.2019 15:00;10;40;45;107
06.01.2019 16:00;12;45;53;122
06.01.2019 17:00;13;57;62;150
06.01.2019 18:00;14;69;59;165
06.01.2019 19:00;16;76;62;177
06.01.2019 20:00;15;59;56;147
06.01.2019 21:00;16;62;57;152
06.01.2019 22:00;17;44;53;121
06.01.2019 23:00;18;36;44;100
07.01.2019 00:00;18;34;36;88
07.01.2019 01:00;18;30;35;80
07.01.2019 02:00;17;23;33;68
07.01.2019 03:00;18;22;30;64
07.01.2019 04:00;19;30;35;80
07.01.2019 05:00;18;34;37;88
07.01.2019 06:00;18;59;43;134
07.01.2019 07:00;19;102;54;209
07.01.2019 08:00;18;144;59;278
07.01.2019 09:00;17;153;56;290
07.01.2019 10:00;16;125;47;239
07.01.2019 11:00;21;158;53;295
07.01.2019 12:00;19;179;53;327
07.01.2019 13:00;18;181;56;333
07.01.2019 14:00;13;118;65;245
07.01.2019 15:00;14;85;64;194
07.01.2019 16:00;17;110;70;238
07.01.2019 17:00;17;112;73;245
07.01.2019 18:00;18;119;69;250
07.01.2019 19:00;14;66;49;150
07.01.2019 20:00;16;49;42;117
