Station;124 Mariendorfer Damm;124 Mariendorfer Damm;124 Mariendorfer Damm;124 Mariendorfer Damm
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2016 00:00;;41;35;98
01.01.2016 01:00;;110;36;204
01.01.2016 02:00;;65;40;139
01.01.2016 03:00;;64;38;136
01.01.2016 04:00;;66;38;139
01.01.2016 05:00;;53;33;113
01.01.2016 06:00;;47;31;102
01.01.2016 07:00;;60;34;125
01.01.2016 08:00;;55;33;117
01.01.2016 09:00;;40;28;88
01.01.2016 10:00;;27;23;64
01.01.2016 11:00;;38;22;81
01.01.2016 12:00;;46;24;94
01.01.2016 13:00;;44;32;99
01.01.2016 14:00;;54;37;120
01.01.2016 15:00;;72;43;153
01.01.2016 16:00;;73;47;159
01.01.2016 17:00;;65;44;143
01.01.2016 18:00;;88;51;186
01.01.2016 19:00;;66;44;145
01.01.2016 20:00;;31;37;84
01.01.2016 21:00;;31;37;84
01.01.2016 22:00;;22;33;67
01.01.2016 23:00;;15;26;50
02.01.2016 00:00;;8;30;42
02.01.2016 01:00;;5;22;30
02.01.2016 02:00;;6;24;33
02.01.2016 03:00;;4;20;27
02.01.2016 04:00;;3;18;23
02.01.2016 05:00;;2;13;16
02.01.2016 06:00;;3;14;18
02.01.2016 07:00;;5;16;23
02.01.2016 08:00;;7;17;28
02.01.2016 09:00;;6;17;27
02.01.2016 10:00;;7;19;30
02.01.2016 11:00;;7;16;27
02.01.2016 12:00;;5;16;24
02.01.2016 13:00;;5;15;22
02.01.2016 14:00;;5;13;21
02.01.2016 15:00;;4;13;18
02.01.2016 16:00;;4;12;19
02.01.2016 17:00;;3;12;17
02.01.2016 18:00;;4;13;19
02.01.2016 19:00;;4;11;18
02.01.2016 20:00;;3;11;16
02.01.2016 21:00;;3;12;17
02.01.2016 22:00;;2;12;14
02.01.2016 23:00;;2;11;13
03.01.2016 00:00;;2;11;13
03.01.2016 01:00;;1;11;13
03.01.2016 02:00;;2;8;11
03.01.2016 03:00;;1;8;10
03.01.2016 04:00;;2;8;10
03.01.2016 05:00;;2;10;13
03.01.2016 06:00;;2;10;13
03.01.2016 07:00;;2;11;14
03.01.2016 08:00;;2;12;16
03.01.2016 09:00;;2;12;16
03.01.2016 10:00;;4;10;16
03.01.2016 11:00;;5;11;18
03.01.2016 12:00;;6;12;20
03.01.2016 13:00;;6;11;20
03.01.2016 14:00;;6;12;22
03.01.2016 15:00;;5;12;19
03.01.2016 16:00;;4;14;20
03.01.2016 17:00;;5;19;27
03.01.2016 18:00;;5;17;24
03.01.2016 19:00;;4;13;19
03.01.2016 20:00;;3;13;18
03.01.2016 21:00;;3;14;19
03.01.2016 22:00;;3;18;23
03.01.2016 23:00;;3;21;25
04.01.2016 00:00;;3;22;26
04.01.2016 01:00;;2;21;24
04.01.2016 02:00;;2;21;23
04.01.2016 03:00;;1;22;24
04.01.2016 04:00;;2;22;25
04.01.2016 05:00;;2;20;23
04.01.2016 06:00;;4;24;30
04.01.2016 07:00;;5;22;30
04.01.2016 08:00;;10;27;43
04.01.2016 09:00;;12;28;46
04.01.2016 10:00;;10;23;38
04.01.2016 11:00;;14;22;43
04.01.2016 12:00;;13;22;43
04.01.2016 13:00;;13;23;43
04.01.2016 14:00;;16;28;53
04.01.2016 15:00;;17;30;56
04.01.2016 16:00;;14;30;51
04.01.2016 17:00;;11;30;47
04.01.2016 18:00;;13;35;55
04.01.2016 19:00;;8;31;43
04.01.2016 20:00;;6;30;39
04.01.2016 21:00;;5;28;35
04.01.2016 22:00;;5;29;37
04.01.2016 23:00;;5;28;36
05.01.2016 00:00;;3;27;32
05.01.2016 01:00;;5;31;39
05.01.2016 02:00;;2;29;33
05.01.2016 03:00;;3;28;32
05.01.2016 04:00;;3;26;31
05.01.2016 05:00;;7;28;39
05.01.2016 06:00;;18;30;57
05.01.2016 07:00;;28;33;76
05.01.2016 08:00;;36;35;91
05.01.2016 09:00;;35;34;88
05.01.2016 10:00;;31;31;79
05.01.2016 11:00;;69;40;145
05.01.2016 12:00;;37;31;86
05.01.2016 13:00;;30;29;74
05.01.2016 14:00;;35;33;87
05.01.2016 15:00;;34;35;88
05.01.2016 16:00;;42;39;103
05.01.2016 17:00;;33;39;90
05.01.2016 18:00;;31;39;87
05.01.2016 19:00;;27;38;79
05.01.2016 20:00;;16;33;57
05.01.2016 21:00;;15;32;54
05.01.2016 22:00;;14;31;52
05.01.2016 23:00;;13;32;51
06.01.2016 00:00;;12;32;50
06.01.2016 01:00;;10;31;46
06.01.2016 02:00;;9;32;45
06.01.2016 03:00;;9;32;45
06.01.2016 04:00;;9;30;44
06.01.2016 05:00;;14;33;55
06.01.2016 06:00;;19;33;63
06.01.2016 07:00;;39;40;99
06.01.2016 08:00;;51;41;118
06.01.2016 09:00;;52;40;119
06.01.2016 10:00;;45;35;103
06.01.2016 11:00;;46;34;105
06.01.2016 12:00;;39;33;93
06.01.2016 13:00;;40;35;96
06.01.2016 14:00;;43;38;104
06.01.2016 15:00;;81;44;168
06.01.2016 16:00;;44;43;110
06.01.2016 17:00;;65;49;148
06.01.2016 18:00;;33;43;93
06.01.2016 19:00;;27;40;81
06.01.2016 20:00;;23;38;73
06.01.2016 21:00;;27;37;78
06.01.2016 22:00;;16;35;60
06.01.2016 23:00;;17;34;60
07.01.2016 00:00;;11;31;48
07.01.2016 01:00;;8;30;42
07.01.2016 02:00;;8;29;41
07.01.2016 03:00;;9;28;42
07.01.2016 04:00;;11;28;45
07.01.2016 05:00;;11;28;44
07.01.2016 06:00;;27;31;72
07.01.2016 07:00;;25;30;69
07.01.2016 08:00;;25;31;70
07.01.2016 09:00;;32;33;82
07.01.2016 10:00;;20;25;56
07.01.2016 11:00;;20;23;53
07.01.2016 12:00;;18;21;49
07.01.2016 13:00;;27;27;68
07.01.2016 14:00;;19;25;54
07.01.2016 15:00;;22;26;60
07.01.2016 16:00;;15;29;52
07.01.2016 17:00;;12;29;47
07.01.2016 18:00;;14;33;55
07.01.2016 19:00;;13;33;52
07.01.2016 20:00;;10;31;47
07.01.2016 21:00;;5;32;40
07.01.2016 22:00;;5;32;41
07.01.2016 23:00;;4;32;39
08.01.2016 00:00;;3;27;31
08.01.2016 01:00;;2;28;31
08.01.2016 02:00;;3;30;35
08.01.2016 03:00;;6;32;41
08.01.2016 04:00;;16;34;59
08.01.2016 05:00;;42;43;107
08.01.2016 06:00;;36;41;95
