Station;143 Silbersteinstraﬂe;143 Silbersteinstraﬂe;143 Silbersteinstraﬂe;143 Silbersteinstraﬂe
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m≥;µg/m≥;µg/m≥;µg/m≥
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2020 00:00;104;11;39;56
01.01.2020 01:00;547;107;64;228
01.01.2020 02:00;202;23;46;81
01.01.2020 03:00;74;7;36;47
01.01.2020 04:00;54;6;31;39
01.01.2020 05:00;45;3;22;26
01.01.2020 06:00;32;2;18;20
01.01.2020 07:00;28;2;13;16
01.01.2020 08:00;28;2;13;15
01.01.2020 09:00;32;4;23;29
01.01.2020 10:00;36;4;27;34
01.01.2020 11:00;28;6;25;34
01.01.2020 12:00;25;6;22;31
01.01.2020 13:00;23;6;18;27
01.01.2020 14:00;26;7;20;30
01.01.2020 15:00;27;14;31;52
01.01.2020 16:00;28;25;45;83
01.01.2020 17:00;38;41;62;124
01.01.2020 18:00;43;46;67;138
01.01.2020 19:00;42;45;66;134
01.01.2020 20:00;37;50;63;139
01.01.2020 21:00;39;60;63;155
01.01.2020 22:00;39;35;52;106
01.01.2020 23:00;38;36;53;107
02.01.2020 00:00;37;36;48;103
02.01.2020 01:00;35;28;49;92
02.01.2020 02:00;34;27;46;88
02.01.2020 03:00;32;29;46;91
02.01.2020 04:00;30;28;41;83
02.01.2020 05:00;32;39;42;101
02.01.2020 06:00;35;40;41;101
02.01.2020 07:00;48;85;52;182
02.01.2020 08:00;37;107;56;219
02.01.2020 09:00;38;151;71;301
02.01.2020 10:00;34;102;54;210
02.01.2020 11:00;32;80;55;177
02.01.2020 12:00;51;86;56;187
02.01.2020 13:00;59;91;60;199
02.01.2020 14:00;66;84;59;188
02.01.2020 15:00;102;93;63;204
02.01.2020 16:00;143;146;84;308
02.01.2020 17:00;74;109;75;241
02.01.2020 18:00;69;91;69;209
02.01.2020 19:00;62;111;73;242
02.01.2020 20:00;52;90;69;207
02.01.2020 21:00;33;48;61;135
02.01.2020 22:00;29;37;55;112
02.01.2020 23:00;30;42;54;118
03.01.2020 00:00;31;29;43;88
03.01.2020 01:00;25;18;30;57
03.01.2020 02:00;21;16;29;53
03.01.2020 03:00;19;8;24;37
03.01.2020 04:00;19;11;25;42
03.01.2020 05:00;16;13;29;49
03.01.2020 06:00;13;28;34;77
03.01.2020 07:00;12;34;33;84
03.01.2020 08:00;13;34;33;85
03.01.2020 09:00;14;60;41;133
03.01.2020 10:00;13;45;41;110
03.01.2020 11:00;15;64;47;146
03.01.2020 12:00;16;53;41;122
03.01.2020 13:00;16;53;40;120
03.01.2020 14:00;16;61;44;137
03.01.2020 15:00;16;68;48;151
03.01.2020 16:00;17;60;53;145
03.01.2020 17:00;20;71;54;163
03.01.2020 18:00;19;51;44;122
03.01.2020 19:00;19;51;50;127
03.01.2020 20:00;18;34;41;93
03.01.2020 21:00;16;17;28;55
03.01.2020 22:00;14;12;24;41
03.01.2020 23:00;12;7;21;31
04.01.2020 00:00;7;2;10;13
04.01.2020 01:00;8;2;13;15
04.01.2020 02:00;11;2;9;12
04.01.2020 03:00;15;1;9;11
04.01.2020 04:00;17;1;9;10
04.01.2020 05:00;15;2;10;12
04.01.2020 06:00;16;4;13;19
04.01.2020 07:00;15;6;16;25
04.01.2020 08:00;15;4;15;21
04.01.2020 09:00;15;7;20;30
04.01.2020 10:00;15;11;23;39
04.01.2020 11:00;15;16;26;51
04.01.2020 12:00;15;36;35;90
04.01.2020 13:00;15;17;30;55
04.01.2020 14:00;14;14;23;44
04.01.2020 15:00;11;5;16;24
04.01.2020 16:00;7;4;24;31
04.01.2020 17:00;8;4;21;27
04.01.2020 18:00;10;4;24;31
04.01.2020 19:00;11;3;21;26
04.01.2020 20:00;14;3;27;31
04.01.2020 21:00;14;3;27;32
04.01.2020 22:00;14;3;29;33
04.01.2020 23:00;15;3;22;26
05.01.2020 00:00;18;2;18;21
05.01.2020 01:00;14;2;22;25
05.01.2020 02:00;13;2;13;16
05.01.2020 03:00;13;1;21;22
05.01.2020 04:00;14;1;23;25
05.01.2020 05:00;16;2;22;24
05.01.2020 06:00;15;2;25;28
05.01.2020 07:00;15;3;26;31
05.01.2020 08:00;15;5;32;39
05.01.2020 09:00;14;6;31;40
05.01.2020 10:00;16;21;43;76
05.01.2020 11:00;17;21;46;78
05.01.2020 12:00;17;13;34;54
05.01.2020 13:00;19;17;37;62
05.01.2020 14:00;18;20;42;73
05.01.2020 15:00;21;48;55;128
05.01.2020 16:00;20;59;57;147
05.01.2020 17:00;21;53;60;141
05.01.2020 18:00;20;50;63;140
05.01.2020 19:00;22;67;68;170
