Station;145 Frohnau;145 Frohnau;145 Frohnau;145 Frohnau
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2012 00:00;3;35;39;5
01.01.2012 01:00;7;33;43;7
01.01.2012 02:00;26;33;73;4
01.01.2012 03:00;13;35;55;3
01.01.2012 04:00;8;32;44;3
01.01.2012 05:00;1;26;28;6
01.01.2012 06:00;1;23;24;6
01.01.2012 07:00;1;22;24;5
01.01.2012 08:00;1;20;22;5
01.01.2012 09:00;4;24;29;3
01.01.2012 10:00;3;19;23;8
01.01.2012 11:00;3;16;20;10
01.01.2012 12:00;1;14;16;14
01.01.2012 13:00;1;11;12;22
01.01.2012 14:00;0;9;9;28
01.01.2012 15:00;0;8;8;33
01.01.2012 16:00;0;9;9;32
01.01.2012 17:00;0;13;14;28
01.01.2012 18:00;0;13;13;24
01.01.2012 19:00;1;17;19;19
01.01.2012 20:00;0;13;13;19
01.01.2012 21:00;0;14;14;21
01.01.2012 22:00;0;12;12;24
01.01.2012 23:00;0;9;9;30
02.01.2012 00:00;0;19;19;23
02.01.2012 01:00;0;19;19;21
02.01.2012 02:00;0;11;11;30
02.01.2012 03:00;0;10;10;32
02.01.2012 04:00;0;5;5;38
02.01.2012 05:00;0;5;5;41
02.01.2012 06:00;0;6;6;42
02.01.2012 07:00;0;7;7;43
02.01.2012 08:00;0;6;6;45
02.01.2012 09:00;0;9;9;51
02.01.2012 10:00;0;9;9;52
02.01.2012 11:00;0;10;11;49
02.01.2012 12:00;0;11;11;47
02.01.2012 13:00;0;9;9;53
02.01.2012 14:00;0;10;10;50
02.01.2012 15:00;0;10;10;51
02.01.2012 16:00;0;9;9;59
02.01.2012 17:00;0;8;8;61
02.01.2012 18:00;0;9;9;57
02.01.2012 19:00;0;9;9;52
02.01.2012 20:00;0;9;9;48
02.01.2012 21:00;0;7;7;47
02.01.2012 22:00;0;8;8;43
02.01.2012 23:00;0;13;13;30
03.01.2012 00:00;0;11;11;37
03.01.2012 01:00;0;7;7;48
