Station;145 Frohnau;145 Frohnau;145 Frohnau;145 Frohnau
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2017 00:00;0;16;17;28
01.01.2017 01:00;1;17;17;29
01.01.2017 02:00;1;19;20;30
01.01.2017 03:00;0;11;11;43
01.01.2017 04:00;0;9;9;46
01.01.2017 05:00;0;7;8;46
01.01.2017 06:00;0;8;8;46
01.01.2017 07:00;0;9;9;42
01.01.2017 08:00;0;9;10;44
01.01.2017 09:00;0;9;9;46
01.01.2017 10:00;1;8;9;50
01.01.2017 11:00;1;7;9;53
01.01.2017 12:00;1;8;9;53
01.01.2017 13:00;1;9;10;52
01.01.2017 14:00;1;11;12;48
01.01.2017 15:00;1;13;14;44
01.01.2017 16:00;0;15;15;41
01.01.2017 17:00;0;16;16;40
01.01.2017 18:00;1;16;17;37
01.01.2017 19:00;1;17;17;35
01.01.2017 20:00;0;18;18;31
01.01.2017 21:00;0;20;21;29
01.01.2017 22:00;1;24;25;24
01.01.2017 23:00;1;25;26;21
02.01.2017 00:00;1;18;19;32
02.01.2017 01:00;0;25;25;21
02.01.2017 02:00;0;28;29;13
02.01.2017 03:00;0;28;28;12
02.01.2017 04:00;0;25;26;12
02.01.2017 05:00;0;24;25;11
02.01.2017 06:00;0;24;25;10
02.01.2017 07:00;1;22;23;12
02.01.2017 08:00;1;20;21;14
02.01.2017 09:00;1;19;20;16
02.01.2017 10:00;1;14;15;20
02.01.2017 11:00;1;13;14;23
02.01.2017 12:00;1;10;11;30
02.01.2017 13:00;1;11;12;35
02.01.2017 14:00;1;9;10;46
02.01.2017 15:00;1;11;12;49
02.01.2017 16:00;0;11;12;50
02.01.2017 17:00;0;20;21;39
02.01.2017 18:00;1;29;30;25
02.01.2017 19:00;1;38;39;16
02.01.2017 20:00;2;35;38;14
02.01.2017 21:00;1;20;21;23
02.01.2017 22:00;0;16;16;24
02.01.2017 23:00;0;19;19;21
03.01.2017 00:00;0;14;15;27
03.01.2017 01:00;0;12;12;31
