Station;171 Mitte;171 Mitte;171 Mitte
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2014 00:00;9;38;52
01.01.2014 01:00;32;38;87
01.01.2014 02:00;25;39;78
01.01.2014 03:00;10;36;52
01.01.2014 04:00;5;33;42
01.01.2014 05:00;4;32;38
01.01.2014 06:00;6;33;42
01.01.2014 07:00;6;33;42
01.01.2014 08:00;6;33;41
01.01.2014 09:00;5;30;38
01.01.2014 10:00;4;24;31
01.01.2014 11:00;4;23;29
01.01.2014 12:00;4;22;28
01.01.2014 13:00;4;21;27
01.01.2014 14:00;5;22;30
01.01.2014 15:00;4;25;31
01.01.2014 16:00;3;26;30
01.01.2014 17:00;2;26;29
01.01.2014 18:00;3;28;32
01.01.2014 19:00;4;31;37
01.01.2014 20:00;11;35;52
01.01.2014 21:00;18;38;66
01.01.2014 22:00;17;38;64
01.01.2014 23:00;13;39;59
02.01.2014 00:00;9;37;51
02.01.2014 01:00;5;33;40
02.01.2014 02:00;2;29;32
02.01.2014 03:00;4;33;39
02.01.2014 04:00;4;30;35
02.01.2014 05:00;2;24;27
02.01.2014 06:00;2;27;30
02.01.2014 07:00;4;31;36
02.01.2014 08:00;3;30;34
02.01.2014 09:00;4;32;38
02.01.2014 10:00;4;31;37
02.01.2014 11:00;4;30;35
02.01.2014 12:00;5;25;33
02.01.2014 13:00;6;27;36
02.01.2014 14:00;7;33;43
02.01.2014 15:00;6;36;45
02.01.2014 16:00;7;42;53
02.01.2014 17:00;3;37;42
02.01.2014 18:00;2;37;41
02.01.2014 19:00;3;40;45
02.01.2014 20:00;2;37;41
02.01.2014 21:00;5;45;53
02.01.2014 22:00;2;39;42
02.01.2014 23:00;1;31;32
03.01.2014 00:00;2;32;35
03.01.2014 01:00;1;34;36
03.01.2014 02:00;4;41;46
03.01.2014 03:00;3;36;40
03.01.2014 04:00;3;35;39
03.01.2014 05:00;2;34;38
03.01.2014 06:00;2;37;40
03.01.2014 07:00;4;38;43
03.01.2014 08:00;4;37;44
03.01.2014 09:00;16;44;70
03.01.2014 10:00;14;38;60
03.01.2014 11:00;9;32;46
03.01.2014 12:00;10;29;45
03.01.2014 13:00;5;25;33
03.01.2014 14:00;2;19;23
03.01.2014 15:00;2;24;27
03.01.2014 16:00;2;33;36
03.01.2014 17:00;1;40;42
03.01.2014 18:00;1;34;35
03.01.2014 19:00;1;29;30
03.01.2014 20:00;1;30;31
03.01.2014 21:00;1;27;28
03.01.2014 22:00;1;28;29
03.01.2014 23:00;1;27;27
04.01.2014 00:00;0;22;22
04.01.2014 01:00;1;19;20
04.01.2014 02:00;1;13;14
04.01.2014 03:00;1;16;17
04.01.2014 04:00;1;15;16
04.01.2014 05:00;1;17;18
04.01.2014 06:00;1;21;23
04.01.2014 07:00;1;27;29
04.01.2014 08:00;1;27;29
04.01.2014 09:00;1;30;32
04.01.2014 10:00;3;33;38
04.01.2014 11:00;4;28;35
04.01.2014 12:00;6;29;38
04.01.2014 13:00;6;31;40
04.01.2014 14:00;6;35;44
04.01.2014 15:00;5;35;42
04.01.2014 16:00;4;36;42
