Station;171 Mitte;171 Mitte;171 Mitte;171 Mitte
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2019 00:00;95;19;22;51
01.01.2019 01:00;244;61;42;136
01.01.2019 02:00;64;9;28;42
01.01.2019 03:00;22;1;14;16
01.01.2019 04:00;16;1;12;13
01.01.2019 05:00;17;1;10;12
01.01.2019 06:00;17;0;12;12
01.01.2019 07:00;13;0;10;10
01.01.2019 08:00;15;1;10;11
01.01.2019 09:00;14;0;9;8
01.01.2019 10:00;11;0;10;10
01.01.2019 11:00;9;0;10;11
01.01.2019 12:00;9;1;11;12
01.01.2019 13:00;9;0;10;10
01.01.2019 14:00;13;0;9;9
01.01.2019 15:00;12;0;13;13
01.01.2019 16:00;8;0;11;11
01.01.2019 17:00;9;0;18;18
01.01.2019 18:00;8;0;12;12
01.01.2019 19:00;10;0;12;12
01.01.2019 20:00;9;0;9;8
01.01.2019 21:00;11;0;8;8
01.01.2019 22:00;12;0;7;7
01.01.2019 23:00;13;0;7;6
02.01.2019 00:00;14;0;6;6
02.01.2019 01:00;13;0;6;6
02.01.2019 02:00;14;0;7;7
02.01.2019 03:00;14;0;7;7
02.01.2019 04:00;12;0;7;7
02.01.2019 05:00;10;0;8;7
02.01.2019 06:00;8;0;9;9
02.01.2019 07:00;9;0;12;12
02.01.2019 08:00;11;3;16;20
02.01.2019 09:00;10;1;15;16
02.01.2019 10:00;9;1;13;15
02.01.2019 11:00;9;2;16;18
02.01.2019 12:00;6;2;18;22
02.01.2019 13:00;6;2;16;20
02.01.2019 14:00;6;1;12;15
02.01.2019 15:00;6;2;16;19
02.01.2019 16:00;10;1;17;18
02.01.2019 17:00;8;1;21;23
02.01.2019 18:00;7;1;18;19
02.01.2019 19:00;7;1;15;17
02.01.2019 20:00;8;1;21;22
02.01.2019 21:00;9;0;20;20
02.01.2019 22:00;9;0;19;19
02.01.2019 23:00;8;1;35;37
03.01.2019 00:00;8;1;27;28
03.01.2019 01:00;8;1;23;24
03.01.2019 02:00;8;1;19;20
03.01.2019 03:00;8;1;21;22
03.01.2019 04:00;7;1;20;22
03.01.2019 05:00;7;1;19;20
03.01.2019 06:00;8;1;18;19
03.01.2019 07:00;7;2;26;29
03.01.2019 08:00;7;2;30;33
03.01.2019 09:00;8;2;27;30
03.01.2019 10:00;8;4;30;36
03.01.2019 11:00;10;3;27;32
03.01.2019 12:00;14;4;29;36
03.01.2019 13:00;9;6;32;41
03.01.2019 14:00;8;6;32;41
03.01.2019 15:00;8;4;27;32
03.01.2019 16:00;9;7;40;50
03.01.2019 17:00;10;9;59;73
03.01.2019 18:00;11;9;58;72
03.01.2019 19:00;11;4;52;59
03.01.2019 20:00;10;4;43;49
03.01.2019 21:00;11;3;36;41
03.01.2019 22:00;12;3;40;45
03.01.2019 23:00;10;3;35;39
04.01.2019 00:00;11;1;39;41
04.01.2019 01:00;11;1;39;41
04.01.2019 02:00;8;0;29;30
04.01.2019 03:00;10;1;33;34
04.01.2019 04:00;14;1;27;28
04.01.2019 05:00;17;1;26;28
04.01.2019 06:00;20;2;25;27
04.01.2019 07:00;23;12;29;48
04.01.2019 08:00;24;5;34;42
04.01.2019 09:00;24;5;33;40
04.01.2019 10:00;21;8;33;46
04.01.2019 11:00;17;4;25;31
04.01.2019 12:00;15;4;25;30
04.01.2019 13:00;13;3;24;28
04.01.2019 14:00;11;3;28;33
04.01.2019 15:00;10;5;37;45
04.01.2019 16:00;8;6;39;48
04.01.2019 17:00;8;2;30;33
04.01.2019 18:00;10;1;24;25
04.01.2019 19:00;11;1;21;23
04.01.2019 20:00;11;1;20;22
04.01.2019 21:00;11;1;18;19
04.01.2019 22:00;11;1;25;27
04.01.2019 23:00;12;1;27;28
05.01.2019 00:00;12;1;24;25
05.01.2019 01:00;9;1;15;17
05.01.2019 02:00;6;1;17;18
05.01.2019 03:00;6;1;21;22
05.01.2019 04:00;5;1;20;21
05.01.2019 05:00;4;0;12;12
05.01.2019 06:00;4;0;10;10
05.01.2019 07:00;4;0;12;12
05.01.2019 08:00;6;0;14;14
05.01.2019 09:00;9;1;13;15
05.01.2019 10:00;10;4;17;24
05.01.2019 11:00;10;3;18;23
05.01.2019 12:00;9;2;14;16
05.01.2019 13:00;9;2;16;18
05.01.2019 14:00;9;2;18;21
05.01.2019 15:00;9;2;20;22
05.01.2019 16:00;8;1;18;19
05.01.2019 17:00;9;2;22;25
05.01.2019 18:00;8;2;22;24
05.01.2019 19:00;8;2;20;23
05.01.2019 20:00;6;1;13;14
05.01.2019 21:00;7;1;14;15
05.01.2019 22:00;7;0;14;14
05.01.2019 23:00;7;1;20;22
06.01.2019 00:00;7;1;18;19
06.01.2019 01:00;7;1;19;21
06.01.2019 02:00;8;1;15;16
06.01.2019 03:00;9;1;9;10
06.01.2019 04:00;10;2;17;19
06.01.2019 05:00;10;1;14;16
06.01.2019 06:00;9;1;14;15
06.01.2019 07:00;9;1;14;15
06.01.2019 08:00;8;1;16;18
06.01.2019 09:00;8;1;14;16
06.01.2019 10:00;8;4;20;26
06.01.2019 11:00;7;4;19;26
06.01.2019 12:00;6;2;12;14
06.01.2019 13:00;6;2;13;16
06.01.2019 14:00;6;2;14;16
06.01.2019 15:00;7;2;17;19
06.01.2019 16:00;8;1;17;19
06.01.2019 17:00;9;2;25;28
06.01.2019 18:00;9;2;29;33
06.01.2019 19:00;11;1;28;30
06.01.2019 20:00;13;2;30;34
06.01.2019 21:00;14;3;30;34
06.01.2019 22:00;14;2;29;32
06.01.2019 23:00;16;6;40;50
07.01.2019 00:00;17;12;41;60
07.01.2019 01:00;18;13;40;61
07.01.2019 02:00;18;16;39;64
07.01.2019 03:00;17;18;33;62
07.01.2019 04:00;15;5;34;42
07.01.2019 05:00;11;1;22;23
07.01.2019 06:00;12;1;24;25
07.01.2019 07:00;16;5;40;48
07.01.2019 08:00;16;14;42;63
07.01.2019 09:00;16;32;41;90
07.01.2019 10:00;14;39;38;98
07.01.2019 11:00;17;39;34;94
07.01.2019 12:00;15;38;33;92
07.01.2019 13:00;16;50;40;117
07.01.2019 14:00;12;39;42;102
07.01.2019 15:00;11;4;33;39
07.01.2019 16:00;12;4;35;42
07.01.2019 17:00;13;4;32;38
07.01.2019 18:00;13;2;34;37
07.01.2019 19:00;12;2;34;36
07.01.2019 20:00;12;1;31;33
07.01.2019 21:00;12;1;24;26
07.01.2019 22:00;12;2;21;24
