Station;171 Mitte;171 Mitte;171 Mitte;171 Mitte
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2017 00:00;49;2;34;38
01.01.2017 01:00;255;46;51;121
01.01.2017 02:00;136;26;52;92
01.01.2017 03:00;42;3;34;39
01.01.2017 04:00;28;1;30;32
01.01.2017 05:00;23;1;29;30
01.01.2017 06:00;23;1;28;29
01.01.2017 07:00;27;1;28;29
01.01.2017 08:00;30;1;29;31
01.01.2017 09:00;28;1;27;29
01.01.2017 10:00;26;2;27;30
01.01.2017 11:00;25;5;27;35
01.01.2017 12:00;21;3;25;30
01.01.2017 13:00;19;3;27;32
01.01.2017 14:00;19;3;31;35
01.01.2017 15:00;19;4;36;42
01.01.2017 16:00;19;2;39;42
01.01.2017 17:00;20;1;40;42
01.01.2017 18:00;22;2;41;44
01.01.2017 19:00;24;2;43;47
01.01.2017 20:00;24;3;46;50
01.01.2017 21:00;25;3;45;50
01.01.2017 22:00;25;3;44;48
01.01.2017 23:00;23;3;40;45
02.01.2017 00:00;24;3;31;35
02.01.2017 01:00;26;3;33;38
02.01.2017 02:00;29;3;34;38
02.01.2017 03:00;29;3;34;40
02.01.2017 04:00;28;3;32;36
02.01.2017 05:00;29;3;30;34
02.01.2017 06:00;24;5;30;38
02.01.2017 07:00;25;8;33;45
02.01.2017 08:00;23;14;34;55
02.01.2017 09:00;22;10;35;49
02.01.2017 10:00;20;11;36;52
02.01.2017 11:00;18;9;30;43
02.01.2017 12:00;17;7;24;35
02.01.2017 13:00;16;6;25;35
02.01.2017 14:00;13;5;26;34
02.01.2017 15:00;9;5;30;38
02.01.2017 16:00;6;3;32;37
02.01.2017 17:00;6;7;40;51
02.01.2017 18:00;6;3;44;48
02.01.2017 19:00;7;4;43;49
02.01.2017 20:00;9;3;36;41
02.01.2017 21:00;9;4;38;44
02.01.2017 22:00;11;3;35;39
02.01.2017 23:00;12;2;28;31
03.01.2017 00:00;16;2;25;28
03.01.2017 01:00;17;1;22;24
03.01.2017 02:00;16;2;21;23
03.01.2017 03:00;13;1;13;15
03.01.2017 04:00;12;1;14;15
03.01.2017 05:00;11;1;11;13
03.01.2017 06:00;8;1;11;13
03.01.2017 07:00;8;2;21;24
03.01.2017 08:00;8;3;23;28
03.01.2017 09:00;8;4;26;32
03.01.2017 10:00;7;6;26;35
03.01.2017 11:00;10;3;22;26
03.01.2017 12:00;13;3;23;28
03.01.2017 13:00;15;4;25;31
03.01.2017 14:00;14;3;26;30
03.01.2017 15:00;11;3;29;34
03.01.2017 16:00;10;3;29;34
03.01.2017 17:00;10;2;27;31
03.01.2017 18:00;13;2;26;29
03.01.2017 19:00;13;1;24;26
03.01.2017 20:00;16;1;23;26
03.01.2017 21:00;15;1;24;26
03.01.2017 22:00;14;1;24;25
03.01.2017 23:00;15;1;24;26
04.01.2017 00:00;14;1;22;23
04.01.2017 01:00;14;1;20;22
04.01.2017 02:00;12;1;18;19
04.01.2017 03:00;7;1;11;12
04.01.2017 04:00;4;0;9;9
04.01.2017 05:00;5;0;9;10
04.01.2017 06:00;8;0;10;11
04.01.2017 07:00;10;1;14;15
04.01.2017 08:00;10;2;19;22
04.01.2017 09:00;9;2;18;22
04.01.2017 10:00;8;2;15;18
04.01.2017 11:00;8;3;16;20
04.01.2017 12:00;10;4;26;31
04.01.2017 13:00;8;3;23;28
04.01.2017 14:00;6;3;20;24
04.01.2017 15:00;6;3;27;32
04.01.2017 16:00;6;3;32;37
04.01.2017 17:00;6;3;28;32
04.01.2017 18:00;7;2;21;24
04.01.2017 19:00;5;2;20;23
04.01.2017 20:00;5;1;19;21
04.01.2017 21:00;5;1;19;20
04.01.2017 22:00;6;1;16;17
04.01.2017 23:00;12;1;17;19
05.01.2017 00:00;6;0;16;16
05.01.2017 01:00;10;0;12;13
05.01.2017 02:00;5;1;10;12
05.01.2017 03:00;5;1;9;10
05.01.2017 04:00;5;1;8;9
05.01.2017 05:00;5;1;9;10
05.01.2017 06:00;5;1;11;12
05.01.2017 07:00;5;2;18;21
05.01.2017 08:00;7;5;27;35
05.01.2017 09:00;6;9;37;51
05.01.2017 10:00;6;7;31;41
05.01.2017 11:00;9;16;28;52
05.01.2017 12:00;6;9;22;36
05.01.2017 13:00;6;6;20;29
05.01.2017 14:00;5;2;12;16
05.01.2017 15:00;6;2;13;16
05.01.2017 16:00;23;2;17;21
05.01.2017 17:00;6;4;28;34
05.01.2017 18:00;7;3;26;30
05.01.2017 19:00;7;3;24;29
05.01.2017 20:00;7;2;21;24
05.01.2017 21:00;8;2;21;24
05.01.2017 22:00;8;2;18;20
05.01.2017 23:00;7;1;20;22
06.01.2017 00:00;7;1;15;17
06.01.2017 01:00;6;1;16;17
06.01.2017 02:00;6;1;16;18
06.01.2017 03:00;6;1;16;18
06.01.2017 04:00;5;1;17;20
06.01.2017 05:00;5;1;13;14
06.01.2017 06:00;5;1;17;19
06.01.2017 07:00;6;4;28;34
06.01.2017 08:00;8;7;47;58
06.01.2017 09:00;10;11;59;75
06.01.2017 10:00;10;19;55;84
06.01.2017 11:00;9;15;46;68
06.01.2017 12:00;10;12;40;58
06.01.2017 13:00;10;10;35;50
06.01.2017 14:00;10;11;35;51
06.01.2017 15:00;11;9;36;50
06.01.2017 16:00;10;8;38;51
06.01.2017 17:00;11;4;37;43
06.01.2017 18:00;10;3;34;39
06.01.2017 19:00;11;3;43;48
06.01.2017 20:00;11;7;52;62
06.01.2017 21:00;12;3;46;52
06.01.2017 22:00;15;14;69;90
06.01.2017 23:00;13;9;65;78
07.01.2017 00:00;17;13;72;92
07.01.2017 01:00;20;21;70;101
07.01.2017 02:00;17;3;53;57
07.01.2017 03:00;14;1;42;43
07.01.2017 04:00;13;1;30;31
07.01.2017 05:00;13;1;26;27
07.01.2017 06:00;14;1;28;29
07.01.2017 07:00;16;1;28;29
07.01.2017 08:00;17;1;27;28
07.01.2017 09:00;18;1;30;31
07.01.2017 10:00;18;2;27;30
07.01.2017 11:00;20;3;26;30
07.01.2017 12:00;19;3;25;30
07.01.2017 13:00;17;3;26;30
07.01.2017 14:00;17;3;25;29
07.01.2017 15:00;18;2;27;30
07.01.2017 16:00;17;1;26;29
07.01.2017 17:00;17;1;29;30
07.01.2017 18:00;16;1;30;32
07.01.2017 19:00;16;1;29;30
07.01.2017 20:00;18;1;33;35
07.01.2017 21:00;21;1;35;37
07.01.2017 22:00;26;1;35;37
