Station;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Kohlenmonoxid;Schwefeldioxid;Benzol;Toluol
Einheit;µg/m³;µg/m³;µg/m³;mg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2013 00:00;17;34;60;0.4;15;1.7;3.4
01.01.2013 01:00;205;58;371;0.8;85;6.9;3.3
01.01.2013 02:00;36;55;111;0.8;21;;3.5
01.01.2013 03:00;26;41;81;0.4;11;;3.7
01.01.2013 04:00;10;23;38;0.3;5;1.1;3.4
01.01.2013 05:00;6;21;31;0.3;3;1.1;1.9
01.01.2013 06:00;8;25;37;0.3;6;1.0;1.8
01.01.2013 07:00;5;21;29;0.3;5;1.1;2.1
01.01.2013 08:00;4;17;22;0.3;3;0.9;1.6
01.01.2013 09:00;3;16;20;0.3;3;0.9;1.7
01.01.2013 10:00;3;16;20;0.3;2;0.8;1.6
01.01.2013 11:00;4;18;23;0.4;3;1.2;2.2
01.01.2013 12:00;5;20;27;0.4;3;1.8;2.5
01.01.2013 13:00;3;16;21;0.3;2;1.4;3.3
01.01.2013 14:00;4;17;22;0.3;2;1.1;1.9
01.01.2013 15:00;3;19;23;0.3;1;1.2;2.3
01.01.2013 16:00;7;23;34;0.4;2;1.2;2.5
01.01.2013 17:00;6;21;30;0.3;1;1.1;1.9
01.01.2013 18:00;4;22;29;0.4;1;1.3;2.9
01.01.2013 19:00;3;21;26;0.4;1;1.4;2.4
01.01.2013 20:00;6;24;32;0.4;1;1.5;2.8
01.01.2013 21:00;4;23;28;0.4;1;1.3;2.6
01.01.2013 22:00;11;30;47;0.4;1;1.3;2.3
01.01.2013 23:00;5;20;28;0.3;1;1.4;3.5
02.01.2013 00:00;4;20;27;0.3;2;1.0;3.1
02.01.2013 01:00;8;27;39;0.3;1;0.8;1.4
02.01.2013 02:00;5;23;30;0.2;0;0.8;2.0
02.01.2013 03:00;8;25;37;0.2;1;;1.1
02.01.2013 04:00;3;15;20;0.2;2;;1.1
02.01.2013 05:00;3;16;20;0.3;2;0.7;1.0
02.01.2013 06:00;5;19;27;0.3;1;0.6;1.1
02.01.2013 07:00;7;26;36;0.3;1;0.8;2.0
02.01.2013 08:00;14;31;53;0.3;2;0.9;2.3
02.01.2013 09:00;13;32;51;0.3;2;0.9;1.9
02.01.2013 10:00;16;38;62;0.4;2;1.3;3.3
02.01.2013 11:00;24;41;78;0.4;2;1.5;3.8
