Station;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Kohlenmonoxid;Schwefeldioxid;Benzol;Toluol
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;mg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2016 00:00;;39;40;100;0.6;20;3.2;3.1
01.01.2016 01:00;;264;41;427;1.1;;14.1;4.1
01.01.2016 02:00;;74;35;147;0.8;;5.1;4.2
01.01.2016 03:00;;72;37;147;0.7;;4.3;3.8
01.01.2016 04:00;;29;29;74;0.5;;2.7;2.9
01.01.2016 05:00;;27;29;70;0.5;;2.2;3.2
01.01.2016 06:00;;37;30;87;0.5;;2.2;2.8
01.01.2016 07:00;;39;31;90;0.6;;2.2;3.2
01.01.2016 08:00;;35;29;83;0.5;;2.0;2.8
01.01.2016 09:00;;32;30;79;0.4;;1.8;2.5
01.01.2016 10:00;;32;28;76;0.5;;2.1;3.0
01.01.2016 11:00;;33;28;79;0.4;;1.9;2.9
01.01.2016 12:00;;28;30;74;0.8;;2.1;3.4
01.01.2016 13:00;;24;25;61;0.5;;2.0;2.8
01.01.2016 14:00;;26;30;71;0.5;;2.0;3.2
01.01.2016 15:00;;33;37;88;0.5;;2.2;3.5
01.01.2016 16:00;;40;45;107;0.5;;1.8;3.8
01.01.2016 17:00;;31;47;95;0.5;;2.2;4.0
01.01.2016 18:00;;26;43;83;0.7;;2.3;4.5
01.01.2016 19:00;;27;44;85;0.6;;2.0;3.7
01.01.2016 20:00;;42;47;112;0.6;;2.0;3.4
01.01.2016 21:00;;28;46;88;0.5;;1.8;3.5
01.01.2016 22:00;;33;44;94;0.5;;1.5;2.6
01.01.2016 23:00;;25;39;76;0.5;;1.5;2.7
02.01.2016 00:00;;10;25;41;0.4;;1.4;3.3
02.01.2016 01:00;;7;19;30;0.3;;1.2;1.5
02.01.2016 02:00;;6;23;32;0.3;;1.1;1.1
02.01.2016 03:00;;4;20;26;0.3;;1.0;1.3
02.01.2016 04:00;;5;17;25;0.3;;1.1;1.0
02.01.2016 05:00;;7;17;27;0.4;;1.6;1.1
02.01.2016 06:00;;19;22;50;0.7;;4.3;1.6
02.01.2016 07:00;;16;20;45;0.8;;5.7;3.6
02.01.2016 08:00;;11;18;35;0.7;;5.3;3.0
02.01.2016 09:00;;8;17;30;0.6;;4.7;2.8
02.01.2016 10:00;;11;18;35;0.6;;4.3;2.4
02.01.2016 11:00;;14;19;40;0.6;;4.2;2.5
02.01.2016 12:00;;24;26;63;0.6;;3.9;3.1
02.01.2016 13:00;;27;31;72;0.6;;2.9;2.7
02.01.2016 14:00;;19;25;54;0.5;;2.8;2.8
02.01.2016 15:00;;18;25;52;0.4;;2.3;4.8
02.01.2016 16:00;;16;23;47;0.4;;2.2;2.1
02.01.2016 17:00;;17;27;53;0.4;;2.4;2.1
02.01.2016 18:00;;21;28;60;0.5;;2.5;2.1
02.01.2016 19:00;;26;29;69;0.4;;2.5;2.4
02.01.2016 20:00;;18;24;52;0.4;;2.3;2.0
02.01.2016 21:00;;16;22;46;0.4;;2.3;2.2
02.01.2016 22:00;;14;19;40;0.4;;2.3;1.9
02.01.2016 23:00;;13;19;38;0.4;;2.3;2.0
03.01.2016 00:00;;14;19;39;0.4;;2.4;2.0
03.01.2016 01:00;;12;16;35;0.4;;2.4;1.7
03.01.2016 02:00;;8;12;24;0.4;;2.4;1.3
03.01.2016 03:00;;8;12;24;0.4;;2.5;1.6
03.01.2016 04:00;;7;12;22;0.4;;2.3;1.4
03.01.2016 05:00;;7;12;23;0.4;;2.5;1.6
03.01.2016 06:00;;7;13;23;0.4;;2.7;1.4
03.01.2016 07:00;;8;14;26;0.4;;2.5;1.6
03.01.2016 08:00;;8;14;26;0.4;;2.5;1.8
03.01.2016 09:00;;8;13;26;0.4;;2.8;1.6
03.01.2016 10:00;;13;17;37;0.4;;2.8;2.1
03.01.2016 11:00;;15;17;39;0.5;;2.8;2.9
03.01.2016 12:00;;19;20;49;0.5;;2.9;2.0
03.01.2016 13:00;;23;24;59;0.6;;2.8;3.1
03.01.2016 14:00;;27;27;68;0.6;;3.1;3.0
03.01.2016 15:00;;27;29;70;0.6;;3.3;3.6
03.01.2016 16:00;;23;31;66;0.6;;3.1;3.3
03.01.2016 17:00;;31;34;81;0.6;;3.2;3.1
03.01.2016 18:00;;35;32;85;0.6;;3.5;4.4
03.01.2016 19:00;;30;30;75;0.6;;3.4;3.2
03.01.2016 20:00;;22;25;60;0.6;;3.6;3.6
03.01.2016 21:00;;17;25;51;0.6;;3.4;3.0
03.01.2016 22:00;;13;22;42;0.6;;3.3;2.7
03.01.2016 23:00;;12;22;41;0.6;;3.8;2.9
04.01.2016 00:00;;10;20;36;0.5;;3.8;2.2
04.01.2016 01:00;;9;20;34;0.5;;4.2;2.4
04.01.2016 02:00;;9;20;33;0.5;;3.9;2.5
04.01.2016 03:00;;8;21;34;0.6;;4.1;2.3
04.01.2016 04:00;;9;22;35;0.6;;4.0;2.1
04.01.2016 05:00;;10;24;38;0.5;;4.3;2.2
04.01.2016 06:00;;24;31;68;0.7;;4.5;3.5
04.01.2016 07:00;;40;38;99;0.7;;4.3;3.1
04.01.2016 08:00;;40;37;98;0.6;;4.2;3.5
04.01.2016 09:00;;47;36;107;0.7;;4.3;3.4
04.01.2016 10:00;;55;38;122;0.7;;4.2;4.5
