Station;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon;Kohlenmonoxid;Schwefeldioxid;Benzol;Toluol
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;mg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
02.01.2018 10:00;11;21;41;74;;0.3;3;0.8;1.3
02.01.2018 11:00;13;31;43;90;;0.3;3;0.8;1.2
02.01.2018 12:00;20;72;61;170;;0.5;3;1.0;1.8
02.01.2018 13:00;20;70;59;165;;0.4;3;1.1;2.5
02.01.2018 14:00;21;81;61;185;;0.5;4;1.2;2.2
02.01.2018 15:00;19;75;67;182;;0.5;4;1.6;3.4
02.01.2018 16:00;17;75;71;185;;0.5;4;1.3;2.8
02.01.2018 17:00;17;64;70;168;;0.5;3;1.4;2.5
02.01.2018 18:00;19;46;61;130;;0.5;3;1.5;2.8
02.01.2018 19:00;18;33;58;108;;0.5;3;1.4;2.8
02.01.2018 20:00;18;20;49;80;;0.4;3;1.2;2.1
02.01.2018 21:00;19;20;37;69;;0.4;3;1.1;2.1
02.01.2018 22:00;18;10;35;50;;0.4;3;0.9;1.8
02.01.2018 23:00;17;11;33;49;;0.3;3;0.9;1.1
03.01.2018 00:00;18;7;23;34;;0.3;3;0.8;0.9
03.01.2018 01:00;18;7;25;37;;0.3;5;0.7;0.9
03.01.2018 02:00;15;9;23;37;;0.2;3;0.7;1.3
03.01.2018 03:00;13;5;14;22;;0.2;3;1.1;1.1
03.01.2018 04:00;14;6;15;23;;0.2;3;0.7;0.6
03.01.2018 05:00;14;9;20;34;;0.2;4;0.6;0.5
03.01.2018 06:00;12;13;24;43;;0.2;4;0.9;0.8
03.01.2018 07:00;11;23;33;68;;0.3;4;0.7;1.5
03.01.2018 08:00;13;36;42;98;;0.4;4;1.1;1.4
03.01.2018 09:00;12;36;41;96;;0.3;4;0.7;2.5
03.01.2018 10:00;;40;38;100;;0.3;4;1.1;1.8
03.01.2018 11:00;9;32;35;84;;0.3;3;1.0;2.1
03.01.2018 12:00;11;43;46;111;;0.3;3;1.0;1.3
03.01.2018 13:00;16;36;42;97;;0.4;4;1.8;2.4
03.01.2018 14:00;9;42;48;111;;0.4;3;1.2;2.6
03.01.2018 15:00;8;32;43;92;;0.3;3;0.9;1.7
03.01.2018 16:00;11;28;46;90;;0.4;3;0.9;2.5
03.01.2018 17:00;12;13;31;51;;0.3;3;0.9;1.7
03.01.2018 18:00;10;14;26;48;;0.3;3;1.3;1.3
03.01.2018 19:00;8;12;26;44;;0.3;3;0.7;1.3
03.01.2018 20:00;8;7;20;31;;0.3;3;0.7;0.9
03.01.2018 21:00;7;7;17;28;;0.2;3;0.6;1.3
03.01.2018 22:00;7;5;14;21;;0.2;3;0.6;0.9
03.01.2018 23:00;7;5;12;19;;0.2;3;0.7;0.7
04.01.2018 00:00;7;4;9;15;;0.2;3;0.5;0.8
04.01.2018 01:00;6;4;10;16;;0.2;3;0.4;0.7
