Station;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Kohlenmonoxid;Schwefeldioxid;Benzol;Toluol
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;mg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2017 00:00;121;17;39;65;0.4;;3.0;1.6
01.01.2017 01:00;699;173;54;309;0.8;699;9.3;1.7
01.01.2017 02:00;180;18;42;70;0.5;49;3.2;1.6
01.01.2017 03:00;64;10;29;44;0.3;12;1.6;1.4
01.01.2017 04:00;47;9;30;44;0.4;8;1.9;2.2
01.01.2017 05:00;36;10;31;46;0.3;5;1.3;3.5
01.01.2017 06:00;34;12;31;50;0.3;4;1.1;1.0
01.01.2017 07:00;38;9;29;43;0.3;4;1.0;1.5
01.01.2017 08:00;40;6;28;38;0.3;3;2.0;0.9
01.01.2017 09:00;40;9;28;42;0.4;3;1.3;1.4
01.01.2017 10:00;36;8;28;40;0.3;2;1.1;1.1
01.01.2017 11:00;36;14;29;50;0.3;3;1.3;1.6
01.01.2017 12:00;41;20;31;61;0.5;3;1.2;1.3
01.01.2017 13:00;31;9;30;43;0.3;3;1.3;1.7
01.01.2017 14:00;36;12;37;55;0.4;3;1.2;2.2
01.01.2017 15:00;36;11;39;55;0.4;3;1.2;1.7
01.01.2017 16:00;34;11;42;59;0.4;3;1.3;1.5
01.01.2017 17:00;36;11;43;60;0.5;2;1.2;1.5
01.01.2017 18:00;40;16;43;67;0.5;3;1.5;2.0
01.01.2017 19:00;40;12;44;62;0.5;2;1.7;1.6
01.01.2017 20:00;40;15;45;68;0.5;2;1.6;1.9
01.01.2017 21:00;38;12;44;63;0.5;2;1.7;2.4
01.01.2017 22:00;42;11;45;62;0.4;2;1.4;1.3
01.01.2017 23:00;38;19;49;78;0.4;2;1.4;1.7
02.01.2017 00:00;31;15;38;62;0.4;2;1.1;1.4
02.01.2017 01:00;36;15;40;62;0.4;2;2.6;1.2
02.01.2017 02:00;38;14;40;61;0.4;2;1.5;1.0
02.01.2017 03:00;39;18;41;68;0.4;2;1.4;1.2
02.01.2017 04:00;37;14;37;58;0.4;2;1.2;1.2
02.01.2017 05:00;37;18;36;62;0.4;2;1.5;1.3
02.01.2017 06:00;39;43;45;111;0.5;0;1.2;1.1
02.01.2017 07:00;35;74;52;166;0.5;0;1.5;2.1
02.01.2017 08:00;32;88;53;187;0.5;0;1.7;1.9
02.01.2017 09:00;34;119;61;243;0.7;0;2.0;2.3
02.01.2017 10:00;29;77;50;167;0.5;0;1.4;2.8
02.01.2017 11:00;26;64;46;144;0.5;0;1.5;2.1
02.01.2017 12:00;27;76;52;168;0.5;0;1.1;1.5
02.01.2017 13:00;26;58;49;137;0.4;0;1.4;1.8
02.01.2017 14:00;20;41;47;109;0.4;0;1.3;2.1
02.01.2017 15:00;13;16;36;61;0.3;0;1.3;1.7
02.01.2017 16:00;12;30;52;98;0.4;0;1.0;1.8
02.01.2017 17:00;13;54;72;155;0.5;0;1.2;2.1
02.01.2017 18:00;13;60;76;167;0.5;0;1.6;2.6
02.01.2017 19:00;14;70;77;184;0.6;0;1.8;2.9
02.01.2017 20:00;16;47;59;130;0.4;0;1.2;2.6
02.01.2017 21:00;15;64;65;164;0.5;0;1.4;2.0
02.01.2017 22:00;16;43;59;125;0.4;0;1.2;2.7
02.01.2017 23:00;18;18;39;66;0.4;0;0.9;1.9
03.01.2017 00:00;22;13;29;49;0.3;0;1.0;2.9
03.01.2017 01:00;23;8;26;39;0.3;0;0.9;2.0
03.01.2017 02:00;24;7;27;38;0.3;0;0.6;1.0
03.01.2017 03:00;21;13;27;47;0.2;0;1.1;0.8
03.01.2017 04:00;19;11;24;42;0.2;0;0.9;0.4
03.01.2017 05:00;18;13;24;44;0.2;0;0.5;0.7
03.01.2017 06:00;17;28;40;83;0.3;0;0.3;0.5
03.01.2017 07:00;17;70;66;173;0.4;0;1.0;1.2
03.01.2017 08:00;16;74;64;178;0.4;0;0.8;2.2
03.01.2017 09:00;15;75;63;177;0.4;0;1.1;1.5
03.01.2017 10:00;14;67;63;165;0.4;0;0.8;2.1
03.01.2017 11:00;18;62;61;155;0.4;0;1.0;2.1
03.01.2017 12:00;20;51;52;130;0.4;0;0.9;2.1
03.01.2017 13:00;22;46;48;119;0.4;0;0.9;1.9
03.01.2017 14:00;22;36;43;97;0.4;0;1.0;2.6
03.01.2017 15:00;19;40;47;109;0.4;0;1.5;2.2
03.01.2017 16:00;16;48;52;126;0.4;0;1.1;2.7
03.01.2017 17:00;17;48;48;121;0.4;0;1.2;2.0
03.01.2017 18:00;21;29;40;84;0.4;0;0.9;1.8
03.01.2017 19:00;22;21;35;66;0.4;0;0.9;1.3
03.01.2017 20:00;22;10;29;45;0.3;0;0.8;1.3
03.01.2017 21:00;21;9;28;43;0.3;0;0.8;1.4
03.01.2017 22:00;19;12;29;47;0.3;0;1.0;0.9
03.01.2017 23:00;20;10;30;45;0.3;2;0.9;1.0
04.01.2017 00:00;19;6;27;36;0.3;1;1.0;1.1
04.01.2017 01:00;18;3;21;26;0.3;1;0.8;1.2
04.01.2017 02:00;15;3;20;25;0.2;1;0.3;0.7
04.01.2017 03:00;10;4;18;24;0.2;2;1.4;0.9
04.01.2017 04:00;8;3;18;22;0.2;1;0.4;0.4
04.01.2017 05:00;10;7;30;40;0.2;1;0.3;0.4
