Station;220 Karl-Marx-Straﬂe;220 Karl-Marx-Straﬂe;220 Karl-Marx-Straﬂe;220 Karl-Marx-Straﬂe
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m≥;µg/m≥;µg/m≥;µg/m≥
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2012 00:00;79;63;51;148
01.01.2012 01:00;317;90;45;182
01.01.2012 02:00;180;111;59;229
01.01.2012 03:00;58;70;49;156
01.01.2012 04:00;42;52;42;122
01.01.2012 05:00;40;60;42;133
01.01.2012 06:00;34;60;42;134
01.01.2012 07:00;32;61;40;133
01.01.2012 08:00;31;45;35;103
01.01.2012 09:00;32;38;31;89
01.01.2012 10:00;29;33;27;77
01.01.2012 11:00;25;29;25;69
01.01.2012 12:00;26;37;29;86
01.01.2012 13:00;25;38;32;89
01.01.2012 14:00;21;36;36;90
01.01.2012 15:00;19;51;41;119
01.01.2012 16:00;20;55;47;130
01.01.2012 17:00;20;70;50;157
01.01.2012 18:00;24;65;50;149
01.01.2012 19:00;22;64;45;142
01.01.2012 20:00;23;71;47;154
01.01.2012 21:00;18;46;35;104
01.01.2012 22:00;17;45;39;108
01.01.2012 23:00;13;30;32;77
02.01.2012 00:00;12;27;28;69
02.01.2012 01:00;10;22;26;60
02.01.2012 02:00;8;16;21;46
02.01.2012 03:00;7;13;24;44
02.01.2012 04:00;6;17;20;46
02.01.2012 05:00;5;10;15;31
02.01.2012 06:00;6;11;17;35
02.01.2012 07:00;6;30;26;73
02.01.2012 08:00;7;52;41;120
02.01.2012 09:00;10;72;69;179
02.01.2012 10:00;12;71;73;181
02.01.2012 11:00;12;113;92;265
02.01.2012 12:00;14;105;85;245
02.01.2012 13:00;15;133;90;293
02.01.2012 14:00;19;134;99;303
02.01.2012 15:00;20;176;120;390
02.01.2012 16:00;17;128;98;294
02.01.2012 17:00;15;138;101;311
02.01.2012 18:00;15;120;91;274
02.01.2012 19:00;18;88;73;208
02.01.2012 20:00;19;83;63;190
02.01.2012 21:00;22;54;52;135
02.01.2012 22:00;24;47;48;120
02.01.2012 23:00;28;39;44;104
03.01.2012 00:00;28;30;41;86
03.01.2012 01:00;25;28;35;78
03.01.2012 02:00;22;18;30;57
03.01.2012 03:00;24;23;35;71
03.01.2012 04:00;21;10;27;41
03.01.2012 05:00;18;14;28;50
03.01.2012 06:00;16;25;35;73
03.01.2012 07:00;22;51;52;130
03.01.2012 08:00;24;58;52;141
03.01.2012 09:00;23;67;54;157
03.01.2012 10:00;15;64;51;149
03.01.2012 11:00;14;68;50;154
03.01.2012 12:00;14;72;52;162
03.01.2012 13:00;15;52;46;125
03.01.2012 14:00;15;65;54;154
03.01.2012 15:00;11;63;50;146
03.01.2012 16:00;11;61;54;148
03.01.2012 17:00;12;56;50;137
03.01.2012 18:00;12;68;54;158
03.01.2012 19:00;12;47;39;111
03.01.2012 20:00;13;42;38;101
03.01.2012 21:00;10;27;29;70
03.01.2012 22:00;9;18;21;49
03.01.2012 23:00;8;15;20;43
04.01.2012 00:00;7;22;27;60
04.01.2012 01:00;8;14;21;43
04.01.2012 02:00;6;8;13;26
04.01.2012 03:00;8;10;17;33
04.01.2012 04:00;9;13;18;37
04.01.2012 05:00;10;7;17;27
04.01.2012 06:00;12;16;26;50
04.01.2012 07:00;13;48;50;122
04.01.2012 08:00;14;52;53;133
04.01.2012 09:00;16;62;55;150
04.01.2012 10:00;16;61;56;150
04.01.2012 11:00;18;125;60;251
04.01.2012 12:00;16;83;62;188
04.01.2012 13:00;14;70;56;163
04.01.2012 14:00;16;75;59;174
04.01.2012 15:00;17;62;53;148
04.01.2012 16:00;18;89;66;203
04.01.2012 17:00;18;86;70;202
04.01.2012 18:00;16;72;62;173
04.01.2012 19:00;17;64;61;159
04.01.2012 20:00;18;55;53;137
04.01.2012 21:00;17;36;38;92
04.01.2012 22:00;17;29;33;77
04.01.2012 23:00;14;18;24;53
05.01.2012 00:00;15;16;19;43
05.01.2012 01:00;10;11;15;32
05.01.2012 02:00;9;14;19;41
05.01.2012 03:00;7;11;22;39
05.01.2012 04:00;5;7;12;23
05.01.2012 05:00;5;10;13;29
05.01.2012 06:00;5;10;15;31
05.01.2012 07:00;5;25;22;60
05.01.2012 08:00;6;44;39;106
05.01.2012 09:00;6;31;33;80
05.01.2012 10:00;7;55;48;132
05.01.2012 11:00;9;83;67;194
05.01.2012 12:00;11;69;62;168
05.01.2012 13:00;14;73;67;179
05.01.2012 14:00;12;63;54;150
05.01.2012 15:00;11;59;54;144
05.01.2012 16:00;11;102;74;229
05.01.2012 17:00;10;116;82;260
05.01.2012 18:00;8;64;52;149
