Station;282 Karlshorst;282 Karlshorst;282 Karlshorst;282 Karlshorst
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Schwefeldioxid
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2016 00:00;5;30;37;3
01.01.2016 01:00;28;27;70;3
01.01.2016 02:00;40;29;91;5
01.01.2016 03:00;22;28;61;2
01.01.2016 04:00;19;27;56;1
01.01.2016 05:00;15;27;50;0
01.01.2016 06:00;18;26;53;0
01.01.2016 07:00;17;26;51;0
01.01.2016 08:00;15;24;46;0
01.01.2016 09:00;17;25;50;0
01.01.2016 10:00;15;23;46;0
01.01.2016 11:00;15;22;44;0
01.01.2016 12:00;12;19;38;0
01.01.2016 13:00;10;20;35;1
01.01.2016 14:00;10;25;40;3
01.01.2016 15:00;10;30;45;3
01.01.2016 16:00;13;37;56;2
01.01.2016 17:00;7;36;46;1
01.01.2016 18:00;6;33;42;6
01.01.2016 19:00;5;35;44;9
01.01.2016 20:00;9;39;52;21
01.01.2016 21:00;6;40;50;15
01.01.2016 22:00;3;36;40;5
01.01.2016 23:00;1;21;22;1
02.01.2016 00:00;0;12;13;0
02.01.2016 01:00;0;12;12;0
02.01.2016 02:00;0;13;14;0
02.01.2016 03:00;1;14;15;1
02.01.2016 04:00;0;12;13;0
02.01.2016 05:00;1;13;14;0
02.01.2016 06:00;2;17;21;1
02.01.2016 07:00;2;17;20;2
02.01.2016 08:00;1;15;17;2
02.01.2016 09:00;1;16;19;3
02.01.2016 10:00;2;15;18;4
02.01.2016 11:00;3;15;19;4
02.01.2016 12:00;3;13;17;5
02.01.2016 13:00;2;10;13;4
02.01.2016 14:00;2;10;13;4
02.01.2016 15:00;1;9;11;3
02.01.2016 16:00;1;11;13;4
02.01.2016 17:00;1;8;9;2
02.01.2016 18:00;1;7;9;3
02.01.2016 19:00;1;7;8;4
02.01.2016 20:00;1;8;9;4
02.01.2016 21:00;0;7;8;4
02.01.2016 22:00;1;7;7;4
02.01.2016 23:00;1;7;8;4
03.01.2016 00:00;0;6;7;4
03.01.2016 01:00;0;7;7;5
03.01.2016 02:00;0;6;7;4
03.01.2016 03:00;0;6;7;4
03.01.2016 04:00;0;7;7;3
03.01.2016 05:00;0;7;7;3
03.01.2016 06:00;0;8;8;4
03.01.2016 07:00;0;9;9;4
03.01.2016 08:00;0;9;9;4
03.01.2016 09:00;0;9;9;4
03.01.2016 10:00;1;8;10;4
03.01.2016 11:00;2;8;11;4
03.01.2016 12:00;2;8;10;4
03.01.2016 13:00;2;8;11;4
03.01.2016 14:00;2;9;12;4
03.01.2016 15:00;1;9;11;4
03.01.2016 16:00;1;10;12;4
03.01.2016 17:00;0;11;12;3
03.01.2016 18:00;0;10;10;4
03.01.2016 19:00;0;10;11;4
03.01.2016 20:00;0;11;12;4
03.01.2016 21:00;1;13;14;5
03.01.2016 22:00;0;14;14;6
03.01.2016 23:00;0;14;14;7
04.01.2016 00:00;0;13;14;8
04.01.2016 01:00;0;15;15;8
04.01.2016 02:00;0;15;16;9
04.01.2016 03:00;0;15;15;9
04.01.2016 04:00;0;15;16;8
04.01.2016 05:00;0;15;16;7
04.01.2016 06:00;1;16;17;7
04.01.2016 07:00;1;17;19;7
04.01.2016 08:00;3;20;24;8
04.01.2016 09:00;3;22;27;9
04.01.2016 10:00;5;19;27;9
04.01.2016 11:00;4;16;22;7
04.01.2016 12:00;5;18;26;7
04.01.2016 13:00;4;17;24;7
04.01.2016 14:00;4;18;24;6
04.01.2016 15:00;3;21;25;8
04.01.2016 16:00;3;25;30;8
04.01.2016 17:00;3;27;31;5
04.01.2016 18:00;2;29;32;7
04.01.2016 19:00;1;24;26;5
04.01.2016 20:00;1;22;24;5
04.01.2016 21:00;5;23;31;6
04.01.2016 22:00;1;24;26;7
04.01.2016 23:00;1;27;28;7
05.01.2016 00:00;1;28;29;7
05.01.2016 01:00;1;29;30;7
05.01.2016 02:00;1;29;30;8
05.01.2016 03:00;1;30;32;9
05.01.2016 04:00;1;30;32;10
05.01.2016 05:00;1;27;29;7
05.01.2016 06:00;2;28;31;7
05.01.2016 07:00;3;29;33;8
05.01.2016 08:00;7;31;42;7
05.01.2016 09:00;22;32;66;7
05.01.2016 10:00;9;27;41;7
05.01.2016 11:00;8;24;37;7
05.01.2016 12:00;7;23;34;7
05.01.2016 13:00;8;22;34;7
05.01.2016 14:00;7;23;34;8
05.01.2016 15:00;6;26;36;8
05.01.2016 16:00;6;29;38;8
05.01.2016 17:00;6;32;41;8
05.01.2016 18:00;4;33;38;8
05.01.2016 19:00;3;31;36;7
05.01.2016 20:00;3;31;36;7
05.01.2016 21:00;2;29;32;7
05.01.2016 22:00;2;30;32;7
05.01.2016 23:00;1;31;33;9
06.01.2016 00:00;1;31;33;9
06.01.2016 01:00;1;31;33;10
06.01.2016 02:00;1;30;32;11
06.01.2016 03:00;2;29;31;11
06.01.2016 04:00;1;28;29;10
06.01.2016 05:00;2;28;30;10
06.01.2016 06:00;4;30;36;10
06.01.2016 07:00;5;30;38;13
06.01.2016 08:00;9;33;46;13
06.01.2016 09:00;13;33;52;13
06.01.2016 10:00;10;29;44;14
06.01.2016 11:00;11;26;42;13
06.01.2016 12:00;8;24;37;12
06.01.2016 13:00;8;25;37;11
06.01.2016 14:00;7;27;38;9
06.01.2016 15:00;8;31;43;9
06.01.2016 16:00;6;33;42;9
06.01.2016 17:00;5;33;41;8
06.01.2016 18:00;3;28;33;8
06.01.2016 19:00;2;28;32;8
06.01.2016 20:00;2;30;33;9
06.01.2016 21:00;1;28;30;9
06.01.2016 22:00;2;27;30;8
06.01.2016 23:00;1;24;26;8
07.01.2016 00:00;1;23;25;8
07.01.2016 01:00;2;22;25;7
07.01.2016 02:00;1;20;22;7
07.01.2016 03:00;1;21;22;7
07.01.2016 04:00;1;20;22;6
07.01.2016 05:00;2;20;22;5
07.01.2016 06:00;2;21;24;5
07.01.2016 07:00;3;23;28;5
07.01.2016 08:00;5;26;33;6
07.01.2016 09:00;7;25;36;6
07.01.2016 10:00;9;21;35;5
07.01.2016 11:00;7;17;27;5
07.01.2016 12:00;7;16;27;5
07.01.2016 13:00;6;18;27;5
07.01.2016 14:00;6;19;28;7
07.01.2016 15:00;5;22;30;
07.01.2016 16:00;5;26;33;
07.01.2016 17:00;5;28;36;6
07.01.2016 18:00;8;29;42;4
07.01.2016 19:00;4;31;37;4
07.01.2016 20:00;2;31;34;5
07.01.2016 21:00;2;31;34;6
07.01.2016 22:00;2;31;34;7
07.01.2016 23:00;1;28;30;6
08.01.2016 00:00;1;24;24;4
08.01.2016 01:00;0;27;28;5
08.01.2016 02:00;1;30;31;5
08.01.2016 03:00;1;29;30;5
08.01.2016 04:00;1;29;31;4
08.01.2016 05:00;4;33;39;4
08.01.2016 06:00;13;43;63;5
08.01.2016 07:00;10;41;56;2
08.01.2016 08:00;7;39;49;1
08.01.2016 09:00;6;37;46;1
08.01.2016 10:00;7;30;40;1
08.01.2016 11:00;6;28;37;2
08.01.2016 12:00;6;24;34;3
08.01.2016 13:00;5;24;31;1
08.01.2016 14:00;4;23;29;1
08.01.2016 15:00;3;23;28;0
08.01.2016 16:00;3;26;30;0
08.01.2016 17:00;2;27;30;0
08.01.2016 18:00;2;29;32;0
08.01.2016 19:00;1;25;26;1
08.01.2016 20:00;1;23;25;2
08.01.2016 21:00;2;25;28;4
08.01.2016 22:00;1;23;24;5
08.01.2016 23:00;1;27;28;5
09.01.2016 00:00;1;33;35;1
09.01.2016 01:00;3;39;44;1
09.01.2016 02:00;1;32;33;1
09.01.2016 03:00;1;32;34;0
09.01.2016 04:00;2;39;42;0
09.01.2016 05:00;4;37;43;0
09.01.2016 06:00;3;33;37;0
09.01.2016 07:00;10;36;51;0
09.01.2016 08:00;21;35;67;0
09.01.2016 09:00;41;36;100;0
09.01.2016 10:00;27;31;73;0
09.01.2016 11:00;16;28;53;0
09.01.2016 12:00;8;22;34;1
09.01.2016 13:00;5;20;28;2
09.01.2016 14:00;5;19;26;1
09.01.2016 15:00;4;21;28;2
09.01.2016 16:00;3;24;29;2
09.01.2016 17:00;5;32;39;1
09.01.2016 18:00;9;39;53;1
09.01.2016 19:00;14;44;65;1
09.01.2016 20:00;17;42;68;0
09.01.2016 21:00;9;42;55;0
09.01.2016 22:00;5;36;43;0
09.01.2016 23:00;3;29;33;0
10.01.2016 00:00;1;26;29;1
10.01.2016 01:00;1;24;25;0
10.01.2016 02:00;1;22;23;1
10.01.2016 03:00;1;21;21;1
10.01.2016 04:00;1;20;21;1
10.01.2016 05:00;1;18;18;1
10.01.2016 06:00;0;16;17;1
10.01.2016 07:00;1;16;17;1
10.01.2016 08:00;0;16;16;1
10.01.2016 09:00;1;16;18;1
10.01.2016 10:00;3;16;20;1
10.01.2016 11:00;4;17;24;2
10.01.2016 12:00;4;18;25;2
10.01.2016 13:00;4;19;26;2
10.01.2016 14:00;3;22;27;2
10.01.2016 15:00;6;26;36;1
10.01.2016 16:00;6;27;36;1
10.01.2016 17:00;25;36;74;1
10.01.2016 18:00;41;41;104;1
10.01.2016 19:00;35;37;90;0
10.01.2016 20:00;43;35;101;0
10.01.2016 21:00;36;33;88;0
10.01.2016 22:00;43;35;101;1
10.01.2016 23:00;46;36;106;1
11.01.2016 00:00;42;33;98;1
11.01.2016 01:00;18;31;58;0
11.01.2016 02:00;8;29;41;0
11.01.2016 03:00;2;26;30;0
11.01.2016 04:00;2;26;29;0
11.01.2016 05:00;2;25;28;0
11.01.2016 06:00;14;31;53;0
11.01.2016 07:00;32;38;88;0
11.01.2016 08:00;42;40;105;0
11.01.2016 09:00;42;44;108;0
11.01.2016 10:00;60;45;137;1
11.01.2016 11:00;45;40;109;0
11.01.2016 12:00;29;40;84;2
11.01.2016 13:00;25;42;81;3
11.01.2016 14:00;19;38;68;1
11.01.2016 15:00;10;31;47;0
11.01.2016 16:00;13;34;54;0
11.01.2016 17:00;7;34;44;0
11.01.2016 18:00;6;32;41;0
11.01.2016 19:00;5;29;37;0
11.01.2016 20:00;3;30;34;0
11.01.2016 21:00;6;32;40;0
11.01.2016 22:00;7;31;42;0
11.01.2016 23:00;3;29;34;0
12.01.2016 00:00;2;30;33;0
12.01.2016 01:00;2;28;31;0
12.01.2016 02:00;1;25;27;0
12.01.2016 03:00;1;24;27;0
12.01.2016 04:00;1;22;24;0
12.01.2016 05:00;1;21;23;1
12.01.2016 06:00;6;25;34;1
12.01.2016 07:00;13;29;49;1
12.01.2016 08:00;38;33;90;1
12.01.2016 09:00;46;36;106;1
12.01.2016 10:00;31;30;78;1
12.01.2016 11:00;39;34;94;1
12.01.2016 12:00;36;40;95;1
12.01.2016 13:00;31;42;89;1
12.01.2016 14:00;60;42;134;2
12.01.2016 15:00;75;46;161;3
