Station;282 Karlshorst;282 Karlshorst;282 Karlshorst;282 Karlshorst
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Schwefeldioxid
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2019 00:00;1;12;14;1
01.01.2019 01:00;19;32;61;8
01.01.2019 02:00;1;16;17;4
01.01.2019 03:00;0;10;10;3
01.01.2019 04:00;0;7;8;2
01.01.2019 05:00;0;6;7;1
01.01.2019 06:00;0;7;7;1
01.01.2019 07:00;0;8;8;2
01.01.2019 08:00;0;7;7;1
01.01.2019 09:00;0;5;6;0
01.01.2019 10:00;0;6;6;1
01.01.2019 11:00;0;7;8;1
01.01.2019 12:00;1;9;11;1
01.01.2019 13:00;1;10;12;0
01.01.2019 14:00;1;9;10;0
01.01.2019 15:00;1;10;11;0
01.01.2019 16:00;1;11;13;0
01.01.2019 17:00;1;13;14;0
01.01.2019 18:00;1;12;13;0
01.01.2019 19:00;0;13;13;0
01.01.2019 20:00;0;10;11;0
01.01.2019 21:00;0;9;10;0
01.01.2019 22:00;0;10;10;0
01.01.2019 23:00;0;8;8;0
02.01.2019 00:00;0;5;5;0
02.01.2019 01:00;0;5;5;0
02.01.2019 02:00;0;5;5;0
02.01.2019 03:00;0;7;6;0
02.01.2019 04:00;0;6;6;0
02.01.2019 05:00;0;6;6;0
02.01.2019 06:00;0;8;8;0
02.01.2019 07:00;2;11;14;0
02.01.2019 08:00;2;14;18;0
02.01.2019 09:00;1;9;10;0
02.01.2019 10:00;1;8;10;0
02.01.2019 11:00;1;11;13;0
02.01.2019 12:00;1;12;14;0
02.01.2019 13:00;2;10;13;0
02.01.2019 14:00;1;7;8;0
02.01.2019 15:00;1;10;12;0
02.01.2019 16:00;1;10;12;0
02.01.2019 17:00;1;12;14;0
02.01.2019 18:00;1;10;12;0
02.01.2019 19:00;1;9;12;0
02.01.2019 20:00;1;10;11;0
02.01.2019 21:00;0;13;14;0
02.01.2019 22:00;1;12;13;0
02.01.2019 23:00;1;17;18;0
03.01.2019 00:00;1;19;19;0
03.01.2019 01:00;0;18;18;0
03.01.2019 02:00;0;18;18;0
03.01.2019 03:00;0;15;16;0
03.01.2019 04:00;1;16;17;0
03.01.2019 05:00;1;15;16;0
03.01.2019 06:00;1;17;19;0
03.01.2019 07:00;3;23;26;0
03.01.2019 08:00;3;27;31;0
03.01.2019 09:00;3;26;30;0
03.01.2019 10:00;3;23;27;0
03.01.2019 11:00;3;23;28;0
03.01.2019 12:00;4;23;29;0
03.01.2019 13:00;5;23;31;0
03.01.2019 14:00;4;26;32;0
03.01.2019 15:00;3;23;28;0
03.01.2019 16:00;6;29;38;0
03.01.2019 17:00;5;39;47;0
03.01.2019 18:00;5;46;54;0
03.01.2019 19:00;6;43;52;0
03.01.2019 20:00;4;48;54;0
03.01.2019 21:00;5;44;52;0
03.01.2019 22:00;2;38;41;0
03.01.2019 23:00;2;32;35;0
04.01.2019 00:00;1;30;32;0
04.01.2019 01:00;1;28;30;0
04.01.2019 02:00;1;24;25;1
04.01.2019 03:00;1;25;27;0
04.01.2019 04:00;1;28;30;0
04.01.2019 05:00;2;31;34;1
04.01.2019 06:00;3;31;36;2
04.01.2019 07:00;4;32;39;2
04.01.2019 08:00;5;38;46;4
04.01.2019 09:00;7;39;49;3
04.01.2019 10:00;6;34;42;2
04.01.2019 11:00;5;27;35;1
04.01.2019 12:00;4;24;30;0
04.01.2019 13:00;3;23;27;0
04.01.2019 14:00;3;24;29;0
04.01.2019 15:00;4;27;33;0
04.01.2019 16:00;3;30;34;0
04.01.2019 17:00;3;33;38;0
04.01.2019 18:00;2;23;27;0
04.01.2019 19:00;4;24;30;0
04.01.2019 20:00;2;20;22;0
04.01.2019 21:00;1;17;19;0
04.01.2019 22:00;1;25;27;1
04.01.2019 23:00;1;23;25;1
05.01.2019 00:00;1;16;18;0
05.01.2019 01:00;1;13;15;0
05.01.2019 02:00;1;10;11;0
05.01.2019 03:00;1;10;11;0
05.01.2019 04:00;0;10;11;0
05.01.2019 05:00;0;12;13;0
05.01.2019 06:00;1;8;9;0
05.01.2019 07:00;1;9;11;0
05.01.2019 08:00;0;10;10;0
05.01.2019 09:00;1;7;8;0
05.01.2019 10:00;1;10;12;0
05.01.2019 11:00;3;12;15;0
05.01.2019 12:00;2;11;15;0
05.01.2019 13:00;3;13;18;0
05.01.2019 14:00;2;13;16;0
05.01.2019 15:00;2;15;18;0
05.01.2019 16:00;2;14;17;0
05.01.2019 17:00;1;14;16;0
05.01.2019 18:00;1;14;16;0
05.01.2019 19:00;1;12;14;0
05.01.2019 20:00;1;9;10;0
05.01.2019 21:00;1;8;9;0
05.01.2019 22:00;0;9;10;0
05.01.2019 23:00;1;14;16;0
06.01.2019 00:00;2;14;16;0
06.01.2019 01:00;1;13;14;0
06.01.2019 02:00;0;9;10;0
06.01.2019 03:00;0;5;5;0
06.01.2019 04:00;0;6;6;0
06.01.2019 05:00;1;6;7;0
06.01.2019 06:00;1;9;10;0
06.01.2019 07:00;1;11;12;0
06.01.2019 08:00;1;11;12;0
06.01.2019 09:00;1;11;12;0
06.01.2019 10:00;2;12;15;0
06.01.2019 11:00;2;12;15;0
06.01.2019 12:00;2;11;14;0
06.01.2019 13:00;2;10;12;0
06.01.2019 14:00;2;9;12;0
06.01.2019 15:00;1;9;11;0
06.01.2019 16:00;1;12;14;0
06.01.2019 17:00;3;32;37;0
06.01.2019 18:00;14;55;76;0
06.01.2019 19:00;17;49;75;0
06.01.2019 20:00;6;42;52;0
06.01.2019 21:00;4;37;43;0
06.01.2019 22:00;2;26;29;0
06.01.2019 23:00;2;28;31;0
07.01.2019 00:00;4;30;35;0
07.01.2019 01:00;2;26;30;0
07.01.2019 02:00;5;26;34;0
07.01.2019 03:00;10;27;42;0
07.01.2019 04:00;14;26;48;0
07.01.2019 05:00;19;25;54;0
07.01.2019 06:00;26;28;68;0
07.01.2019 07:00;28;31;74;0
07.01.2019 08:00;38;41;99;1
07.01.2019 09:00;27;45;86;0
07.01.2019 10:00;16;35;59;0
07.01.2019 11:00;14;29;51;0
07.01.2019 12:00;16;27;52;0
07.01.2019 13:00;29;31;75;3
07.01.2019 14:00;33;35;85;2
07.01.2019 15:00;7;34;45;0
07.01.2019 16:00;3;31;36;0
07.01.2019 17:00;4;33;39;1
07.01.2019 18:00;3;36;41;0
07.01.2019 19:00;3;33;37;0
07.01.2019 20:00;2;27;31;1
07.01.2019 21:00;2;23;26;4
07.01.2019 22:00;1;16;17;2
07.01.2019 23:00;1;14;15;1
08.01.2019 00:00;1;10;11;1
08.01.2019 01:00;0;10;11;0
08.01.2019 02:00;1;10;10;0
08.01.2019 03:00;0;9;10;0
08.01.2019 04:00;1;10;11;0
08.01.2019 05:00;1;14;15;0
08.01.2019 06:00;1;20;22;0
08.01.2019 07:00;3;24;28;0
08.01.2019 08:00;4;26;32;0
08.01.2019 09:00;3;21;25;0
08.01.2019 10:00;2;17;21;0
08.01.2019 11:00;2;16;19;0
08.01.2019 12:00;2;18;21;0
08.01.2019 13:00;2;16;18;0
08.01.2019 14:00;1;16;18;0
08.01.2019 15:00;2;21;25;0
08.01.2019 16:00;3;19;23;0
08.01.2019 17:00;2;20;23;0
08.01.2019 18:00;2;19;22;0
08.01.2019 19:00;2;14;17;0
08.01.2019 20:00;2;15;18;0
08.01.2019 21:00;1;18;20;0
08.01.2019 22:00;1;18;20;0
08.01.2019 23:00;1;11;12;0
09.01.2019 00:00;0;9;10;0
09.01.2019 01:00;0;7;8;0
09.01.2019 02:00;0;7;7;0
09.01.2019 03:00;0;6;6;0
09.01.2019 04:00;0;5;6;0
09.01.2019 05:00;0;5;6;0
09.01.2019 06:00;1;7;9;0
09.01.2019 07:00;4;14;20;0
09.01.2019 08:00;4;17;23;0
09.01.2019 09:00;4;19;25;0
09.01.2019 10:00;5;17;25;0
09.01.2019 11:00;3;15;19;0
09.01.2019 12:00;4;14;20;0
09.01.2019 13:00;3;14;18;0
09.01.2019 14:00;3;15;19;0
09.01.2019 15:00;2;14;17;0
09.01.2019 16:00;3;14;18;0
09.01.2019 17:00;3;16;21;0
09.01.2019 18:00;2;15;18;0
09.01.2019 19:00;2;15;19;0
09.01.2019 20:00;2;13;16;0
09.01.2019 21:00;1;13;15;0
09.01.2019 22:00;1;11;13;0
09.01.2019 23:00;1;7;8;0
10.01.2019 00:00;0;5;5;0
10.01.2019 01:00;0;4;4;0
10.01.2019 02:00;0;3;3;0
10.01.2019 03:00;0;3;3;0
10.01.2019 04:00;0;4;4;0
10.01.2019 05:00;0;4;4;0
10.01.2019 06:00;1;8;9;0
10.01.2019 07:00;2;20;24;0
10.01.2019 08:00;5;26;33;0
10.01.2019 09:00;3;22;27;0
10.01.2019 10:00;3;18;23;0
10.01.2019 11:00;3;18;22;0
10.01.2019 12:00;3;14;19;0
10.01.2019 13:00;3;12;17;0
10.01.2019 14:00;2;14;18;0
10.01.2019 15:00;2;15;18;0
10.01.2019 16:00;2;19;23;0
10.01.2019 17:00;2;21;25;0
10.01.2019 18:00;3;25;29;0
10.01.2019 19:00;2;26;29;0
10.01.2019 20:00;1;29;31;0
10.01.2019 21:00;2;25;27;0
10.01.2019 22:00;3;32;36;1
10.01.2019 23:00;1;32;33;1
11.01.2019 00:00;0;24;24;1
11.01.2019 01:00;1;25;26;5
11.01.2019 02:00;1;23;23;6
11.01.2019 03:00;1;18;19;2
11.01.2019 04:00;1;22;23;1
11.01.2019 05:00;1;27;29;1
11.01.2019 06:00;2;27;31;1
11.01.2019 07:00;4;29;35;1
11.01.2019 08:00;5;31;39;0
11.01.2019 09:00;5;30;38;0
11.01.2019 10:00;5;31;39;0
11.01.2019 11:00;6;30;40;0
11.01.2019 12:00;6;30;40;0
11.01.2019 13:00;8;33;46;0
11.01.2019 14:00;8;36;49;0
11.01.2019 15:00;8;39;52;0
11.01.2019 16:00;7;40;51;2
11.01.2019 17:00;6;41;50;3
11.01.2019 18:00;7;41;52;3
11.01.2019 19:00;2;33;37;1
11.01.2019 20:00;2;34;37;1
11.01.2019 21:00;1;26;28;1
11.01.2019 22:00;1;24;25;1
11.01.2019 23:00;0;19;20;0
12.01.2019 00:00;0;10;11;0
12.01.2019 01:00;0;9;9;0
12.01.2019 02:00;0;5;5;0
12.01.2019 03:00;1;6;7;0
12.01.2019 04:00;1;7;8;0
12.01.2019 05:00;0;9;9;0
12.01.2019 06:00;1;16;17;0
12.01.2019 07:00;1;17;18;0
12.01.2019 08:00;1;18;19;0
12.01.2019 09:00;1;22;23;1
12.01.2019 10:00;2;19;21;2
12.01.2019 11:00;2;20;24;0
12.01.2019 12:00;2;17;20;2
12.01.2019 13:00;2;14;17;2
12.01.2019 14:00;2;12;15;2
12.01.2019 15:00;2;12;14;1
