Station;282 Karlshorst;282 Karlshorst;282 Karlshorst
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte
""
01.01.2020 00:00;4;19;25
01.01.2020 01:00;17;44;69
01.01.2020 02:00;3;47;51
01.01.2020 03:00;1;41;43
01.01.2020 04:00;1;35;36
01.01.2020 05:00;1;26;27
01.01.2020 06:00;1;21;22
01.01.2020 07:00;0;19;20
01.01.2020 08:00;1;21;22
01.01.2020 09:00;1;21;22
01.01.2020 10:00;1;19;20
01.01.2020 11:00;2;21;25
01.01.2020 12:00;3;23;28
01.01.2020 13:00;1;12;13
01.01.2020 14:00;1;10;11
01.01.2020 15:00;1;12;14
01.01.2020 16:00;1;19;21
01.01.2020 17:00;2;31;34
01.01.2020 18:00;15;47;70
01.01.2020 19:00;24;46;83
01.01.2020 20:00;25;44;83
01.01.2020 21:00;28;42;85
01.01.2020 22:00;15;41;64
01.01.2020 23:00;20;36;67
02.01.2020 00:00;15;30;52
02.01.2020 01:00;10;27;42
02.01.2020 02:00;5;26;33
02.01.2020 03:00;7;26;37
02.01.2020 04:00;6;23;31
02.01.2020 05:00;6;23;32
02.01.2020 06:00;18;31;58
02.01.2020 07:00;42;38;102
02.01.2020 08:00;44;31;98
02.01.2020 09:00;69;38;143
02.01.2020 10:00;61;42;136
02.01.2020 11:00;25;37;75
02.01.2020 12:00;18;33;60
02.01.2020 13:00;14;31;52
02.01.2020 14:00;12;31;49
02.01.2020 15:00;14;41;63
02.01.2020 16:00;19;47;76
02.01.2020 17:00;37;55;111
02.01.2020 18:00;36;56;110
02.01.2020 19:00;69;59;165
02.01.2020 20:00;30;57;102
02.01.2020 21:00;21;57;89
02.01.2020 22:00;11;49;66
02.01.2020 23:00;6;40;49
03.01.2020 00:00;4;30;35
03.01.2020 01:00;5;31;38
03.01.2020 02:00;3;27;32
03.01.2020 03:00;2;19;22
03.01.2020 04:00;2;19;22
03.01.2020 05:00;2;25;29
03.01.2020 06:00;2;17;20
03.01.2020 07:00;2;19;23
03.01.2020 08:00;2;21;24
03.01.2020 09:00;5;28;35
03.01.2020 10:00;5;30;39
03.01.2020 11:00;6;27;36
03.01.2020 12:00;7;29;39
03.01.2020 13:00;6;26;34
03.01.2020 14:00;6;29;39
03.01.2020 15:00;5;25;32
03.01.2020 16:00;2;17;20
03.01.2020 17:00;2;18;21
03.01.2020 18:00;4;32;38
03.01.2020 19:00;2;18;21
03.01.2020 20:00;1;15;17
03.01.2020 21:00;1;14;16
03.01.2020 22:00;1;14;16
03.01.2020 23:00;0;16;16
04.01.2020 00:00;0;8;9
04.01.2020 01:00;0;8;8
04.01.2020 02:00;0;11;11
04.01.2020 03:00;0;13;13
04.01.2020 04:00;0;8;8
04.01.2020 05:00;0;10;11
04.01.2020 06:00;0;9;10
04.01.2020 07:00;0;11;12
04.01.2020 08:00;0;10;10
04.01.2020 09:00;0;9;10
04.01.2020 10:00;1;10;11
04.01.2020 11:00;1;12;14
04.01.2020 12:00;1;14;16
04.01.2020 13:00;1;13;14
04.01.2020 14:00;1;11;13
04.01.2020 15:00;1;12;14
